rank,name,full_name,appearances,goals,assists,minutes_played,period,jersey_name,jersey_number,yellow_cards,red_cards,club,position,height,nation,nation_code,profile_url,image_url,club_logo_url,date_of_birth,place_of_birth,status
1,Rubén Castro,Rubén Castro Martín,289,148,36,23.772,N/A,Castro,Unknown,23,0,Real Betis Balompié,Attack - Centre-Forward,"1,69 m",Spain,es,https://www.transfermarkt.us/ruben-castro/profil/spieler/25316,https://img.a.transfermarkt.technology/portrait/small/25316-1638441797.jpg?lm=1,N/A,27.06.1981,Las Palmas de Gran Canaria,Retired
2,Poli Rincón,Hipólito Rincón Povedano,238,83,1,18.478,N/A,Rincón,Unknown,31,5,Real Betis Balompié,Attack - Centre-Forward,"1,80 m",Spain,es,https://www.transfermarkt.us/poli-rincon/profil/spieler/117608,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,28.04.1957,Madrid,Retired
3,Alfonso,Alfonso Pérez Muñoz,228,80,7,17.768,N/A,Alfonso,Unknown,39,1,Real Betis Balompié,Attack - Centre-Forward,"1,78 m",Spain,es,https://www.transfermarkt.us/alfonso/profil/spieler/7933,https://img.a.transfermarkt.technology/portrait/small/7933-1492517153.jpg?lm=1,N/A,26.09.1972,Getafe,Retired
4,Jorge Molina,Jorge Molina Vidal,211,77,19,13.364,N/A,Molina,Unknown,25,1,Real Betis Balompié,Attack - Centre-Forward,"1,88 m",Spain,es,https://www.transfermarkt.us/jorge-molina/profil/spieler/57825,https://img.a.transfermarkt.technology/portrait/small/57825-1447256894.jpg?lm=1,N/A,22.04.1982,Alcoy,Retired
5,Joaquín,Unknown,498,66,68,33.603,N/A,Joaquín,Unknown,47,2,Real Betis Balompié,Attack - Right Winger,"1,81 m",Spain,es,https://www.transfermarkt.us/joaquin/profil/spieler/7663,https://img.a.transfermarkt.technology/portrait/small/7663-1650864280.jpg?lm=1,N/A,21.07.1981,El Puerto de Santa María,Retired
6,Fernando Ansola,Fernando Ansola San Martín,123,61,0,11.070,N/A,Ansola,Unknown,0,0,Real Betis Balompié,Attack,"1,80 m",Spain,es,https://www.transfermarkt.us/fernando-ansola/profil/spieler/309020,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,27.01.1940,Elgoibar,---
7,Borja Iglesias,Borja Iglesias Quintas,181,52,12,9.981,N/A,Iglesias,#7,14,2,Real Betis Balompié,Attack - Centre-Forward,"1,87 m",Spain,es,https://www.transfermarkt.us/borja-iglesias/profil/spieler/278359,https://img.a.transfermarkt.technology/portrait/small/278359-1686661509.jpg?lm=1,N/A,17.01.1993,Santiago de Compostela,Celta de Vigo
8,Finidi George,Unknown,151,44,7,12.884,N/A,George,Unknown,18,0,Real Betis Balompié,Attack - Right Winger,"1,89 m",Nigeria,ng,https://www.transfermarkt.us/finidi-george/profil/spieler/13241,https://img.a.transfermarkt.technology/portrait/small/13241-1447873328.jpg?lm=1,N/A,15.04.1971,Port Harcourt,Retired
9,Gabriel Calderón,Gabriel Humberto Calderón Metralla,151,43,1,12.976,N/A,Calderón,Unknown,12,1,Real Betis Balompié,Attack - Left Winger,"1,80 m",Argentina,ar,https://www.transfermarkt.us/gabriel-calderon/profil/spieler/106973,https://img.a.transfermarkt.technology/portrait/small/106973-1630586947.jpg?lm=1,N/A,07.02.1960,Rawson,Retired
10,Julio Cardeñosa,Julio Cardeñosa Rodríguez,338,41,0,28.673,N/A,Cardeñosa,Unknown,11,1,Real Betis Balompié,Midfield - Left Midfield,,Spain,es,https://www.transfermarkt.us/julio-cardenosa/profil/spieler/135093,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,27.10.1949,Valladolid,Retired
11,Edú,Unknown,155,39,9,12.491,N/A,Edú,Unknown,19,2,Real Betis Balompié,Attack - Second Striker,"1,82 m",Brazil,br,https://www.transfermarkt.us/edutm/profil/spieler/7550,https://img.a.transfermarkt.technology/portrait/small/7550-1706641950.jpg?lm=1,N/A,10.01.1979,Jaú,Retired
12,Rogelio Sosa,Rogelio Sosa Ramírez,183,39,0,14.516,N/A,Sosa,Unknown,3,2,Real Betis Balompié,Midfield - Attacking Midfield,Unknown,Spain,es,https://www.transfermarkt.us/rogelio-sosa/profil/spieler/342626,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,11.04.1943,Coria del Río,---
13,Sergio Canales,Sergio Canales Madrazo,207,39,30,16.761,N/A,Canales,#10,26,1,Real Betis Balompié,Midfield - Attacking Midfield,"1,78 m",Spain,es,https://www.transfermarkt.us/sergio-canales/profil/spieler/66106,https://img.a.transfermarkt.technology/portrait/small/66106-1653039158.jpg?lm=1,N/A,16.02.1991,Santander,CF Monterrey
14,Ricardo Oliveira,Unknown,74,37,4,6.420,N/A,Ricardo Oliveira,Unknown,13,1,Real Betis Balompié,Attack - Centre-Forward,"1,83 m",Brazil,br,https://www.transfermarkt.us/ricardo-oliveira/profil/spieler/15468,https://img.a.transfermarkt.technology/portrait/small/15468-1413446874.jpg?lm=1,N/A,06.05.1980,São Paulo,Retired
15,Luis Aragonés,José Luis Aragonés Suárez Martínez,89,36,0,7.988,N/A,Aragonés,Unknown,0,1,Real Betis Balompié,Midfield - Central Midfield,,Spain,es,https://www.transfermarkt.us/luis-aragones/profil/spieler/135744,https://img.a.transfermarkt.technology/portrait/small/135744-1476196738.jpg?lm=1,N/A,28.07.1938,Madrid,---
16,Achille Emaná,Achille Emaná Edzimbi,100,36,7,7.678,N/A,Emaná,Unknown,18,1,Real Betis Balompié,Midfield - Attacking Midfield,"1,80 m",Cameroon,cm,https://www.transfermarkt.us/achille-emana/profil/spieler/7020,https://img.a.transfermarkt.technology/portrait/small/s_7020_3711_2013_11_15_1.jpg?lm=1,N/A,05.06.1982,Bipindi,Retired
