rank,name,full_name,appearances,goals,assists,minutes_played,period,jersey_name,jersey_number,yellow_cards,red_cards,club,position,height,nation,nation_code,profile_url,image_url,club_logo_url,date_of_birth,place_of_birth,status
1,Jesús Satrustegui,Jesús María Satrustegui Azpiroz,340,152,1,28.346,N/A,Satrustegui,Unknown,21,0,Real Sociedad,Attack - Centre-Forward,"1,78 m",Spain,es,https://www.transfermarkt.us/jesus-satrustegui/profil/spieler/141271,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,12.01.1954,Pamplona,Retired
2,Roberto López Ufarte,Roberto López Ufarte,423,111,5,36.194,N/A,López Ufarte,Unknown,29,1,Real Sociedad,Attack - Left Winger,"1,70 m",Spain,es,https://www.transfermarkt.us/roberto-lopez-ufarte/profil/spieler/141273,https://img.a.transfermarkt.technology/portrait/small/141273-1475841928.jpg?lm=1,N/A,19.04.1958,Fes,Retired
3,Mikel Oyarzabal,Mikel Oyarzabal Ugarte,388,111,60,28.313,N/A,Oyarzabal,#10,28,2,Real Sociedad,Attack - Centre-Forward,"1,81 m",Spain,es,https://www.transfermarkt.us/mikel-oyarzabal/profil/spieler/351478,https://img.a.transfermarkt.technology/portrait/small/351478-1599987229.jpg?lm=1,N/A,21.04.1997,Eibar,Real Sociedad
4,Darko Kovačević,Дарко Ковачевић,283,107,22,22.485,N/A,Kovačević,Unknown,43,1,Real Sociedad,Attack - Centre-Forward,"1,88 m",Serbia,rs,https://www.transfermarkt.us/darko-kovacevic/profil/spieler/7479,https://img.a.transfermarkt.technology/portrait/small/7479-1490866731.jpg?lm=1,N/A,18.11.1973,Kovin,Retired
5,Meho Kodro,Mehmet Kodro,146,81,0,12.226,N/A,Kodro,Unknown,13,2,Real Sociedad,Attack - Centre-Forward,"1,88 m",Bosnia-Herzegovina,unknown,https://www.transfermarkt.us/meho-kodro/profil/spieler/8012,https://img.a.transfermarkt.technology/portrait/small/8012-1589966334.jpg?lm=1,N/A,12.01.1967,Mostar,Retired
6,Pello Uralde,Pedro Uralde Hernáez,221,80,1,15.820,N/A,Uralde,Unknown,14,0,Real Sociedad,Attack - Right Winger,"1,77 m",Spain,es,https://www.transfermarkt.us/pello-uralde/profil/spieler/121102,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,02.03.1958,Vitoria-Gasteiz,Retired
7,José Mari Bakero,José María Bakero Escudero,260,76,0,19.856,N/A,Bakero,Unknown,13,0,Real Sociedad,Midfield - Attacking Midfield,"1,75 m",Spain,es,https://www.transfermarkt.us/jose-mari-bakero/profil/spieler/7935,https://img.a.transfermarkt.technology/portrait/small/7935-1461231355.jpg?lm=1,N/A,11.02.1963,Goizueta,Retired
8,Xabi Prieto,Xabier Prieto Argarate,531,74,52,39.619,N/A,Prieto,Unknown,54,0,Real Sociedad,Midfield - Attacking Midfield,"1,87 m",Spain,es,https://www.transfermarkt.us/xabi-prieto/profil/spieler/15693,https://img.a.transfermarkt.technology/portrait/small/15693-1447314323.jpg?lm=1,N/A,29.08.1983,Donostia-San Sebastián,Retired
9,Imanol Agirretxe,Imanol Agirretxe Arruti,271,74,16,14.185,N/A,Agirretxe,Unknown,11,0,Real Sociedad,Attack - Centre-Forward,"1,87 m",Spain,es,https://www.transfermarkt.us/imanol-agirretxe/profil/spieler/37501,https://img.a.transfermarkt.technology/portrait/small/37501-1447313717.jpg?lm=1,N/A,24.02.1987,Usurbil,Retired
10,Carlos Vela,Carlos Alberto Vela Garrido,250,73,43,17.960,N/A,Vela,Unknown,40,0,Real Sociedad,Attack - Right Winger,"1,77 m",Mexico,mx,https://www.transfermarkt.us/carlos-vela/profil/spieler/35773,https://img.a.transfermarkt.technology/portrait/small/35773-1678027254.jpg?lm=1,N/A,01.03.1989,Cancún,Without Club
