rank,name,full_name,appearances,goals,assists,minutes_played,period,jersey_name,jersey_number,yellow_cards,red_cards,club,position,height,nation,nation_code,profile_url,image_url,club_logo_url,date_of_birth,place_of_birth,status
1,Víctor Fernández,Víctor Manuel Fernández Gutiérrez,264,74,10,19.875,N/A,Fernández,Unknown,34,2,Real Valladolid CF,Attack - Centre-Forward,"1,66 m",Spain,es,https://www.transfermarkt.us/victor-fernandez/profil/spieler/7846,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,17.04.1974,Mérida,Retired
2,Javi Guerra,Javier Guerra Rodríguez,155,73,11,12.040,N/A,Guerra,Unknown,31,1,Real Valladolid CF,Attack - Centre-Forward,"1,78 m",Spain,es,https://www.transfermarkt.us/javi-guerra/profil/spieler/46215,https://img.a.transfermarkt.technology/portrait/small/46215-1447238261.jpg?lm=1,N/A,15.03.1982,Vélez-Málaga,Retired
3,Óscar González,Óscar Javier González Marcos,284,70,39,20.383,N/A,González,Unknown,35,1,Real Valladolid CF,Midfield - Attacking Midfield,"1,75 m",Spain,es,https://www.transfermarkt.us/oscar-gonzalez/profil/spieler/7818,https://img.a.transfermarkt.technology/portrait/small/s_7818_366_2013_10_17_1.jpg?lm=1,N/A,12.11.1982,Salamanca,Retired
4,Alberto López Moreno,Unknown,267,60,1,16.274,N/A,López Moreno,Unknown,28,1,Real Valladolid CF,Attack - Centre-Forward,"1,83 m",Spain,es,https://www.transfermarkt.us/alberto-lopez-moreno/profil/spieler/187835,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,25.02.1967,Madrid,Retired
5,Alen Peternac,Unknown,166,58,1,11.934,N/A,Peternac,Unknown,23,1,Real Valladolid CF,Attack - Centre-Forward,"1,85 m",Croatia,hr,https://www.transfermarkt.us/alen-peternac/profil/spieler/7981,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,16.01.1972,Zagreb,Retired
6,Gerardo Coque,Gerardo Coque Benavente,136,55,1,12.225,N/A,Coque,Unknown,0,1,Real Valladolid CF,Midfield,"1,78 m",Spain,es,https://www.transfermarkt.us/gerardo-coque/profil/spieler/309304,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,09.03.1928,Valladolid,---
7,Jorge Alonso,Jorge Enrique Alonso Mantilla,232,51,3,18.647,N/A,Alonso,Unknown,20,2,Real Valladolid CF,Midfield - Attacking Midfield,"1,80 m",Spain,es,https://www.transfermarkt.us/jorge-alonso/profil/spieler/277025,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,25.09.1960,Puente Castro,Retired
8,Jesus Domingo,Jesús Domingo Gavín,105,49,0,9.442,N/A,Domingo,Unknown,0,0,Real Valladolid CF,Attack,Unknown,Spain,es,https://www.transfermarkt.us/jesus-domingo/profil/spieler/309257,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,08.11.1930,Zaragoza,---
9,Goyo Fonseca,Gregorio Fonseca Recio,185,49,0,13.072,N/A,Fonseca,Unknown,8,0,Real Valladolid CF,Attack,"1,80 m",Spain,es,https://www.transfermarkt.us/goyo-fonseca/profil/spieler/273632,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,26.11.1965,La Seca,Retired
10,Delio Morollón,Emilio Morollón Estébanez,117,45,0,10.512,N/A,Morollón,Unknown,0,2,Real Valladolid CF,Attack,"1,72 m",Spain,es,https://www.transfermarkt.us/delio-morollon/profil/spieler/309260,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,23.07.1937,Madrid,---
11,Joaquín Murillo,Joaquín Murillo Pascual,82,43,0,7.348,N/A,Murillo,Unknown,0,1,Real Valladolid CF,Attack,Unknown,Spain,es,https://www.transfermarkt.us/joaquin-murillo/profil/spieler/308793,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,27.02.1932,Barcelona,---
12,Jaime Mata,Jaime Mata Arnaiz,76,41,9,5.511,N/A,Mata,#17,17,1,Real Valladolid CF,Attack - Centre-Forward,"1,86 m",Spain,es,https://www.transfermarkt.us/jaime-mata/profil/spieler/227961,https://img.a.transfermarkt.technology/portrait/small/227961-1530601381.jpg?lm=1,N/A,24.10.1988,Madrid,UD Las Palmas
13,Manuel Badenes,Manuel Badenes Calduch,59,36,1,5.310,N/A,Badenes,Unknown,0,0,Real Valladolid CF,Attack,"1,80 m",Spain,es,https://www.transfermarkt.us/manuel-badenes/profil/spieler/135763,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,30.11.1928,Castelló de la Plana,---
14,Joseba Llorente,Joseba Llorente Etxarri,77,34,7,5.910,N/A,Llorente,Unknown,18,0,Real Valladolid CF,Attack - Centre-Forward,"1,85 m",Spain,es,https://www.transfermarkt.us/joseba-llorente/profil/spieler/7480,https://img.a.transfermarkt.technology/portrait/small/s_7480_331_2012_3.jpg?lm=1,N/A,24.11.1979,Hondarribia,Retired
15,Shon Weissman,שון וייסמן,92,30,6,6.336,N/A,Weissman,#9,6,1,Real Valladolid CF,Attack - Centre-Forward,"1,74 m",Israel,il,https://www.transfermarkt.us/shon-weissman/profil/spieler/247652,https://img.a.transfermarkt.technology/portrait/small/247652-1565095360.jpg?lm=1,N/A,14.02.1996,Haifa,Granada CF
16,Jorge da Silva,Jorge Orosmán da Silva Echeverrito,74,29,0,6.473,N/A,da Silva,Unknown,15,0,Real Valladolid CF,Attack - Centre-Forward,"1,82 m",Uruguay,uy,https://www.transfermarkt.us/jorge-da-silva/profil/spieler/116082,https://img.a.transfermarkt.technology/portrait/small/116082-1529411694.jpg?lm=1,N/A,11.12.1961,Montevideo,Retired
17,Rodilla,Unknown,59,28,0,5.310,N/A,Rodilla,Unknown,0,0,Real Valladolid CF,Attack,"1,74 m",Spain,es,https://www.transfermarkt.us/rodilla/profil/spieler/308923,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,10.10.1940,Fuentes de Béjar,Retired
18,Óscar Plano,Óscar Plano Pedreño,229,27,31,15.983,N/A,Plano,#7,28,2,Real Valladolid CF,Attack - Right Winger,"1,79 m",Spain,es,https://www.transfermarkt.us/oscar-plano/profil/spieler/221309,https://img.a.transfermarkt.technology/portrait/small/221309-1541147650.jpg?lm=1,N/A,11.02.1991,Móstoles,Elche CF
19,Nauzet Alemán,Nauzet Alemán Viera,100,27,14,7.334,N/A,Alemán,Unknown,27,0,Real Valladolid CF,Attack - Right Winger,"1,81 m",Spain,es,https://www.transfermarkt.us/nauzet-aleman/profil/spieler/45775,https://img.a.transfermarkt.technology/portrait/small/45775-1447321275.jpg?lm=1,N/A,25.02.1985,Las Palmas de Gran Canaria,Retired
20,Mami Quevedo,José María Quevedo García,123,26,1,8.629,N/A,Quevedo,Unknown,16,1,Real Valladolid CF,Midfield - Central Midfield,"1,81 m",Spain,es,https://www.transfermarkt.us/mami-quevedo/profil/spieler/172351,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,01.06.1969,Cádiz,Retired
21,Luis Minguela,Luis Mariano Minguela Muñoz,364,25,0,28.547,N/A,Minguela,Unknown,47,7,Real Valladolid CF,Midfield - Central Midfield,"1,76 m",Spain,es,https://www.transfermarkt.us/luis-minguela/profil/spieler/273634,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,05.01.1960,Frumales,Retired
22,Juan Villar,Juan Villar Vázquez,72,25,10,4.928,N/A,Villar,Unknown,12,0,Real Valladolid CF,Attack - Right Winger,"1,82 m",Spain,es,https://www.transfermarkt.us/juan-villar/profil/spieler/85500,https://img.a.transfermarkt.technology/portrait/small/85500-1662973495.png?lm=1,N/A,19.05.1988,Aroche,Retired
23,Manuel Peña,Manuel Peña Escontela,157,25,0,10.009,N/A,Peña,Unknown,1,0,Real Valladolid CF,Attack,"1,80 m",Spain,es,https://www.transfermarkt.us/manuel-pena/profil/spieler/257780,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,18.12.1965,Lugo,---
24,Gabi Moya,Gabriel Moya Sanz,155,24,1,12.146,N/A,Moya,Unknown,13,2,Real Valladolid CF,Midfield,"1,75 m",Spain,es,https://www.transfermarkt.us/gabi-moya/profil/spieler/173462,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,20.03.1966,Alcalá de Henares,Retired
25,Pepe Moré,Josep Moré Bonet,250,24,0,19.463,N/A,Moré,Unknown,16,3,Real Valladolid CF,Midfield - Central Midfield,Unknown,Spain,es,https://www.transfermarkt.us/pepe-more/profil/spieler/310965,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,29.01.1953,L'Ametlla del Vallès,Retired
26,Julián Vaquero,Unknown,54,23,1,4.890,N/A,Vaquero,Unknown,0,0,Real Valladolid CF,Midfield,Unknown,Spain,es,https://www.transfermarkt.us/julian-vaquero/profil/spieler/531508,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,01.10.1922,Unknown,---
27,José Amavisca,José Emilio Amavisca Gárate,76,22,0,6.621,N/A,Amavisca,Unknown,11,0,Real Valladolid CF,Midfield - Left Midfield,"1,82 m",Spain,es,https://www.transfermarkt.us/jose-amavisca/profil/spieler/7496,https://img.a.transfermarkt.technology/portrait/small/7496-1413445643.jpg?lm=1,N/A,19.06.1971,Laredo,Retired
28,Antonio Morro,Unknown,37,22,0,3.330,N/A,Morro,Unknown,0,0,Real Valladolid CF,Attack,Unknown,Spain,es,https://www.transfermarkt.us/antonio-morro/profil/spieler/552857,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,13.09.1927,Unknown,---
29,Tini,Unknown,156,22,0,13.980,N/A,Tini,Unknown,0,1,Real Valladolid CF,Midfield,Unknown,Spain,es,https://www.transfermarkt.us/tini/profil/spieler/508615,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,31.12.1930,Sodupe,---
30,Fernando,Fernando Miguel Fernández Escribano,64,22,4,5.091,N/A,Fernando,Unknown,9,0,Real Valladolid CF,Midfield - Attacking Midfield,"1,81 m",Spain,es,https://www.transfermarkt.us/fernando/profil/spieler/15721,https://img.a.transfermarkt.technology/portrait/small/s_15721_9241_2010_1.jpg?lm=1,N/A,02.06.1979,Málaga,Retired
31,Cacho Endériz,Eduardo Bibiano Endériz Artajona Satrústegui,81,22,0,7.280,N/A,Endériz,Unknown,0,1,Real Valladolid CF,Midfield,"1,74 m",Uruguay,uy,https://www.transfermarkt.us/cacho-enderiz/profil/spieler/308852,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,28.07.1940,Montevideo,---
32,Lolo,Unknown,140,21,1,12.547,N/A,Lolo,Unknown,0,1,Real Valladolid CF,Midfield,Unknown,Spain,es,https://www.transfermarkt.us/lolo/profil/spieler/550132,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,31.07.1924,Unknown,---
33,Rusky,Antonio García Ramos,65,20,0,4.398,N/A,Rusky,Unknown,3,0,Real Valladolid CF,Attack - Centre-Forward,"1,73 m",Spain,es,https://www.transfermarkt.us/rusky/profil/spieler/310898,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,01.02.1953,Badalona,Retired
34,Luis Miguel Gail,Luis Miguel Gail Martín,185,20,0,14.453,N/A,Gail,Unknown,9,0,Real Valladolid CF,Midfield - Defensive Midfield,,Spain,es,https://www.transfermarkt.us/luis-miguel-gail/profil/spieler/275661,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,23.02.1962,Valladolid,Retired
35,Eusebio,Unknown,274,20,5,18.160,N/A,Eusebio,Unknown,16,0,Real Valladolid CF,Midfield - Defensive Midfield,,Spain,es,https://www.transfermarkt.us/eusebio/profil/spieler/8128,https://img.a.transfermarkt.technology/portrait/small/8128-1682869383.jpg?lm=1,N/A,13.04.1964,La Seca,Retired
36,Manucho,Unknown,104,19,10,5.344,N/A,Manucho,Unknown,10,0,Real Valladolid CF,Attack - Centre-Forward,"1,90 m",Angola,ao,https://www.transfermarkt.us/manucho/profil/spieler/64484,https://img.a.transfermarkt.technology/portrait/small/64484-1447238275.jpg?lm=1,N/A,07.03.1983,Luanda,Racing Madrid City FC
37,Fernando Sales,Fernando Sales de los Cobos,141,19,22,11.017,N/A,Sales,Unknown,17,0,Real Valladolid CF,Attack - Right Winger,"1,71 m",Spain,es,https://www.transfermarkt.us/fernando-sales/profil/spieler/7814,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,12.09.1977,Sevilla,Retired
38,Víctor,Unknown,79,18,0,5.313,N/A,Víctor,Unknown,14,2,Real Valladolid CF,Attack,Unknown,Spain,es,https://www.transfermarkt.us/victor/profil/spieler/353156,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,22.04.1959,Unknown,Retired
39,Fernando,Unknown,82,18,2,7.104,N/A,Fernando,Unknown,18,0,Real Valladolid CF,Midfield - Left Midfield,"1,85 m",Spain,es,https://www.transfermarkt.us/fernando/profil/spieler/2757,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,12.09.1971,Madrid,Retired
40,José Luis Caminero,José Luis Pérez Caminero,306,18,4,22.602,N/A,Caminero,Unknown,58,6,Real Valladolid CF,Midfield - Central Midfield,"1,87 m",Spain,es,https://www.transfermarkt.us/jose-luis-caminero/profil/spieler/7800,https://img.a.transfermarkt.technology/portrait/small/s_7800_123_2014_01_03_1.jpg?lm=1,N/A,08.11.1967,Madrid,Retired
41,Janko Jankovic,Unknown,73,18,0,5.331,N/A,Jankovic,Unknown,7,1,Real Valladolid CF,Attack,Unknown,Croatia,hr,https://www.transfermarkt.us/janko-jankovic/profil/spieler/259700,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,14.01.1963,Unknown,Retired
