rank,name,full_name,appearances,goals,assists,minutes_played,period,jersey_name,jersey_number,yellow_cards,red_cards,club,position,height,nation,nation_code,profile_url,image_url,club_logo_url,date_of_birth,place_of_birth,status
1,João Tomás,João Henrique Pataco Tomás,100,53,5,8.344,N/A,Tomás,Unknown,11,1,Rio Ave FC,Attack - Centre-Forward,"1,88 m",Portugal,pt,https://www.transfermarkt.us/joao-tomas/profil/spieler/13150,https://img.a.transfermarkt.technology/portrait/small/s_13150_26740_2012_1.jpg?lm=1,N/A,27.05.1975,Oliveira do Bairro,Retired
2,Tarantini,Unknown,443,38,21,34.004,N/A,Tarantini,Unknown,104,3,Rio Ave FC,Midfield - Central Midfield,"1,88 m",Portugal,pt,https://www.transfermarkt.us/tarantini/profil/spieler/34077,https://img.a.transfermarkt.technology/portrait/small/34077-1532678744.jpg?lm=1,N/A,07.10.1983,Gestaçô,Retired
3,Evandro,Unknown,196,37,6,13.264,N/A,Evandro,Unknown,28,1,Rio Ave FC,Attack - Left Winger,"1,86 m",Brazil,br,https://www.transfermarkt.us/evandro/profil/spieler/14288,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,12.02.1974,São Paulo,Retired
4,Ahmed Hassan,أحمد حسن محجوب,109,34,4,6.859,N/A,Ahmed Hassan,#99,11,2,Rio Ave FC,Attack - Centre-Forward,"1,91 m",Egypt,eg,https://www.transfermarkt.us/ahmed-hassan/profil/spieler/184816,https://img.a.transfermarkt.technology/portrait/small/184816-1669802583.png?lm=1,N/A,05.03.1993,Kairo,Le Havre AC
5,Aziz Yakubu,Abdul-Aziz Yakubu,73,30,5,5.192,N/A,Yakubu,#9,5,0,Rio Ave FC,Attack - Centre-Forward,"1,87 m",Ghana,gh,https://www.transfermarkt.us/aziz-yakubu/profil/spieler/503212,https://img.a.transfermarkt.technology/portrait/small/503212-1676556513.jpg?lm=1,N/A,10.11.1998,Tamale,Qingdao West Coast
6,Hélder Guedes,Hélder Tiago Pinto Moura Guedes,104,29,13,7.017,N/A,Guedes,Unknown,11,0,Rio Ave FC,Attack - Centre-Forward,"1,84 m",Portugal,pt,https://www.transfermarkt.us/helder-guedes/profil/spieler/36923,https://img.a.transfermarkt.technology/portrait/small/36923-1478771034.jpg?lm=1,N/A,07.05.1987,Penafiel,Retired
7,Yazalde,Unknown,137,27,14,9.056,N/A,Yazalde,Unknown,9,0,Rio Ave FC,Attack - Centre-Forward,"1,83 m",Portugal,pt,https://www.transfermarkt.us/yazalde/profil/spieler/56014,https://img.a.transfermarkt.technology/portrait/small/56014-1510672719.jpg?lm=1,N/A,21.09.1988,Vila do Conde,Without Club
8,Diego Lopes,Diego Hipólito da Silva Lopes,201,25,26,13.455,N/A,Lopes,Unknown,41,1,Rio Ave FC,Midfield - Attacking Midfield,"1,71 m",Brazil,br,https://www.transfermarkt.us/diego-lopes/profil/spieler/131933,https://img.a.transfermarkt.technology/portrait/small/131933-1676530014.jpg?lm=1,N/A,03.05.1994,São Paulo,Without Club
9,Mehdi Taremi,مهدی طارمی,37,21,5,2.871,N/A,Taremi,#99,4,1,Rio Ave FC,Attack - Centre-Forward,"1,85 m",Iran,ir,https://www.transfermarkt.us/mehdi-taremi/profil/spieler/307058,https://img.a.transfermarkt.technology/portrait/small/307058-1716551799.jpg?lm=1,N/A,18.07.1992,Bushehr,Inter Milan
10,Braga,Unknown,128,20,7,7.649,N/A,Braga,Unknown,23,0,Rio Ave FC,Midfield - Attacking Midfield,"1,81 m",Portugal,pt,https://www.transfermarkt.us/braga/profil/spieler/79128,https://img.a.transfermarkt.technology/portrait/small/79128-1548259373.jpg?lm=1,N/A,17.06.1983,Massarelos,Retired
11,Gelson,Jacinto Muondo Dala,84,20,17,5.162,N/A,Gelson,#10,5,1,Rio Ave FC,Attack - Centre-Forward,"1,75 m",Angola,ao,https://www.transfermarkt.us/gelson/profil/spieler/407907,https://img.a.transfermarkt.technology/portrait/small/407907-1740662598.jpg?lm=1,N/A,13.07.1996,Luanda,Al-Wakrah SC
12,Chidi,Unknown,153,19,3,9.445,N/A,Chidi,Unknown,3,0,Rio Ave FC,Attack - Centre-Forward,"1,82 m",Nigeria,ng,https://www.transfermarkt.us/chidi/profil/spieler/33647,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,20.02.1984,Lagos,Retired
13,Clayton,Unknown,30,17,2,2.563,N/A,Clayton,#9,8,0,Rio Ave FC,Attack - Centre-Forward,"1,84 m",Brazil,br,https://www.transfermarkt.us/clayton/profil/spieler/733579,https://img.a.transfermarkt.technology/portrait/small/733579-1737125523.jpg?lm=1,N/A,11.01.1999,Belo Horizonte,Rio Ave FC
14,Milhazes,Unknown,88,16,3,7.718,N/A,Milhazes,Unknown,20,1,Rio Ave FC,Defender - Left-Back,"1,82 m",Portugal,pt,https://www.transfermarkt.us/milhazes/profil/spieler/18947,https://img.a.transfermarkt.technology/portrait/small/s_18947_2425_2010_1.jpg?lm=1,N/A,17.03.1981,Póvoa de Varzim,Retired
15,Ukra,Unknown,205,16,36,12.833,N/A,Ukra,Unknown,28,0,Rio Ave FC,Attack - Right Winger,"1,76 m",Portugal,pt,https://www.transfermarkt.us/ukra/profil/spieler/55994,https://img.a.transfermarkt.technology/portrait/small/55994-1676556461.jpg?lm=1,N/A,16.03.1988,Vila Nova de Famalicão,Retired
16,Ladji Keita,Unknown,77,15,0,4.015,N/A,Keita,Unknown,13,0,Rio Ave FC,Attack - Centre-Forward,"1,88 m",Senegal,sn,https://www.transfermarkt.us/ladji-keita/profil/spieler/31003,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,29.04.1983,Dakar,Retired
17,Emmanuel Boateng,Emmanuel Okyere Boateng,88,15,6,5.492,N/A,Boateng,#21,12,1,Rio Ave FC,Attack - Centre-Forward,"1,75 m",Ghana,gh,https://www.transfermarkt.us/emmanuel-boateng/profil/spieler/332612,https://img.a.transfermarkt.technology/portrait/small/332612-1741703316.jpg?lm=1,N/A,23.05.1996,Accra,Gaziantep FK
18,Bruno Moreira,Bruno Daniel Pereira de Castro Moreira,82,15,6,4.314,N/A,Moreira,Unknown,4,0,Rio Ave FC,Attack - Centre-Forward,"1,85 m",Portugal,pt,https://www.transfermarkt.us/bruno-moreira/profil/spieler/56183,https://img.a.transfermarkt.technology/portrait/small/56183-1532679306.jpg?lm=1,N/A,06.09.1987,Vila Nova de Famalicão,Retired
19,Carlos Vinícius,Unknown,20,14,2,1.427,N/A,Carlos Vinícius,#12,2,0,Rio Ave FC,Attack - Centre-Forward,"1,90 m",Brazil,br,https://www.transfermarkt.us/carlos-vinicius/profil/spieler/525287,https://img.a.transfermarkt.technology/portrait/small/525287-1662070180.jpg?lm=1,N/A,25.03.1995,Bom Jesus das Selvas,Fulham FC
20,Gaúcho,Unknown,62,14,5,4.673,N/A,Gaúcho,Unknown,11,0,Rio Ave FC,Attack - Centre-Forward,"1,81 m",Brazil,br,https://www.transfermarkt.us/gaucho/profil/spieler/14117,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,22.09.1972,Unknown,Retired
21,Aderllan Santos,Aderllan Leandro de Jesus Santos,201,13,3,17.724,N/A,Santos,#33,37,2,Rio Ave FC,Defender - Centre-Back,"1,93 m",Brazil,br,https://www.transfermarkt.us/aderllan-santos/profil/spieler/159142,https://img.a.transfermarkt.technology/portrait/small/159142-1737119731.jpg?lm=1,N/A,09.04.1989,Salgueiro,Avs Futebol
22,Yonathan Del Valle,Yonathan Alexander del Valle Rodríguez,85,13,6,4.621,N/A,Del Valle,#28,4,1,Rio Ave FC,Attack - Left Winger,"1,73 m",Venezuela,ve,https://www.transfermarkt.us/yonathan-del-valle/profil/spieler/72643,https://img.a.transfermarkt.technology/portrait/small/72643-1692780734.png?lm=1,N/A,28.05.1990,Guacara,Pendikspor
