rank,name,full_name,appearances,goals,assists,minutes_played,period,jersey_name,jersey_number,yellow_cards,red_cards,club,position,height,nation,nation_code,profile_url,image_url,club_logo_url,date_of_birth,place_of_birth,status
1,Luís Fabiano,Unknown,290,171,39,22.743,N/A,Luís Fabiano,Unknown,62,5,São Paulo Futebol Clube,Attack - Centre-Forward,"1,86 m",Brazil,br,https://www.transfermarkt.us/luis-fabiano/profil/spieler/19082,https://img.a.transfermarkt.technology/portrait/small/19082-1588240076.jpg?lm=1,N/A,08.11.1980,Campinas,Retired
2,Rogério Ceni,Unknown,836,99,3,74.926,N/A,Ceni,Unknown,45,3,São Paulo Futebol Clube,Goalkeeper,"1,88 m",Brazil,br,https://www.transfermarkt.us/rogerio-ceni/profil/spieler/13811,https://img.a.transfermarkt.technology/portrait/small/13811-1591950054.jpg?lm=1,N/A,22.01.1973,Pato Branco,Retired
3,Luciano,Unknown,273,88,24,18.296,N/A,Luciano,#10,63,0,São Paulo Futebol Clube,Attack - Second Striker,"1,81 m",Brazil,br,https://www.transfermarkt.us/luciano/profil/spieler/223560,https://img.a.transfermarkt.technology/portrait/small/223560-1490622723.jpg?lm=1,N/A,18.05.1993,Anápolis,São Paulo Futebol Clube
4,Jonathan Calleri,Unknown,223,79,26,16.609,N/A,Calleri,#9,41,2,São Paulo Futebol Clube,Attack - Centre-Forward,"1,81 m",Argentina,ar,https://www.transfermarkt.us/jonathan-calleri/profil/spieler/284727,https://img.a.transfermarkt.technology/portrait/small/284727-1738840512.jpg?lm=1,N/A,23.09.1993,Buenos Aires,São Paulo Futebol Clube
5,Dagoberto,Unknown,241,61,48,17.093,N/A,Dagoberto,Unknown,65,4,São Paulo Futebol Clube,Attack - Centre-Forward,"1,75 m",Brazil,br,https://www.transfermarkt.us/dagoberto/profil/spieler/26266,https://img.a.transfermarkt.technology/portrait/small/26266-1505766235.png?lm=1,N/A,22.03.1983,Dois Vizinhos,Retired
6,França,Unknown,98,59,12,6.969,N/A,França,Unknown,2,1,São Paulo Futebol Clube,Attack - Centre-Forward,,Brazil,br,https://www.transfermarkt.us/franca/profil/spieler/1515,https://img.a.transfermarkt.technology/portrait/small/1515-1702980431.jpg?lm=1,N/A,02.03.1976,Codó,Retired
7,Borges,Unknown,150,55,16,9.678,N/A,Borges,Unknown,23,1,São Paulo Futebol Clube,Attack - Centre-Forward,"1,76 m",Brazil,br,https://www.transfermarkt.us/borges/profil/spieler/52768,https://img.a.transfermarkt.technology/portrait/small/s_52768_609_2012_2.jpg?lm=1,N/A,05.10.1980,Salvador,Retired
8,Lucas Moura,Unknown,204,53,39,16.429,N/A,Lucas Moura,#7,25,1,São Paulo Futebol Clube,Attack - Right Winger,"1,72 m",Brazil,br,https://www.transfermarkt.us/lucas-moura/profil/spieler/77100,https://img.a.transfermarkt.technology/portrait/small/77100-1654164113.jpg?lm=1,N/A,13.08.1992,São Paulo,São Paulo Futebol Clube
9,Hernanes,Unknown,320,52,42,22.839,N/A,Hernanes,Unknown,47,0,São Paulo Futebol Clube,Midfield - Attacking Midfield,"1,80 m",Brazil,br,https://www.transfermarkt.us/hernanes/profil/spieler/52897,https://img.a.transfermarkt.technology/portrait/small/52897-1410955079.jpg?lm=1,N/A,29.05.1985,Recife,ASD Sale
10,Alexandre Pato,Unknown,143,49,20,9.714,N/A,Alexandre Pato,Unknown,12,0,São Paulo Futebol Clube,Attack - Centre-Forward,"1,80 m",Brazil,br,https://www.transfermarkt.us/alexandre-pato/profil/spieler/37579,https://img.a.transfermarkt.technology/portrait/small/37579-1647201883.jpg?lm=1,N/A,02.09.1989,Pato Branco,Retired
11,Washington,Unknown,86,45,7,6.166,N/A,Washington,Unknown,10,1,São Paulo Futebol Clube,Attack - Centre-Forward,"1,89 m",Brazil,br,https://www.transfermarkt.us/washington/profil/spieler/7080,https://img.a.transfermarkt.technology/portrait/small/s_7080_123_2012_1.jpg?lm=1,N/A,01.04.1975,Brasília,Retired
12,Pablo,Unknown,119,32,11,7.378,N/A,Pablo,#92,14,0,São Paulo Futebol Clube,Attack - Centre-Forward,"1,85 m",Brazil,br,https://www.transfermarkt.us/pablo/profil/spieler/148765,https://img.a.transfermarkt.technology/portrait/small/148765-1543928792.jpg?lm=1,N/A,23.06.1992,Londrina,Sport Club do Recife
13,Reinaldo,Unknown,365,31,44,28.671,N/A,Reinaldo,#6,71,1,São Paulo Futebol Clube,Defender - Left-Back,"1,78 m",Brazil,br,https://www.transfermarkt.us/reinaldo/profil/spieler/225617,https://img.a.transfermarkt.technology/portrait/small/225617-1488967289.jpg?lm=1,N/A,28.09.1989,Porto Calvo,Mirassol Futebol Clube (SP)
14,Kaká,Unknown,91,31,18,6.827,N/A,Kaká,Unknown,11,1,São Paulo Futebol Clube,Midfield - Attacking Midfield,"1,86 m",Brazil,br,https://www.transfermarkt.us/kaka/profil/spieler/3366,https://img.a.transfermarkt.technology/portrait/small/3366-1683638749.jpg?lm=1,N/A,22.04.1982,Gama,Retired
15,Hugo,Unknown,140,30,13,8.325,N/A,Hugo,Unknown,29,1,São Paulo Futebol Clube,Midfield - Attacking Midfield,"1,84 m",Brazil,br,https://www.transfermarkt.us/hugo/profil/spieler/52756,https://img.a.transfermarkt.technology/portrait/small/s_52756_3197_2012_2.jpg?lm=1,N/A,27.10.1980,Rio de Janeiro,Retired
16,Souza,Unknown,201,27,29,13.677,N/A,Souza,Unknown,38,2,São Paulo Futebol Clube,Midfield - Attacking Midfield,"1,73 m",Brazil,br,https://www.transfermarkt.us/souza/profil/spieler/50792,https://img.a.transfermarkt.technology/portrait/small/s_50792_609_2010_1.jpg?lm=1,N/A,04.02.1979,Maceió,Retired
17,Grafite,Unknown,70,26,9,5.253,N/A,Grafite,Unknown,18,4,São Paulo Futebol Clube,Attack - Centre-Forward,,Brazil,br,https://www.transfermarkt.us/grafite/profil/spieler/37772,https://img.a.transfermarkt.technology/portrait/small/37772-1597924791.jpg?lm=1,N/A,02.04.1979,Campo Limpo Paulista,Retired
18,Brenner,Brenner Souza da Silva,73,26,4,4.053,N/A,Brenner,#22,7,1,São Paulo Futebol Clube,Attack - Centre-Forward,"1,75 m",Brazil,br,https://www.transfermarkt.us/brenner/profil/spieler/412366,https://img.a.transfermarkt.technology/portrait/small/412366-1692880573.jpg?lm=1,N/A,16.01.2000,Cuiabá,Udinese Calcio
19,Diego Tardelli,Unknown,117,25,8,4.711,N/A,Diego Tardelli,Unknown,11,3,São Paulo Futebol Clube,Attack - Centre-Forward,"1,78 m",Brazil,br,https://www.transfermarkt.us/diego-tardelli/profil/spieler/37536,https://img.a.transfermarkt.technology/portrait/small/37536-1413038743.jpg?lm=1,N/A,10.05.1985,Santa Bárbara d'Oeste,Retired
20,Alan Kardec,Unknown,94,25,10,5.654,N/A,Alan Kardec,#27,11,0,São Paulo Futebol Clube,Attack - Centre-Forward,"1,90 m",Brazil,br,https://www.transfermarkt.us/alan-kardec/profil/spieler/53922,https://img.a.transfermarkt.technology/portrait/small/53922-1662402534.jpg?lm=1,N/A,12.01.1989,Barra Mansa,Club Athletico Paranaense
21,Danilo,Unknown,148,25,5,10.375,N/A,Danilo,Unknown,22,1,São Paulo Futebol Clube,Midfield - Attacking Midfield,"1,86 m",Brazil,br,https://www.transfermarkt.us/danilo/profil/spieler/54139,https://img.a.transfermarkt.technology/portrait/small/54139-1580199280.jpg?lm=1,N/A,11.06.1979,São Gotardo,Retired
22,Ganso,Unknown,214,24,46,17.025,N/A,Ganso,#10,40,1,São Paulo Futebol Clube,Midfield - Attacking Midfield,"1,84 m",Brazil,br,https://www.transfermarkt.us/ganso/profil/spieler/67920,https://img.a.transfermarkt.technology/portrait/small/67920-1462894569.jpg?lm=1,N/A,12.10.1989,Ananindeua,Fluminense Football Club
23,Müller,Unknown,52,23,8,4.645,N/A,Müller,Unknown,1,0,São Paulo Futebol Clube,Attack - Second Striker,"1,78 m",Brazil,br,https://www.transfermarkt.us/muller/profil/spieler/102587,https://img.a.transfermarkt.technology/portrait/small/s_102587_123_2012_1.jpg?lm=1,N/A,31.01.1966,Campo Grande,Retired
24,Michel Bastos,Michel Fernandes Bastos,120,22,22,9.220,N/A,Bastos,Unknown,18,3,São Paulo Futebol Clube,Midfield - Left Midfield,,Brazil,br,https://www.transfermarkt.us/michel-bastos/profil/spieler/12142,https://img.a.transfermarkt.technology/portrait/small/12142-1570520178.jpg?lm=1,N/A,02.08.1983,Pelotas,Retired
25,Jorge Wagner,Jorge Wagner Goés Conceição,210,22,54,16.802,N/A,Wagner,Unknown,37,0,São Paulo Futebol Clube,Attack - Left Winger,"1,78 m",Brazil,br,https://www.transfermarkt.us/jorge-wagner/profil/spieler/9630,https://img.a.transfermarkt.technology/portrait/small/s_9630_6632_2013_02_16_1.jpg?lm=1,N/A,17.11.1978,Feira de Santana,Retired
26,Aloisio Chulapa,Unknown,118,22,10,7.868,N/A,Aloisio Chulapa,Unknown,29,1,São Paulo Futebol Clube,Attack - Centre-Forward,"1,88 m",Brazil,br,https://www.transfermarkt.us/aloisio-chulapa/profil/spieler/5569,https://img.a.transfermarkt.technology/portrait/small/5569-1676204335.png?lm=1,N/A,27.01.1975,Atalaia,Retired
27,Aloísio,洛国富,66,21,7,3.651,N/A,Aloísio,Unknown,8,0,São Paulo Futebol Clube,Attack - Centre-Forward,"1,70 m",China,cn,https://www.transfermarkt.us/aloisio/profil/spieler/55246,https://img.a.transfermarkt.technology/portrait/small/55246-1682804361.jpg?lm=1,N/A,19.06.1988,Araranguá,Retired
28,Marcelinho Paraíba,Unknown,82,21,17,5.002,N/A,Marcelinho Paraíba,Unknown,5,0,São Paulo Futebol Clube,Midfield - Attacking Midfield,,Brazil,br,https://www.transfermarkt.us/marcelinho-paraiba/profil/spieler/953,https://img.a.transfermarkt.technology/portrait/small/953-1461311108.jpg?lm=1,N/A,17.05.1975,Campina Grande,Retired
29,Robert Arboleda,Robert Abel Arboleda Escobar,317,21,5,27.261,N/A,Arboleda,#5,48,3,São Paulo Futebol Clube,Defender - Centre-Back,"1,89 m",Ecuador,ec,https://www.transfermarkt.us/robert-arboleda/profil/spieler/139867,https://img.a.transfermarkt.technology/portrait/small/139867-1668498219.jpg?lm=1,N/A,22.10.1991,Esmeraldas,São Paulo Futebol Clube
30,Jádson,Unknown,118,21,26,8.935,N/A,Jádson,Unknown,15,0,São Paulo Futebol Clube,Midfield - Attacking Midfield,"1,69 m",Brazil,br,https://www.transfermarkt.us/jadson/profil/spieler/29261,https://img.a.transfermarkt.technology/portrait/small/29261-1543929792.jpg?lm=1,N/A,05.10.1983,Londrina,Retired
31,Osvaldo,Unknown,156,20,34,9.287,N/A,Osvaldo,#11,19,1,São Paulo Futebol Clube,Attack - Right Winger,"1,70 m",Brazil,br,https://www.transfermarkt.us/osvaldo/profil/spieler/76191,https://img.a.transfermarkt.technology/portrait/small/76191-1681676097.jpg?lm=1,N/A,11.04.1987,Fortaleza,Esporte Clube Vitória
32,Cícero,Unknown,122,20,8,8.350,N/A,Cícero,Unknown,13,1,São Paulo Futebol Clube,Midfield - Central Midfield,,Brazil,br,https://www.transfermarkt.us/cicero/profil/spieler/17663,https://img.a.transfermarkt.technology/portrait/small/17663-1493384854.jpg?lm=1,N/A,26.08.1984,Castelo,Retired
33,Reinaldo Oliveira,Unknown,37,20,8,2.640,N/A,Reinaldo Oliveira,Unknown,3,0,São Paulo Futebol Clube,Attack - Centre-Forward,"1,87 m",Brazil,br,https://www.transfermarkt.us/reinaldo-oliveira/profil/spieler/12151,https://img.a.transfermarkt.technology/portrait/small/s_12151_309_2012_2.jpg?lm=1,N/A,14.03.1979,Itaguaí,Retired
34,Christian Cueva,Christian Alberto Cueva Bravo,87,19,17,6.485,N/A,Cueva,#10,13,1,São Paulo Futebol Clube,Midfield - Attacking Midfield,"1,69 m",Peru,pe,https://www.transfermarkt.us/christian-cueva/profil/spieler/95280,https://img.a.transfermarkt.technology/portrait/small/95280-1718677887.jpg?lm=1,N/A,23.11.1991,Trujillo,Club Cienciano
35,Fernandinho,Unknown,104,17,12,5.334,N/A,Fernandinho,#10,11,0,São Paulo Futebol Clube,Attack - Left Winger,"1,73 m",Brazil,br,https://www.transfermarkt.us/fernandinho/profil/spieler/76902,https://img.a.transfermarkt.technology/portrait/small/76902-1460713973.jpg?lm=1,N/A,25.11.1985,São Paulo,Retrô FC Brasil
36,Raí,Unknown,58,17,4,3.639,N/A,Raí,Unknown,2,1,São Paulo Futebol Clube,Midfield - Attacking Midfield,"1,88 m",Brazil,br,https://www.transfermarkt.us/raitm/profil/spieler/102583,https://img.a.transfermarkt.technology/portrait/small/102583-1490268284.jpg?lm=1,N/A,15.05.1965,Ribeirão Preto,Retired
37,Diego Souza,Unknown,59,17,4,4.178,N/A,Diego Souza,Unknown,3,1,São Paulo Futebol Clube,Attack - Centre-Forward,"1,86 m",Brazil,br,https://www.transfermarkt.us/diego-souza/profil/spieler/33315,https://img.a.transfermarkt.technology/portrait/small/33315-1454586915.jpg?lm=1,N/A,17.06.1985,Rio de Janeiro,Retired
38,Adriano,Unknown,28,17,2,2.519,N/A,Adriano,Unknown,6,1,São Paulo Futebol Clube,Attack - Centre-Forward,"1,89 m",Brazil,br,https://www.transfermarkt.us/adriano/profil/spieler/5876,https://img.a.transfermarkt.technology/portrait/small/5876-1683639650.jpg?lm=1,N/A,17.02.1982,Rio de Janeiro,Retired
39,Cicinho,Unknown,124,17,17,9.993,N/A,Cicinho,Unknown,15,2,São Paulo Futebol Clube,Defender - Right-Back,"1,71 m",Brazil,br,https://www.transfermarkt.us/cicinho/profil/spieler/26101,https://img.a.transfermarkt.technology/portrait/small/26101-1444743108.jpg?lm=1,N/A,24.06.1980,Pradópolis,Retired
40,Gabriel Sara,Gabriel Davi Gomes Sara,113,17,9,7.616,N/A,Sara,#20,13,0,São Paulo Futebol Clube,Midfield - Central Midfield,"1,77 m",Brazil,br,https://www.transfermarkt.us/gabriel-sara/profil/spieler/553469,https://img.a.transfermarkt.technology/portrait/small/553469-1731009174.jpg?lm=1,N/A,26.06.1999,Joinville,Galatasaray
41,Márcio Amoroso,Unknown,28,16,1,2.177,N/A,Márcio Amoroso,Unknown,6,0,São Paulo Futebol Clube,Attack - Centre-Forward,,Brazil,br,https://www.transfermarkt.us/marcio-amoroso/profil/spieler/1263,https://img.a.transfermarkt.technology/portrait/small/1263-1461310710.jpg?lm=1,N/A,05.07.1974,Brasília,Retired
42,Willian José,Unknown,66,16,3,3.303,N/A,Willian José,#12,1,1,São Paulo Futebol Clube,Attack - Centre-Forward,"1,86 m",Brazil,br,https://www.transfermarkt.us/willian-jose/profil/spieler/122155,https://img.a.transfermarkt.technology/portrait/small/122155-1720075360.png?lm=1,N/A,23.11.1991,Porto Calvo,Esporte Clube Bahia
43,Vitor Bueno,Unknown,120,16,7,5.839,N/A,Vitor Bueno,#55,9,1,São Paulo Futebol Clube,Midfield - Attacking Midfield,"1,83 m",Brazil,br,https://www.transfermarkt.us/vitor-bueno/profil/spieler/390368,https://img.a.transfermarkt.technology/portrait/small/390368-1510156385.jpg?lm=1,N/A,05.09.1994,Ribeirão Preto,Cerezo Osaka
44,Leandro,Unknown,103,15,12,7.556,N/A,Leandro,Unknown,17,2,São Paulo Futebol Clube,Attack - Centre-Forward,"1,70 m",Brazil,br,https://www.transfermarkt.us/leandro/profil/spieler/9626,https://img.a.transfermarkt.technology/portrait/small/s_9626_978_2010_1.jpg?lm=1,N/A,13.08.1980,Ribeirão Preto,Retired
45,Ademilson,Unknown,109,15,11,5.510,N/A,Ademilson,Unknown,4,0,São Paulo Futebol Clube,Attack - Centre-Forward,"1,76 m",Brazil,br,https://www.transfermarkt.us/ademilson/profil/spieler/187208,https://img.a.transfermarkt.technology/portrait/small/s_187208_585_2012_1.jpg?lm=1,N/A,09.01.1994,Cubatão,EC Água Santa (SP)
46,Gilberto,Unknown,43,15,4,1.683,N/A,Gilberto,#9,4,0,São Paulo Futebol Clube,Attack - Centre-Forward,"1,78 m",Brazil,br,https://www.transfermarkt.us/gilberto/profil/spieler/164013,https://img.a.transfermarkt.technology/portrait/small/164013-1464164132.jpg?lm=1,N/A,05.06.1989,Piranhas,Esporte Clube Juventude
47,Lenílson,Unknown,54,14,5,2.617,N/A,Lenílson,Unknown,5,0,São Paulo Futebol Clube,Midfield - Attacking Midfield,"1,84 m",Brazil,br,https://www.transfermarkt.us/lenilson/profil/spieler/52761,https://img.a.transfermarkt.technology/portrait/small/52761-1698252137.jpg?lm=1,N/A,01.05.1981,Salvador,Retired
