rank,name,full_name,appearances,goals,assists,minutes_played,period,jersey_name,jersey_number,yellow_cards,red_cards,club,position,height,nation,nation_code,profile_url,image_url,club_logo_url,date_of_birth,place_of_birth,status
1,Serkan Aykut,Unknown,354,194,21,27.609,N/A,Aykut,Unknown,49,3,Samsunspor,Attack - Centre-Forward,"1,74 m",Türkiye,tr,https://www.transfermarkt.us/serkan-aykut/profil/spieler/7142,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,24.02.1975,Ankara,Retired
2,Ertuğrul Sağlam,Unknown,180,58,10,13.390,N/A,Sağlam,Unknown,23,2,Samsunspor,Attack - Centre-Forward,"1,84 m",Türkiye,tr,https://www.transfermarkt.us/ertugrul-saglam/profil/spieler/17125,https://img.a.transfermarkt.technology/portrait/small/17125-1727465617.jpeg?lm=1,N/A,19.11.1969,Zonguldak,Retired
3,Cenk İşler,Cenk İşler,129,40,6,8.758,N/A,İşler,Unknown,21,3,Samsunspor,Attack - Centre-Forward,"1,80 m",Türkiye,tr,https://www.transfermarkt.us/cenk-isler/profil/spieler/1294,https://img.a.transfermarkt.technology/portrait/small/1294-1575121896.jpeg?lm=1,N/A,25.02.1974,Köln,Retired
4,Celil Sağır,Unknown,339,38,43,27.980,N/A,Sağır,Unknown,57,2,Samsunspor,Midfield - Left Midfield,"1,68 m",Türkiye,tr,https://www.transfermarkt.us/celil-sagir/profil/spieler/7057,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,15.04.1974,Samsun,Retired
5,Tanju Çolak,Tanju Çolak,44,38,3,3.854,N/A,Çolak,Unknown,5,0,Samsunspor,Attack - Centre-Forward,"1,70 m",Türkiye,tr,https://www.transfermarkt.us/tanju-colak/profil/spieler/90976,https://img.a.transfermarkt.technology/portrait/small/90976-1728993693.jpg?lm=1,N/A,10.11.1963,Samsun,Retired
6,Caner Altın,Unknown,130,34,8,7.749,N/A,Altın,Unknown,16,1,Samsunspor,Attack - Centre-Forward,"1,80 m",Türkiye,tr,https://www.transfermarkt.us/caner-altin/profil/spieler/7138,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,03.07.1983,Ankara,Retired
7,Bahattin Köse,Unknown,59,33,6,3.802,N/A,Köse,#90,3,0,Samsunspor,Attack - Centre-Forward,"1,87 m",Türkiye,tr,https://www.transfermarkt.us/bahattin-kose/profil/spieler/83230,https://img.a.transfermarkt.technology/portrait/small/83230-1723123652.png?lm=1,N/A,26.08.1990,Hamm,Kirikkale FK Spor Kulübü
8,Turgut Şahin,Turgut Doğan Şahin,82,27,12,6.574,N/A,Şahin,Unknown,15,2,Samsunspor,Attack - Left Winger,"1,85 m",Türkiye,tr,https://www.transfermarkt.us/turgut-sahin/profil/spieler/58621,https://img.a.transfermarkt.technology/portrait/small/58621-1572863313.jpg?lm=1,N/A,02.02.1988,Mersin,Retired
9,İlhan Mansız,Unknown,94,27,17,7.019,N/A,Mansız,Unknown,20,0,Samsunspor,Attack - Centre-Forward,,Türkiye,tr,https://www.transfermarkt.us/ilhan-mansiz/profil/spieler/6875,https://img.a.transfermarkt.technology/portrait/small/6875-1590420470.jpg?lm=1,N/A,10.08.1975,Kempten,Retired
10,Kubilay Yavuz,İlyas Kubilay Yavuz,86,24,13,5.250,N/A,Yavuz,#14,8,1,Samsunspor,Midfield - Central Midfield,"1,74 m",Türkiye,tr,https://www.transfermarkt.us/kubilay-yavuz/profil/spieler/324177,https://img.a.transfermarkt.technology/portrait/small/324177-1662127177.png?lm=1,N/A,26.09.1994,Trabzon,Batman Petrolspor
