rank,name,full_name,appearances,goals,assists,minutes_played,period,jersey_name,jersey_number,yellow_cards,red_cards,club,position,height,nation,nation_code,profile_url,image_url,club_logo_url,date_of_birth,place_of_birth,status
1,Anders Dreyer,Anders Laustrup Dreyer,6,3,1,540.000,N/A,Dreyer,#10,0,0,San Diego FC,Attack - Right Winger,"1,74 m",Denmark,dk,https://www.transfermarkt.us/anders-dreyer/profil/spieler/342389,https://img.a.transfermarkt.technology/portrait/small/342389-1741027062.jpg?lm=1,N/A,02.05.1998,Bramming,San Diego FC
2,Onni Valakari,Onni Johannes Simonpoika Valakari,6,2,3,298.000,N/A,Valakari,#8,0,0,San Diego FC,Midfield - Attacking Midfield,"1,87 m",Finland,fi,https://www.transfermarkt.us/onni-valakari/profil/spieler/407663,https://img.a.transfermarkt.technology/portrait/small/407663-1741027746.jpg?lm=1,N/A,18.08.1999,Motherwell,San Diego FC
3,Christopher McVey,Christopher Donald McVey,6,1,0,540.000,N/A,McVey,#97,2,0,San Diego FC,Defender - Centre-Back,"1,92 m",Sweden,se,https://www.transfermarkt.us/christopher-mcvey/profil/spieler/321155,https://img.a.transfermarkt.technology/portrait/small/321155-1741027543.jpg?lm=1,N/A,12.04.1997,Sparsör,San Diego FC
4,Luca de la Torre,Luca Daniel De la Torre,6,1,1,468.000,N/A,de la Torre,#14,1,0,San Diego FC,Midfield - Central Midfield,"1,77 m",United States,us,https://www.transfermarkt.us/luca-de-la-torre/profil/spieler/315762,https://img.a.transfermarkt.technology/portrait/small/315762-1741027182.jpg?lm=1,N/A,23.05.1998,"San Diego, California",San Diego FC
5,Franco Negri,Unknown,6,1,0,294.000,N/A,Negri,#22,3,0,San Diego FC,Defender - Left-Back,"1,76 m",Argentina,ar,https://www.transfermarkt.us/franco-negri/profil/spieler/459242,https://img.a.transfermarkt.technology/portrait/small/459242-1741027562.jpg?lm=1,N/A,20.02.1995,San Martín,San Diego FC
6,Alex Mighten,Alexander Cole Mighten,3,1,0,113.000,N/A,Mighten,#77,0,0,San Diego FC,Attack - Left Winger,"1,71 m",England,unknown,https://www.transfermarkt.us/alex-mighten/profil/spieler/503988,https://img.a.transfermarkt.technology/portrait/small/503988-1741027553.jpg?lm=1,N/A,11.04.2002,"West Hartford, Connecticut",San Diego FC
7,Marcus Ingvartsen,Marcus Højriis Ingvartsen,4,1,0,315.000,N/A,Ingvartsen,#7,0,0,San Diego FC,Attack - Centre-Forward,"1,87 m",Denmark,dk,https://www.transfermarkt.us/marcus-ingvartsen/profil/spieler/269878,https://img.a.transfermarkt.technology/portrait/small/269878-1741027344.jpg?lm=1,N/A,04.01.1996,Farum,San Diego FC
8,CJ dos Santos,Carlos Joaquim Antunes dos Santos,6,0,0,540.000,N/A,dos Santos,#1,0,0,San Diego FC,Goalkeeper,"1,94 m",United States,us,https://www.transfermarkt.us/cj-dos-santos/profil/spieler/532096,https://img.a.transfermarkt.technology/portrait/small/532096-1741027278.jpg?lm=1,N/A,24.08.2000,"Philadelphia, Pennsylvania",San Diego FC
9,Alejandro Alvarado,Alejandro Alvarado Jr.,4,0,0,120.000,N/A,Alvarado,#70,0,0,San Diego FC,Midfield - Central Midfield,"1,80 m",United States,us,https://www.transfermarkt.us/alejandro-alvarado/profil/spieler/763798,https://img.a.transfermarkt.technology/portrait/small/763798-1741027013.jpg?lm=1,N/A,29.07.2003,"Los Angeles, California",San Diego FC
10,Hamady Diop,Unknown,2,0,0,44.000,N/A,Diop,#5,0,0,San Diego FC,Defender - Left-Back,"1,83 m",Senegal,sn,https://www.transfermarkt.us/hamady-diop/profil/spieler/1089203,https://img.a.transfermarkt.technology/portrait/small/1089203-1741027052.jpg?lm=1,N/A,06.06.2002,Dakar,San Diego FC
