rank,name,full_name,appearances,goals,assists,minutes_played,period,jersey_name,jersey_number,yellow_cards,red_cards,club,position,height,nation,nation_code,profile_url,image_url,club_logo_url,date_of_birth,place_of_birth,status
1,Hisato Sato,佐藤 寿人,478,218,43,37.146,N/A,Sato,Unknown,14,0,Sanfrecce Hiroshima,Attack - Centre-Forward,"1,70 m",Japan,jp,https://www.transfermarkt.us/hisato-sato/profil/spieler/77388,https://img.a.transfermarkt.technology/portrait/small/77388-1617982564.jpg?lm=1,N/A,12.03.1982,"Kasukabe, Saitama",Retired
2,Tatsuhiko Kubo,久保 竜彦,246,84,1,16.418,N/A,Kubo,Unknown,29,1,Sanfrecce Hiroshima,Attack - Centre-Forward,"1,81 m",Japan,jp,https://www.transfermarkt.us/tatsuhiko-kubo/profil/spieler/27575,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,18.06.1976,"Chikuzen, Fukuoka",Retired
3,Koji Morisaki,森崎 浩司,414,78,20,28.798,N/A,Morisaki,Unknown,37,0,Sanfrecce Hiroshima,Midfield - Attacking Midfield,"1,77 m",Japan,jp,https://www.transfermarkt.us/koji-morisaki/profil/spieler/106271,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,09.05.1981,"Hiroshima, Hiroshima",Retired
4,Takuya Takagi,高木 琢也,176,63,3,15.247,N/A,Takagi,Unknown,8,0,Sanfrecce Hiroshima,Attack - Centre-Forward,"1,88 m",Japan,jp,https://www.transfermarkt.us/takuya-takagi/profil/spieler/165318,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,12.11.1967,"Minamishibara, Nagasaki",Retired
5,Susumu Oki,大木 勉,221,43,0,12.463,N/A,Oki,Unknown,11,0,Sanfrecce Hiroshima,Attack - Centre-Forward,"1,77 m",Japan,jp,https://www.transfermarkt.us/susumu-oki/profil/spieler/92003,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,23.02.1976,"Matsuyama, Ehime",Retired
6,Yojiro Takahagi,高萩 洋次郎,293,43,58,21.566,N/A,Takahagi,Unknown,25,0,Sanfrecce Hiroshima,Midfield - Defensive Midfield,"1,83 m",Japan,jp,https://www.transfermarkt.us/yojiro-takahagi/profil/spieler/106275,https://img.a.transfermarkt.technology/portrait/small/106275-1727907686.jpg?lm=1,N/A,02.08.1986,"Iwaki, Fukushima",Retired
7,Douglas Vieira,Unknown,172,42,14,8.938,N/A,Douglas Vieira,Unknown,16,0,Sanfrecce Hiroshima,Attack - Centre-Forward,"1,89 m",Brazil,br,https://www.transfermarkt.us/douglas-vieira/profil/spieler/373289,https://img.a.transfermarkt.technology/portrait/small/373289-1605263981.jpg?lm=1,N/A,12.11.1987,Volta Redonda (RJ),Without Club
8,Jeong-yun No,노정윤,150,37,0,12.975,N/A,No,Unknown,15,2,Sanfrecce Hiroshima,Attack - Second Striker,"1,70 m","Korea, South",unknown,https://www.transfermarkt.us/jeong-yun-no/profil/spieler/101581,https://img.a.transfermarkt.technology/portrait/small/s_101581_123_2014_01_03_1.jpg?lm=1,N/A,28.03.1971,Incheon,Retired
9,Naoki Ishihara,石原 直樹,129,36,24,9.748,N/A,Ishihara,Unknown,9,0,Sanfrecce Hiroshima,Attack - Centre-Forward,"1,73 m",Japan,jp,https://www.transfermarkt.us/naoki-ishihara/profil/spieler/110780,https://img.a.transfermarkt.technology/portrait/small/110780-1615027142.jpg?lm=1,N/A,14.08.1984,"Takasaki, Gunma",Retired
10,Patric,Unknown,72,35,6,4.987,N/A,Patric,#10,11,0,Sanfrecce Hiroshima,Attack - Centre-Forward,"1,89 m",Brazil,br,https://www.transfermarkt.us/patric/profil/spieler/174947,https://img.a.transfermarkt.technology/portrait/small/174947-1614694012.jpg?lm=1,N/A,26.10.1987,Macapá,Zweigen Kanazawa
11,Ueslei,Unknown,68,35,0,5.784,N/A,Ueslei,Unknown,19,0,Sanfrecce Hiroshima,Attack - Centre-Forward,"1,77 m",Brazil,br,https://www.transfermarkt.us/ueslei/profil/spieler/86199,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,19.04.1972,Salvador da Bahia,Retired
