rank,name,full_name,appearances,goals,assists,minutes_played,period,jersey_name,jersey_number,yellow_cards,red_cards,club,position,height,nation,nation_code,profile_url,image_url,club_logo_url,date_of_birth,place_of_birth,status
1,Hassan Nader,حسن ناضر,97,34,3,7.411,N/A,Hassan Nader,Unknown,15,1,SC Farense,Attack - Centre-Forward,"1,83 m",Morocco,ma,https://www.transfermarkt.us/hassan-nader/profil/spieler/17468,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,08.07.1965,Casablanca,Retired
2,Pedro Henrique,Unknown,95,28,4,5.668,N/A,Pedro Henrique,#9,19,1,SC Farense,Attack - Centre-Forward,"1,88 m",Brazil,br,https://www.transfermarkt.us/pedro-henrique/profil/spieler/531916,https://img.a.transfermarkt.technology/portrait/small/531916-1572342801.jpg?lm=1,N/A,08.11.1996,Goiás,Yunnan Yukun
3,Christian Irobiso,Okechukwu Christian Irobiso,121,24,12,7.569,N/A,Irobiso,#9,15,1,SC Farense,Attack - Centre-Forward,"1,90 m",Nigeria,ng,https://www.transfermarkt.us/christian-irobiso/profil/spieler/213351,https://img.a.transfermarkt.technology/portrait/small/213351-1732182732.png?lm=1,N/A,28.05.1993,Lagos,Petrolul Ploiesti
4,Ryan Gauld,Ryan Stewart Gauld,71,20,12,6.081,N/A,Gauld,#25,16,0,SC Farense,Midfield - Attacking Midfield,"1,69 m",Scotland,unknown,https://www.transfermarkt.us/ryan-gauld/profil/spieler/193081,https://img.a.transfermarkt.technology/portrait/small/193081-1712863877.jpg?lm=1,N/A,16.12.1995,Aberdeen,Vancouver Whitecaps FC
5,Rambé,Ramilton Jorge Santos do Rosário,52,19,3,4.124,N/A,Rambé,#19,12,0,SC Farense,Attack - Centre-Forward,"1,89 m",Cape Verde,unknown,https://www.transfermarkt.us/rambe/profil/spieler/157884,https://img.a.transfermarkt.technology/portrait/small/157884-1413902238.jpg?lm=1,N/A,04.10.1989,São Vicente,Academica de Sao Vicente
6,Rui Costa,Rui Pedro da Silva Costa,67,16,5,2.851,N/A,Costa,Unknown,6,0,SC Farense,Attack - Centre-Forward,"1,79 m",Portugal,pt,https://www.transfermarkt.us/rui-costa/profil/spieler/451858,https://img.a.transfermarkt.technology/portrait/small/451858-1726409986.png?lm=1,N/A,20.02.1996,Vila Nova de Famalicão,SC Farense
7,Cristian Ponde,Cristian Ioan Ponde,84,16,9,4.464,N/A,Ponde,#70,4,2,SC Farense,Attack - Right Winger,"1,81 m",Portugal,pt,https://www.transfermarkt.us/cristian-ponde/profil/spieler/198005,https://img.a.transfermarkt.technology/portrait/small/198005-1737487942.jpg?lm=1,N/A,26.01.1995,Făureşti,CD Feirense
8,Fabrício Isidoro,Unknown,184,15,5,12.594,N/A,Fabrício Isidoro,#8,44,0,SC Farense,Midfield - Central Midfield,"1,72 m",Brazil,br,https://www.transfermarkt.us/fabricio-isidoro/profil/spieler/512127,https://img.a.transfermarkt.technology/portrait/small/512127-1563989057.jpg?lm=1,N/A,28.01.1992,Belo Horizonte,Leixões SC
9,Bruno Duarte,Unknown,36,14,4,2.361,N/A,Bruno Duarte,#17,6,0,SC Farense,Attack - Centre-Forward,"1,82 m",Brazil,br,https://www.transfermarkt.us/bruno-duarte/profil/spieler/598629,https://img.a.transfermarkt.technology/portrait/small/598629-1725631470.JPG?lm=1,N/A,24.03.1996,São Paulo,Red Star Belgrade
10,Carlos Costa,Carlos Manuel Salgado Costa,155,14,1,13.341,N/A,Costa,Unknown,21,1,SC Farense,Midfield - Defensive Midfield,"1,82 m",Portugal,pt,https://www.transfermarkt.us/carlos-costa/profil/spieler/520010,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,08.11.1966,Coimbra,Retired
