rank,name,full_name,appearances,goals,assists,minutes_played,period,jersey_name,jersey_number,yellow_cards,red_cards,club,position,height,nation,nation_code,profile_url,image_url,club_logo_url,date_of_birth,place_of_birth,status
1,Eddy Bosman,Unknown,267,83,21,22.694,N/A,Bosman,Unknown,12,0,SC Heerenveen,Midfield - Central Midfield,Unknown,Netherlands,nl,https://www.transfermarkt.us/eddy-bosman/profil/spieler/335797,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,28.02.1955,Tjalleberd,Retired
2,Gerald Sibon,Unknown,181,67,27,12.126,N/A,Sibon,Unknown,18,0,SC Heerenveen,Attack - Centre-Forward,,Netherlands,nl,https://www.transfermarkt.us/gerald-sibon/profil/spieler/4559,https://img.a.transfermarkt.technology/portrait/small/4559-1464623452.jpg?lm=1,N/A,19.04.1974,Emmen,Retired
3,Thomas Haan,Unknown,194,64,41,16.969,N/A,Haan,Unknown,2,0,SC Heerenveen,Midfield,Unknown,Netherlands,nl,https://www.transfermarkt.us/thomas-haan/profil/spieler/314630,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,18.11.1945,Oude Pekela,Retired
4,Alfred Finnbogason,Alfreð Finnbogason,70,59,18,6.201,N/A,Finnbogason,Unknown,5,0,SC Heerenveen,Attack - Centre-Forward,"1,84 m",Iceland,is,https://www.transfermarkt.us/alfred-finnbogason/profil/spieler/90024,https://img.a.transfermarkt.technology/portrait/small/90024-1658601093.jpg?lm=1,N/A,01.02.1989,Reykjavík,Retired
5,Jeffrey Talan,Jeffrey Dennis Talan,208,55,20,14.551,N/A,Talan,Unknown,9,1,SC Heerenveen,Attack - Right Winger,"1,76 m",Netherlands,nl,https://www.transfermarkt.us/jeffrey-talan/profil/spieler/4412,https://img.a.transfermarkt.technology/portrait/small/4412-1613576333.jpg?lm=1,N/A,29.09.1971,Katwijk,Retired
6,Bas Dost,Bas Leon Dost,73,52,10,5.877,N/A,Dost,Unknown,4,0,SC Heerenveen,Attack - Centre-Forward,"1,96 m",Netherlands,nl,https://www.transfermarkt.us/bas-dost/profil/spieler/56331,https://img.a.transfermarkt.technology/portrait/small/56331-1599992368.jpg?lm=1,N/A,31.05.1989,Deventer,Career break
7,Afonso Alves,Afonso Alves Martins Júnior,50,48,4,4.261,N/A,Alves,Unknown,3,1,SC Heerenveen,Attack - Centre-Forward,"1,85 m",Brazil,br,https://www.transfermarkt.us/afonso-alves/profil/spieler/18758,https://img.a.transfermarkt.technology/portrait/small/18758-1697609308.jpg?lm=1,N/A,30.01.1981,Belo Horizonte,Retired
8,Jon Dahl Tomasson,Unknown,94,46,14,8.106,N/A,Tomasson,Unknown,5,0,SC Heerenveen,Attack - Centre-Forward,"1,82 m",Denmark,dk,https://www.transfermarkt.us/jon-dahl-tomasson/profil/spieler/4169,https://img.a.transfermarkt.technology/portrait/small/4169-1590395326.jpg?lm=1,N/A,29.08.1976,København,Retired
9,Anthony Lurling,Unknown,118,45,13,9.452,N/A,Lurling,Unknown,11,0,SC Heerenveen,Midfield - Attacking Midfield,,Netherlands,nl,https://www.transfermarkt.us/anthony-lurling/profil/spieler/4158,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,22.04.1977,Den Bosch,Retired
10,Henk Veerman,Hendrik Andreas Jacobus Veerman,165,43,17,8.487,N/A,Veerman,#9,11,1,SC Heerenveen,Attack - Centre-Forward,"2,01 m",Netherlands,nl,https://www.transfermarkt.us/henk-veerman/profil/spieler/271743,https://img.a.transfermarkt.technology/portrait/small/271743-1726674249.jpg?lm=1,N/A,26.02.1991,Volendam,FC Volendam
11,Erik Tammer,Unknown,93,42,0,6.765,N/A,Tammer,Unknown,4,0,SC Heerenveen,Attack - Centre-Forward,Unknown,Netherlands,nl,https://www.transfermarkt.us/erik-tammer/profil/spieler/186463,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,23.06.1969,Utrecht,Retired
12,Erik Regtop,Hendrik Jan Regtop,121,42,6,9.370,N/A,Regtop,Unknown,7,0,SC Heerenveen,Midfield - Attacking Midfield,"1,75 m",Netherlands,nl,https://www.transfermarkt.us/erik-regtop/profil/spieler/108131,https://img.a.transfermarkt.technology/portrait/small/s_108131_123_2012_1.jpg?lm=1,N/A,16.02.1968,Schoonebeek,Retired
13,Danijel Pranjic,Danijel Pranjić,168,41,43,14.676,N/A,Pranjic,Unknown,8,0,SC Heerenveen,Defender - Left-Back,"1,72 m",Croatia,hr,https://www.transfermarkt.us/danijel-pranjic/profil/spieler/25617,https://img.a.transfermarkt.technology/portrait/small/25617-1508507466.jpg?lm=1,N/A,02.12.1981,Našice,Retired
14,Jan Schulting,Unknown,183,40,34,12.825,N/A,Schulting,Unknown,1,0,SC Heerenveen,Attack - Left Winger,Unknown,Netherlands,nl,https://www.transfermarkt.us/jan-schulting/profil/spieler/362028,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,13.01.1956,Nij Beets,Retired
15,Klaas-Jan Huntelaar,Dirk Jan Klaas Huntelaar,61,39,4,4.947,N/A,Huntelaar,Unknown,3,1,SC Heerenveen,Attack - Centre-Forward,,Netherlands,nl,https://www.transfermarkt.us/klaas-jan-huntelaar/profil/spieler/4357,https://img.a.transfermarkt.technology/portrait/small/4357-1684166367.jpg?lm=1,N/A,12.08.1983,Voor-Drempt,Retired
16,Henk Prinsen,Unknown,221,38,40,17.155,N/A,Prinsen,Unknown,2,0,SC Heerenveen,Attack - Left Winger,Unknown,Netherlands,nl,https://www.transfermarkt.us/henk-prinsen/profil/spieler/314636,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,13.03.1944,Unknown,Retired
17,Henk Zoetendal,Unknown,203,37,26,18.288,N/A,Zoetendal,Unknown,1,0,SC Heerenveen,Midfield - Right Midfield,"1,90 m",Netherlands,nl,https://www.transfermarkt.us/henk-zoetendal/profil/spieler/188583,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,11.08.1941,Joure,---
18,Radoslav Samardzic,Радослав Самарџић,88,35,17,7.288,N/A,Samardzic,Unknown,3,0,SC Heerenveen,Attack - Centre-Forward,"1,80 m",Serbia,rs,https://www.transfermarkt.us/radoslav-samardzic/profil/spieler/4157,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,17.01.1970,Karavukovo,Retired
19,Boy Nijgh,Unknown,131,35,22,11.340,N/A,Nijgh,Unknown,6,1,SC Heerenveen,Attack - Centre-Forward,Unknown,Netherlands,nl,https://www.transfermarkt.us/boy-nijgh/profil/spieler/330499,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,01.10.1955,Haarlem,---
20,Reza Ghoochannejhad,"رضا قوچان نژاد , Reza Ghoochannejhad Nournia",77,32,6,5.965,N/A,Ghoochannejhad,Unknown,5,0,SC Heerenveen,Attack - Centre-Forward,"1,80 m",Iran,ir,https://www.transfermarkt.us/reza-ghoochannejhad/profil/spieler/39522,https://img.a.transfermarkt.technology/portrait/small/39522-1405083185.jpg?lm=1,N/A,20.09.1987,"Mashhad, Razavi Khorasan",Retired
21,Mika Väyrynen,Unknown,188,32,15,14.220,N/A,Väyrynen,Unknown,35,0,SC Heerenveen,Midfield - Central Midfield,"1,81 m",Finland,fi,https://www.transfermarkt.us/mika-vayrynen/profil/spieler/4405,https://img.a.transfermarkt.technology/portrait/small/s_4405_1008_2013_10_08_1.jpg?lm=1,N/A,28.12.1981,Eskilstuna,Retired
22,Cees Kist,Unknown,227,32,28,17.890,N/A,Kist,Unknown,0,0,SC Heerenveen,Midfield - Central Midfield,Unknown,Netherlands,nl,https://www.transfermarkt.us/cees-kist/profil/spieler/600879,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,03.10.1947,Unknown,Retired
23,Marcus Allbäck,Marcus Christian Allbäck,54,30,6,4.636,N/A,Allbäck,Unknown,0,0,SC Heerenveen,Attack - Centre-Forward,,Sweden,se,https://www.transfermarkt.us/marcus-allback/profil/spieler/3267,https://img.a.transfermarkt.technology/portrait/small/3267-1470315462.jpg?lm=1,N/A,05.07.1973,Göteborg,Retired
24,Georgios Samaras,Γεώργιος Σαμαράς,108,30,8,4.679,N/A,Samaras,Unknown,4,0,SC Heerenveen,Attack - Left Winger,"1,93 m",Greece,gr,https://www.transfermarkt.us/georgios-samaras/profil/spieler/6855,https://img.a.transfermarkt.technology/portrait/small/6855-1408705290.jpg?lm=1,N/A,21.02.1985,Heraklion,Retired
