rank,name,full_name,appearances,goals,assists,minutes_played,period,jersey_name,jersey_number,yellow_cards,red_cards,club,position,height,nation,nation_code,profile_url,image_url,club_logo_url,date_of_birth,place_of_birth,status
1,Hannes Aigner,Johannes Aigner,196,85,24,13.532,N/A,Aigner,Unknown,55,1,SCR Altach,Attack - Centre-Forward,"1,85 m",Austria,at,https://www.transfermarkt.us/hannes-aigner/profil/spieler/17090,https://img.a.transfermarkt.technology/portrait/small/17090-1540457057.jpg?lm=1,N/A,16.03.1981,Schwaz,Retired
2,Gert Zöhrer,Unknown,101,57,1,8.152,N/A,Zöhrer,Unknown,10,1,SCR Altach,Attack - Centre-Forward,"1,93 m",Austria,at,https://www.transfermarkt.us/gert-zohrer/profil/spieler/18756,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,02.08.1975,Unknown,Retired
3,Tomi Correa,Tomás Esteban Correa Miranda,102,44,20,7.753,N/A,Correa,Unknown,30,0,SCR Altach,Attack - Second Striker,"1,86 m",Spain,es,https://www.transfermarkt.us/tomi-correa/profil/spieler/71554,https://img.a.transfermarkt.technology/portrait/small/71554-1473844175.jpg?lm=1,N/A,05.12.1984,Santa Cruz de Tenerife,Retired
4,Oliver Mattle,Unknown,144,42,8,8.251,N/A,Mattle,Unknown,3,0,SCR Altach,Attack - Right Winger,"1,83 m",Austria,at,https://www.transfermarkt.us/oliver-mattle/profil/spieler/3044,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,31.10.1978,Bregenz,Retired
5,Christian Schöpf,Unknown,192,40,0,15.848,N/A,Schöpf,Unknown,19,1,SCR Altach,Midfield,"1,74 m",Austria,at,https://www.transfermarkt.us/christian-schopf/profil/spieler/18750,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,05.12.1975,Unknown,Retired
6,Louis Ngwat-Mahop,Louis Clément Ngwat-Mahop,190,39,14,13.000,N/A,Ngwat-Mahop,Unknown,21,1,SCR Altach,Attack - Centre-Forward,"1,83 m",Cameroon,cm,https://www.transfermarkt.us/louis-ngwat-mahop/profil/spieler/32065,https://img.a.transfermarkt.technology/portrait/small/32065-1540456191.jpg?lm=1,N/A,16.09.1987,Yaoundé,Retired
7,Philipp Netzer,Unknown,348,36,20,26.338,N/A,Netzer,Unknown,83,4,SCR Altach,Defender - Centre-Back,"1,88 m",Austria,at,https://www.transfermarkt.us/philipp-netzer/profil/spieler/17084,https://img.a.transfermarkt.technology/portrait/small/17084-1606485630.png?lm=1,N/A,02.10.1985,Bregenz,Retired
8,Rudolf Gussnig,Unknown,249,35,0,20.954,N/A,Gussnig,Unknown,47,0,SCR Altach,Attack - Centre-Forward,"1,86 m",Austria,at,https://www.transfermarkt.us/rudolf-gussnig/profil/spieler/29346,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,19.06.1969,Obervellach,Retired
9,Orhan Ademi,Unknown,101,31,9,4.093,N/A,Ademi,#7,6,0,SCR Altach,Attack - Centre-Forward,"1,89 m",Switzerland,ch,https://www.transfermarkt.us/orhan-ademi/profil/spieler/92111,https://img.a.transfermarkt.technology/portrait/small/92111-1633072733.JPG?lm=1,N/A,28.10.1991,St. Gallen,FC Widnau
10,Harald Unverdorben,Unknown,114,30,15,6.616,N/A,Unverdorben,Unknown,20,2,SCR Altach,Attack - Centre-Forward,"1,81 m",Austria,at,https://www.transfermarkt.us/harald-unverdorben/profil/spieler/7903,https://img.a.transfermarkt.technology/portrait/small/s_7903_413_2010_1.jpg?lm=1,N/A,02.01.1981,Lochen,Retired
