rank,name,full_name,appearances,goals,assists,minutes_played,period,jersey_name,jersey_number,yellow_cards,red_cards,club,position,height,nation,nation_code,profile_url,image_url,club_logo_url,date_of_birth,place_of_birth,status
1,Jordan Morris,Jordan Perry Morris,253,87,33,20.066,N/A,Morris,#13,9,0,Seattle Sounders FC,Attack - Centre-Forward,"1,81 m",United States,us,https://www.transfermarkt.us/jordan-morris/profil/spieler/337807,https://img.a.transfermarkt.technology/portrait/small/337807-1740863179.jpg?lm=1,N/A,26.10.1994,"Seattle, Washington",Seattle Sounders FC
2,Raúl Ruidíaz,Raúl Mario Ruidíaz Misitich,176,86,14,12.789,N/A,Ruidíaz,Unknown,16,0,Seattle Sounders FC,Attack - Centre-Forward,"1,69 m",Peru,pe,https://www.transfermarkt.us/raul-ruidiaz/profil/spieler/129724,https://img.a.transfermarkt.technology/portrait/small/129724-1711616797.jpg?lm=1,N/A,25.07.1990,Lima,Club Atlético Grau
3,Fredy Montero,Fredy Henkyer Montero Muñoz,247,79,40,16.621,N/A,Montero,#10,33,2,Seattle Sounders FC,Attack - Centre-Forward,"1,76 m",Colombia,co,https://www.transfermarkt.us/fredy-montero/profil/spieler/73852,https://img.a.transfermarkt.technology/portrait/small/73852-1722351629.jpg?lm=1,N/A,26.07.1987,Campo de la Cruz,CD Real Cartagena
4,Nicolás Lodeiro,Marcelo Nicolás Lodeiro Benítez,231,58,62,19.264,N/A,Lodeiro,#20,40,1,Seattle Sounders FC,Midfield - Attacking Midfield,"1,73 m",Uruguay,uy,https://www.transfermarkt.us/nicolas-lodeiro/profil/spieler/72653,https://img.a.transfermarkt.technology/portrait/small/72653-1740864307.jpg?lm=1,N/A,21.03.1989,Paysandú,Houston Dynamo FC
5,Clint Dempsey,Clinton Drew Dempsey,136,57,25,10.983,N/A,Dempsey,Unknown,13,3,Seattle Sounders FC,Attack - Second Striker,"1,85 m",United States,us,https://www.transfermarkt.us/clint-dempsey/profil/spieler/27577,https://img.a.transfermarkt.technology/portrait/small/27577-1520798945.jpg?lm=1,N/A,09.03.1983,"Nacogdoches, Texas",Retired
6,Obafemi Martins,Obafemi Akinwunmi Martins,84,43,22,6.782,N/A,Martins,Unknown,4,2,Seattle Sounders FC,Attack - Centre-Forward,,Nigeria,ng,https://www.transfermarkt.us/obafemi-martins/profil/spieler/5794,https://img.a.transfermarkt.technology/portrait/small/5794-1511175376.jpg?lm=1,N/A,28.10.1984,Lagos,Retired
7,Cristian Roldán,Unknown,355,42,51,29.279,N/A,Roldán,#7,30,1,Seattle Sounders FC,Midfield - Central Midfield,"1,73 m",United States,us,https://www.transfermarkt.us/cristian-roldan/profil/spieler/354792,https://img.a.transfermarkt.technology/portrait/small/354792-1741634494.jpg?lm=1,N/A,03.06.1995,"Artesia, California",Seattle Sounders FC
8,Lamar Neagle,Lamar Justin Neagle,166,34,20,10.126,N/A,Neagle,Unknown,14,2,Seattle Sounders FC,Attack - Right Winger,"1,79 m",United States,us,https://www.transfermarkt.us/lamar-neagle/profil/spieler/114979,https://img.a.transfermarkt.technology/portrait/small/114979-1505518853.jpg?lm=1,N/A,07.05.1987,"Tacoma, Washington",Retired
9,Will Bruin,William Christopher Bruin,154,32,14,7.780,N/A,Bruin,Unknown,8,0,Seattle Sounders FC,Attack - Centre-Forward,"1,85 m",United States,us,https://www.transfermarkt.us/will-bruin/profil/spieler/173486,https://img.a.transfermarkt.technology/portrait/small/173486-1678035291.jpg?lm=1,N/A,24.10.1989,"St. Louis, Missouri",Retired
10,Eddie Johnson,Edward Abraham Johnson,65,29,3,4.937,N/A,Johnson,Unknown,15,0,Seattle Sounders FC,Attack - Centre-Forward,"1,83 m",United States,us,https://www.transfermarkt.us/eddie-johnson/profil/spieler/38773,https://img.a.transfermarkt.technology/portrait/small/38773-1589275908.jpg?lm=1,N/A,31.03.1984,"Bunnell, Florida",Retired
11,Brad Evans,Bradley Ray Evans,247,27,21,18.921,N/A,Evans,Unknown,22,2,Seattle Sounders FC,Defender - Centre-Back,"1,85 m",United States,us,https://www.transfermarkt.us/brad-evans/profil/spieler/59460,https://img.a.transfermarkt.technology/portrait/small/59460-1520963835.JPG?lm=1,N/A,20.04.1985,"Phoenix, Arizona",Retired
12,Sébastien Le Toux,Unknown,96,26,11,7.281,N/A,Le Toux,Unknown,2,0,Seattle Sounders FC,Attack - Centre-Forward,"1,85 m",France,fr,https://www.transfermarkt.us/sebastien-le-toux/profil/spieler/23944,https://img.a.transfermarkt.technology/portrait/small/23944-1602951574.jpg?lm=1,N/A,10.01.1984,Mont-Saint-Aignan,Retired
13,Albert Rusnák,Unknown,130,25,20,10.683,N/A,Rusnák,#11,12,0,Seattle Sounders FC,Midfield - Attacking Midfield,"1,80 m",Slovakia,sk,https://www.transfermarkt.us/albert-rusnak/profil/spieler/43228,https://img.a.transfermarkt.technology/portrait/small/43228-1740863377.jpg?lm=1,N/A,07.07.1994,Vyškov,Seattle Sounders FC
14,Roger Levesque,Unknown,156,21,14,9.538,N/A,Levesque,Unknown,11,1,Seattle Sounders FC,Attack - Centre-Forward,"1,85 m",United States,us,https://www.transfermarkt.us/roger-levesque/profil/spieler/105989,https://img.a.transfermarkt.technology/portrait/small/105989-1602934845.jpg?lm=1,N/A,22.01.1981,"Portland, Maine",Retired
15,Osvaldo Alonso,Osvaldo Alonso Moreno,339,21,14,28.648,N/A,Alonso,Unknown,75,3,Seattle Sounders FC,Midfield - Defensive Midfield,"1,80 m",Cuba,cu,https://www.transfermarkt.us/osvaldo-alonso/profil/spieler/62810,https://img.a.transfermarkt.technology/portrait/small/62810-1678216220.jpg?lm=1,N/A,11.11.1985,San Cristóbal,Des Moines Menace
16,Steve Zakuani,Unknown,100,19,14,6.761,N/A,Zakuani,Unknown,6,0,Seattle Sounders FC,Attack - Left Winger,"1,82 m",DR Congo,unknown,https://www.transfermarkt.us/steve-zakuani/profil/spieler/99692,https://img.a.transfermarkt.technology/portrait/small/s_99692_9636_2013_09_23_1.jpg?lm=1,N/A,09.02.1988,Kinshasa,Retired
17,Álvaro Fernández,Álvaro Fernández Gay,105,18,8,6.121,N/A,Fernández,Unknown,9,1,Seattle Sounders FC,Midfield - Central Midfield,"1,86 m",Uruguay,uy,https://www.transfermarkt.us/alvaro-fernandez/profil/spieler/76213,https://img.a.transfermarkt.technology/portrait/small/76213-1476358574.jpg?lm=1,N/A,11.10.1985,Agraciada,Retired
18,Nate Jaqua,Jonathan Jaqua,90,17,15,4.987,N/A,Jaqua,Unknown,11,0,Seattle Sounders FC,Attack - Centre-Forward,"1,91 m",United States,us,https://www.transfermarkt.us/nate-jaqua/profil/spieler/39275,https://img.a.transfermarkt.technology/portrait/small/39275-1589276429.jpg?lm=1,N/A,28.10.1981,"Eugene, Oregon",Retired
19,Cam Weaver,William Cameron Weaver,26,15,1,1.953,N/A,Weaver,Unknown,4,0,Seattle Sounders FC,Attack - Centre-Forward,"1,95 m",United States,us,https://www.transfermarkt.us/cam-weaver/profil/spieler/62024,https://img.a.transfermarkt.technology/portrait/small/62024-1605729449.jpg?lm=1,N/A,06.10.1983,"Kent, Washington",Retired
20,Chad Barrett,Chad Randall Barrett,53,14,3,2.056,N/A,Barrett,Unknown,4,0,Seattle Sounders FC,Attack - Centre-Forward,"1,80 m",United States,us,https://www.transfermarkt.us/chad-barrett/profil/spieler/39262,https://img.a.transfermarkt.technology/portrait/small/39262-1606768081.jpg?lm=1,N/A,30.04.1985,"San Diego, California",Retired
21,Mauro Rosales,Mauro Damián Rosales,101,12,31,7.002,N/A,Rosales,Unknown,8,0,Seattle Sounders FC,Midfield - Right Midfield,"1,72 m",Argentina,ar,https://www.transfermarkt.us/mauro-rosales/profil/spieler/22813,https://img.a.transfermarkt.technology/portrait/small/22813-1489304605.jpg?lm=1,N/A,24.02.1981,Villa María,Retired
22,Víctor Rodríguez,Víctor Rodríguez Romero,53,12,9,3.485,N/A,Rodríguez,Unknown,1,0,Seattle Sounders FC,Midfield - Attacking Midfield,"1,70 m",Spain,es,https://www.transfermarkt.us/victor-rodriguez/profil/spieler/129753,https://img.a.transfermarkt.technology/portrait/small/129753-1712241679.png?lm=1,N/A,23.07.1989,Sabadell,Retired
23,Paul Rothrock,Unknown,51,12,6,2.790,N/A,Rothrock,#14,5,0,Seattle Sounders FC,Attack - Left Winger,"1,73 m",United States,us,https://www.transfermarkt.us/paul-rothrock/profil/spieler/503092,https://img.a.transfermarkt.technology/portrait/small/503092-1740863369.jpg?lm=1,N/A,09.01.1999,"Seattle, Washington",Seattle Sounders FC
24,Chad Marshall,Unknown,186,12,6,16.386,N/A,Marshall,Unknown,8,1,Seattle Sounders FC,Defender - Centre-Back,"1,90 m",United States,us,https://www.transfermarkt.us/chad-marshall/profil/spieler/26841,https://img.a.transfermarkt.technology/portrait/small/26841-1550164765.jpg?lm=1,N/A,22.08.1984,"Riverside, California",Retired
25,Harry Shipp,Harrison Shipp,75,11,5,4.184,N/A,Shipp,Unknown,3,0,Seattle Sounders FC,Attack - Left Winger,"1,75 m",United States,us,https://www.transfermarkt.us/harry-shipp/profil/spieler/302792,https://img.a.transfermarkt.technology/portrait/small/302792-1584468202.jpg?lm=1,N/A,07.11.1991,"Lake Forest, Illinois",Retired
26,Leighton O'Brien,Unknown,53,11,7,4.268,N/A,O'Brien,Unknown,12,2,Seattle Sounders FC,Midfield,"1,78 m",United States,us,https://www.transfermarkt.us/leighton-obrien/profil/spieler/125888,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,14.03.1976,"Tacoma, Washington",Retired
27,Marco Pappa,Marco Pablo Pappa Ponce,61,10,13,4.117,N/A,Pappa,Unknown,6,0,Seattle Sounders FC,Attack - Left Winger,"1,78 m",Guatemala,gt,https://www.transfermarkt.us/marco-pappa/profil/spieler/73668,https://img.a.transfermarkt.technology/portrait/small/73668-1464119376.jpg?lm=1,N/A,15.11.1987,Nueva Guatemala de la Asunción,Retired
28,Kelvin Leerdam,Kelvin Walther Gianini Leerdam,110,10,8,8.641,N/A,Leerdam,#18,16,2,Seattle Sounders FC,Defender - Right-Back,"1,78 m",Suriname,sr,https://www.transfermarkt.us/kelvin-leerdam/profil/spieler/92936,https://img.a.transfermarkt.technology/portrait/small/92936-1724752988.jpg?lm=1,N/A,24.06.1990,Paramaribo,Heracles Almelo
29,Mike Fucito,Michael Fucito,38,10,5,1.886,N/A,Fucito,Unknown,3,0,Seattle Sounders FC,Attack - Centre-Forward,"1,75 m",United States,us,https://www.transfermarkt.us/mike-fucito/profil/spieler/126308,https://img.a.transfermarkt.technology/portrait/small/126308-1610876751.jpg?lm=1,N/A,29.03.1986,"Concord, Massachusetts",Retired
30,Andy Rose,Andrew Patrick Rose,107,10,7,5.848,N/A,Rose,Unknown,12,0,Seattle Sounders FC,Defender - Centre-Back,"1,87 m",Australia,au,https://www.transfermarkt.us/andy-rose/profil/spieler/213544,https://img.a.transfermarkt.technology/portrait/small/213544-1618857628.jpg?lm=1,N/A,13.02.1990,Melbourne,Retired
31,Sammy Ochoa,Samuel Ochoa Oregel,35,10,1,1.636,N/A,Ochoa,Unknown,1,0,Seattle Sounders FC,Attack - Centre-Forward,"1,82 m",United States,us,https://www.transfermarkt.us/sammy-ochoa/profil/spieler/53964,https://img.a.transfermarkt.technology/portrait/small/53964-1561205817.jpg?lm=1,N/A,04.09.1986,Morelia,Retired
32,Léo Chú,Unknown,94,8,13,4.425,N/A,Léo Chú,#7,5,0,Seattle Sounders FC,Attack - Left Winger,"1,78 m",Brazil,br,https://www.transfermarkt.us/leo-chu/profil/spieler/468320,https://img.a.transfermarkt.technology/portrait/small/468320-1740506045.jpg?lm=1,N/A,06.04.2000,Porto Alegre,FC Dallas
33,Greg Howes,Gregory Howes,27,8,1,1.778,N/A,Howes,Unknown,5,0,Seattle Sounders FC,Midfield,"1,83 m",United States,us,https://www.transfermarkt.us/greg-howes/profil/spieler/823361,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,26.03.1977,"Tacoma, Washington",Retired
34,João Paulo,Unknown,149,8,19,11.130,N/A,João Paulo,#6,28,0,Seattle Sounders FC,Midfield - Central Midfield,"1,71 m",Brazil,br,https://www.transfermarkt.us/joao-paulo/profil/spieler/135984,https://img.a.transfermarkt.technology/portrait/small/135984-1740862997.jpg?lm=1,N/A,08.03.1991,Rio Grande do Sul,Seattle Sounders FC
35,Yeimar Gómez Andrade,Yeimar Pastor Gómez Andrade,182,8,2,15.390,N/A,Gómez Andrade,#28,35,1,Seattle Sounders FC,Defender - Centre-Back,"1,88 m",Colombia,co,https://www.transfermarkt.us/yeimar-gomez-andrade/profil/spieler/343359,https://img.a.transfermarkt.technology/portrait/small/343359-1740862986.jpg?lm=1,N/A,30.06.1992,Tado,Seattle Sounders FC
36,Josh Gardner,Joshua Gardner,60,7,4,4.604,N/A,Gardner,Unknown,8,0,Seattle Sounders FC,Defender - Left-Back,"1,80 m",United States,us,https://www.transfermarkt.us/josh-gardner/profil/spieler/39462,https://img.a.transfermarkt.technology/portrait/small/39462-1603650219.jpg?lm=1,N/A,14.09.1982,"Freeport, Texas",Retired
37,David Estrada,Unknown,57,7,0,2.497,N/A,Estrada,Unknown,3,0,Seattle Sounders FC,Attack - Right Winger,"1,74 m",Mexico,mx,https://www.transfermarkt.us/david-estrada/profil/spieler/140204,https://img.a.transfermarkt.technology/portrait/small/140204-1587021231.jpg?lm=1,N/A,04.02.1988,Morelia,Retired
38,Gustav Svensson,Karl Gustav Johan Svensson,108,7,6,8.858,N/A,Svensson,#13,6,0,Seattle Sounders FC,Defender - Centre-Back,"1,84 m",Sweden,se,https://www.transfermarkt.us/gustav-svensson/profil/spieler/41362,https://img.a.transfermarkt.technology/portrait/small/41362-1584468275.jpg?lm=1,N/A,07.02.1987,Göteborg,IFK Göteborg
39,Kenny Cooper Jr.,Kenneth Scott Cooper Jr.,26,7,6,1.223,N/A,Cooper Jr.,Unknown,1,0,Seattle Sounders FC,Attack - Centre-Forward,,United States,us,https://www.transfermarkt.us/kenny-cooper-jr-/profil/spieler/25064,https://img.a.transfermarkt.technology/portrait/small/25064-1589275786.jpg?lm=1,N/A,21.10.1984,"Baltimore, Maryland",Retired
40,Zach Scott,Zacharias Scott,241,7,5,19.033,N/A,Scott,Unknown,51,1,Seattle Sounders FC,Defender - Centre-Back,"1,80 m",United States,us,https://www.transfermarkt.us/zach-scott/profil/spieler/105995,https://img.a.transfermarkt.technology/portrait/small/105995-1417093706.jpg?lm=1,N/A,02.07.1980,"Haiku-Pauwela, Hawaii",Retired
41,Hugo Alcaraz-Cuellar,Unknown,48,6,11,3.815,N/A,Alcaraz-Cuellar,Unknown,10,0,Seattle Sounders FC,Midfield,"1,80 m",Mexico,mx,https://www.transfermarkt.us/hugo-alcaraz-cuellar/profil/spieler/824019,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,06.04.1977,Guadalajara,Retired
42,Álex Roldán,Álexander Roldán León,214,6,11,15.235,N/A,Roldán,#16,24,1,Seattle Sounders FC,Defender - Right-Back,"1,78 m",El Salvador,sv,https://www.transfermarkt.us/alex-roldan/profil/spieler/562560,https://img.a.transfermarkt.technology/portrait/small/562560-1741634544.jpg?lm=1,N/A,28.07.1996,"Artesia, California",Seattle Sounders FC
43,Joevin Jones,Joevin Martin Jones,120,6,25,8.754,N/A,Jones,Unknown,13,0,Seattle Sounders FC,Defender - Left-Back,"1,80 m",Trinidad and Tobago,tt,https://www.transfermarkt.us/joevin-jones/profil/spieler/154194,https://img.a.transfermarkt.technology/portrait/small/154194-1584466070.jpg?lm=1,N/A,03.08.1991,Carenage,Police FC
44,Nelson Valdez,Nelson Antonio Haedo Valdez,44,6,2,2.207,N/A,Valdez,Unknown,4,0,Seattle Sounders FC,Attack - Centre-Forward,"1,79 m",Paraguay,py,https://www.transfermarkt.us/nelson-valdez/profil/spieler/2050,https://img.a.transfermarkt.technology/portrait/small/2050-1407140954.jpg?lm=1,N/A,28.11.1983,Caaguazú,Retired
45,Blaise Nkufo,Blaise Isetsima Nkufo,16,5,1,1.308,N/A,Nkufo,Unknown,3,0,Seattle Sounders FC,Attack - Centre-Forward,,Switzerland,ch,https://www.transfermarkt.us/blaise-nkufo/profil/spieler/1076,https://img.a.transfermarkt.technology/portrait/small/s_1076_123_2013_06_17_1.jpg?lm=1,N/A,25.05.1975,Kinshasa,Retired
