rank,name,full_name,appearances,goals,assists,minutes_played,period,jersey_name,jersey_number,yellow_cards,red_cards,club,position,height,nation,nation_code,profile_url,image_url,club_logo_url,date_of_birth,place_of_birth,status
1,Jacques Fatton,Unknown,222,170,0,19.563,N/A,Fatton,Unknown,0,0,Servette FC,Attack - Left Winger,"1,66 m",Switzerland,ch,https://www.transfermarkt.us/jacques-fatton/profil/spieler/215426,https://img.a.transfermarkt.technology/portrait/small/215426-1735131169.jpg?lm=1,N/A,19.12.1925,Exincourt,---
2,Marc Schnyder,Unknown,492,105,0,42.926,N/A,Schnyder,Unknown,12,0,Servette FC,Midfield - Defensive Midfield,Unknown,Switzerland,ch,https://www.transfermarkt.us/marc-schnyder/profil/spieler/223080,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,25.09.1952,Genf,Retired
3,Umberto Barberis,Unknown,243,90,0,21.862,N/A,Barberis,Unknown,12,0,Servette FC,Midfield - Attacking Midfield,Unknown,Switzerland,ch,https://www.transfermarkt.us/umberto-barberis/profil/spieler/223082,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,05.06.1952,Sion,Retired
4,Joko Pfister,Hans-Jörg Pfister,196,85,0,17.013,N/A,Pfister,Unknown,4,1,Servette FC,Attack - Right Winger,Unknown,Switzerland,ch,https://www.transfermarkt.us/joko-pfister/profil/spieler/246601,https://img.a.transfermarkt.technology/portrait/small/246601-1614354917.jpg?lm=1,N/A,04.05.1951,Biel,Retired
5,Michel Desbiolles,Michel René Desbiolles,209,83,0,17.322,N/A,Desbiolles,Unknown,8,1,Servette FC,Attack,Unknown,Switzerland,ch,https://www.transfermarkt.us/michel-desbiolles/profil/spieler/306504,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,24.08.1941,Chêne-Bougeries,Retired
6,Valér Németh,Valér Arpad Németh,406,79,1,34.536,N/A,Németh,Unknown,6,0,Servette FC,Attack,Unknown,Switzerland,ch,https://www.transfermarkt.us/valer-nemeth/profil/spieler/305610,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,15.04.1938,Csorna,Retired
7,John Eriksen,John Hartmann Eriksen,94,78,1,7.917,N/A,Eriksen,Unknown,1,0,Servette FC,Attack - Centre-Forward,"1,80 m",Denmark,dk,https://www.transfermarkt.us/john-eriksen/profil/spieler/116133,https://img.a.transfermarkt.technology/portrait/small/s_116133_4023_2012_1.jpg?lm=1,N/A,20.11.1957,Svendborg,---
8,Geoffrey Tréand,Unknown,195,70,12,14.420,N/A,Tréand,Unknown,24,1,Servette FC,Midfield - Right Midfield,"1,78 m",France,fr,https://www.transfermarkt.us/geoffrey-treand/profil/spieler/43684,https://img.a.transfermarkt.technology/portrait/small/43684-1548571101.png?lm=1,N/A,16.01.1986,Annemasse,Retired
9,Jean-Paul Brigger,Unknown,112,66,0,10.015,N/A,Brigger,Unknown,10,0,Servette FC,Attack - Centre-Forward,,Switzerland,ch,https://www.transfermarkt.us/jean-paul-brigger/profil/spieler/153741,https://img.a.transfermarkt.technology/portrait/small/153741-1621278455.jpg?lm=1,N/A,14.12.1957,St. Niklaus VS,Retired
10,Miroslav Stevanovic,Miroslav Stevanović,295,64,99,25.200,N/A,Stevanovic,#9,19,2,Servette FC,Midfield - Right Midfield,"1,80 m",Bosnia-Herzegovina,unknown,https://www.transfermarkt.us/miroslav-stevanovic/profil/spieler/75816,https://img.a.transfermarkt.technology/portrait/small/75816-1697534750.jpg?lm=1,N/A,29.07.1990,Zvornik,Servette FC
11,Julian Esteban,Unknown,111,61,3,7.861,N/A,Esteban,Unknown,9,0,Servette FC,Attack - Centre-Forward,"1,74 m",Switzerland,ch,https://www.transfermarkt.us/julian-esteban/profil/spieler/35543,https://img.a.transfermarkt.technology/portrait/small/35543-1652196021.jpg?lm=1,N/A,16.09.1986,Genf,Retired
12,Walter Heuri,Unknown,127,61,0,10.636,N/A,Heuri,Unknown,1,2,Servette FC,Attack,Unknown,Switzerland,ch,https://www.transfermarkt.us/walter-heuri/profil/spieler/302710,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,18.10.1939,Unknown,---
13,Lucien Favre,Unknown,256,58,0,22.465,N/A,Favre,Unknown,7,0,Servette FC,Midfield - Attacking Midfield,"1,78 m",Switzerland,ch,https://www.transfermarkt.us/lucien-favre/profil/spieler/104264,https://img.a.transfermarkt.technology/portrait/small/104264-1735131443.jpg?lm=1,N/A,02.11.1957,Saint-Barthélemy,Retired
14,Alexandre Rey,Unknown,143,56,0,10.405,N/A,Rey,Unknown,22,0,Servette FC,Attack - Centre-Forward,"1,76 m",Switzerland,ch,https://www.transfermarkt.us/alexandre-rey/profil/spieler/4804,https://img.a.transfermarkt.technology/portrait/small/4804-1618842068.jpg?lm=1,N/A,22.09.1972,Sion,Retired
15,Lucien Pasteur,Unknown,144,51,0,12.958,N/A,Pasteur,Unknown,0,0,Servette FC,Midfield,Unknown,Switzerland,ch,https://www.transfermarkt.us/lucien-pasteur/profil/spieler/289338,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,30.09.1921,Genf,---
16,José Sinval,José Sinval de Campos,296,51,0,23.658,N/A,Sinval,Unknown,19,0,Servette FC,Midfield - Attacking Midfield,"1,71 m",Brazil,br,https://www.transfermarkt.us/jose-sinval/profil/spieler/64826,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,06.04.1967,Bebedouro,Retired
17,Oliver Neuville,Oliver Patric Neuville,125,50,0,9.017,N/A,Neuville,Unknown,2,0,Servette FC,Attack - Centre-Forward,"1,71 m",Germany,de,https://www.transfermarkt.us/oliver-neuville/profil/spieler/81,https://img.a.transfermarkt.technology/portrait/small/81-1461311005.jpg?lm=1,N/A,01.05.1973,Locarno,Retired
18,Angelo Elia,Unknown,137,50,0,10.812,N/A,Elia,Unknown,2,0,Servette FC,Attack,Unknown,Switzerland,ch,https://www.transfermarkt.us/angelo-elia/profil/spieler/229100,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,26.08.1957,Unknown,Retired
19,Matias Vitkieviez,Unknown,240,49,26,17.081,N/A,Vitkieviez,Unknown,48,1,Servette FC,Attack - Right Winger,"1,78 m",Switzerland,ch,https://www.transfermarkt.us/matias-vitkieviez/profil/spieler/43561,https://img.a.transfermarkt.technology/portrait/small/43561-1620398963.jpg?lm=1,N/A,16.05.1985,Montevideo,Retired
20,Claude Andrey,Unknown,210,49,0,18.177,N/A,Andrey,Unknown,11,0,Servette FC,Attack,,Switzerland,ch,https://www.transfermarkt.us/claude-andrey/profil/spieler/301912,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,13.06.1951,Genf,Retired
21,Jean-Claude Schindelholz,Jean-Claude Henri Schindelholz,172,48,0,14.973,N/A,Schindelholz,Unknown,1,0,Servette FC,Attack,Unknown,Switzerland,ch,https://www.transfermarkt.us/jean-claude-schindelholz/profil/spieler/236194,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,11.10.1940,Courrendlin,Retired
22,Andre Bosson,André François Bosson,197,45,0,16.930,N/A,Bosson,Unknown,3,0,Servette FC,Midfield,Unknown,Switzerland,ch,https://www.transfermarkt.us/andre-bosson/profil/spieler/305570,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,23.08.1941,Genève,Retired
23,Alex Frei,Alexander Frei,79,45,4,5.947,N/A,Frei,Unknown,8,1,Servette FC,Attack - Centre-Forward,"1,80 m",Switzerland,ch,https://www.transfermarkt.us/alex-frei/profil/spieler/4977,https://img.a.transfermarkt.technology/portrait/small/4977-1707752772.jpg?lm=1,N/A,15.07.1979,Basel,Retired
24,Dezsö Makay,Didier Eugène Makay,187,43,0,16.316,N/A,Makay,Unknown,1,1,Servette FC,Midfield,Unknown,Switzerland,ch,https://www.transfermarkt.us/dezso-makay/profil/spieler/305603,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,25.10.1938,Gödöllö,---
25,Pierre-Maurice Georgy,Unknown,95,43,0,8.220,N/A,Georgy,Unknown,0,0,Servette FC,Attack,Unknown,Switzerland,ch,https://www.transfermarkt.us/pierre-maurice-georgy/profil/spieler/305582,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,30.09.1940,Unknown,Retired
