rank,name,full_name,appearances,goals,assists,minutes_played,period,jersey_name,jersey_number,yellow_cards,red_cards,club,position,height,nation,nation_code,profile_url,image_url,club_logo_url,date_of_birth,place_of_birth,status
1,Peng Han,韩鹏,215,72,13,13.628,N/A,Han,Unknown,30,0,Shandong Taishan,Attack - Centre-Forward,"1,88 m",China,cn,https://www.transfermarkt.us/peng-han/profil/spieler/50489,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,13.09.1983,"Ji‘nan, Shandong",Retired
2,Cryzan,Unknown,104,66,25,8.011,N/A,Cryzan,#9,20,2,Shandong Taishan,Attack - Centre-Forward,"1,90 m",Brazil,br,https://www.transfermarkt.us/cryzan/profil/spieler/373300,https://img.a.transfermarkt.technology/portrait/small/373300-1520764732.jpg?lm=1,N/A,07.07.1996,Sud Menucci,Shandong Taishan
3,Graziano Pellè,Unknown,133,63,24,10.969,N/A,Pellè,Unknown,19,0,Shandong Taishan,Attack - Centre-Forward,"1,94 m",Italy,it,https://www.transfermarkt.us/graziano-pelle/profil/spieler/29594,https://img.a.transfermarkt.technology/portrait/small/29594-1609843452.jpg?lm=1,N/A,15.07.1985,San Cesario di Lecce,Retired
4,Yongpo Wang,王永珀,234,53,35,15.284,N/A,Wang,Unknown,32,1,Shandong Taishan,Midfield - Attacking Midfield,"1,76 m",China,cn,https://www.transfermarkt.us/yongpo-wang/profil/spieler/50536,https://img.a.transfermarkt.technology/portrait/small/50536-1488278165.jpg?lm=1,N/A,19.01.1987,Qingdao,Without Club
5,Diego Tardelli,Unknown,98,51,26,7.921,N/A,Diego Tardelli,Unknown,11,0,Shandong Taishan,Attack - Centre-Forward,"1,78 m",Brazil,br,https://www.transfermarkt.us/diego-tardelli/profil/spieler/37536,https://img.a.transfermarkt.technology/portrait/small/37536-1413038743.jpg?lm=1,N/A,10.05.1985,Santa Bárbara d'Oeste,Retired
6,Marouane Fellaini,Marouane Fellaini-Bakkioui,141,50,14,10.349,N/A,Fellaini,Unknown,21,1,Shandong Taishan,Midfield - Central Midfield,"1,94 m",Belgium,be,https://www.transfermarkt.us/marouane-fellaini/profil/spieler/39679,https://img.a.transfermarkt.technology/portrait/small/39679-1549036391.jpg?lm=1,N/A,22.11.1987,Etterbeek,Retired
7,Aloísio,洛国富,85,41,12,5.793,N/A,Aloísio,Unknown,8,0,Shandong Taishan,Attack - Centre-Forward,"1,70 m",China,cn,https://www.transfermarkt.us/aloisio/profil/spieler/55246,https://img.a.transfermarkt.technology/portrait/small/55246-1682804361.jpg?lm=1,N/A,19.06.1988,Araranguá,Retired
8,Roda Antar,"رضا عنتر, Roda Abdelhassan Antar",145,34,6,12.627,N/A,Antar,Unknown,26,0,Shandong Taishan,Midfield - Defensive Midfield,,Lebanon,lb,https://www.transfermarkt.us/roda-antar/profil/spieler/1369,https://img.a.transfermarkt.technology/portrait/small/1369-1520602092.jpg?lm=1,N/A,12.09.1980,Freetown,Retired
9,Moisés,Unknown,118,33,40,9.048,N/A,Moisés,Unknown,14,1,Shandong Taishan,Midfield - Central Midfield,"1,84 m",Brazil,br,https://www.transfermarkt.us/moises/profil/spieler/128822,https://img.a.transfermarkt.technology/portrait/small/128822-1512665744.jpg?lm=1,N/A,17.03.1988,Belo Horizonte,Retired
10,Binbin Liu,刘彬彬,295,32,46,15.661,N/A,Liu,#21,19,0,Shandong Taishan,Attack - Left Winger,"1,72 m",China,cn,https://www.transfermarkt.us/binbin-liu/profil/spieler/218268,https://img.a.transfermarkt.technology/portrait/small/218268-1564660386.jpg?lm=1,N/A,16.06.1993,Meixian,Shandong Taishan
11,Vágner Love,Unknown,43,28,12,3.570,N/A,Vágner Love,#9,12,0,Shandong Taishan,Attack - Centre-Forward,"1,72 m",Brazil,br,https://www.transfermarkt.us/vagner-love/profil/spieler/18829,https://img.a.transfermarkt.technology/portrait/small/18829-1588240175.jpg?lm=1,N/A,11.06.1984,Rio de Janeiro,Avaí FC
12,Zheng Lü,吕征,162,27,18,9.401,N/A,Lü,Unknown,17,1,Shandong Taishan,Attack - Right Winger,"1,82 m",China,cn,https://www.transfermarkt.us/zheng-lu/profil/spieler/50540,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,25.02.1985,Peking,Retired
13,Róger Guedes,Unknown,53,27,10,4.305,N/A,Róger Guedes,#10,5,0,Shandong Taishan,Attack - Second Striker,"1,82 m",Brazil,br,https://www.transfermarkt.us/roger-guedes/profil/spieler/348263,https://img.a.transfermarkt.technology/portrait/small/348263-1740665203.jpg?lm=1,N/A,02.10.1996,Ibirubá,Al-Rayyan SC
14,Jinyu Li,李金羽,73,27,4,4.602,N/A,Li,Unknown,13,0,Shandong Taishan,Attack - Centre-Forward,"1,80 m",China,cn,https://www.transfermarkt.us/jinyu-li/profil/spieler/50501,https://img.a.transfermarkt.technology/portrait/small/50501-1647002735.jpg?lm=1,N/A,06.07.1977,"Shenyang, Liaoning",Retired
15,Xu Yang,杨旭,95,26,14,6.072,N/A,Yang,Unknown,14,0,Shandong Taishan,Attack - Centre-Forward,"1,88 m",China,cn,https://www.transfermarkt.us/xu-yang/profil/spieler/140382,https://img.a.transfermarkt.technology/portrait/small/140382-1566213946.jpg?lm=1,N/A,12.02.1988,Dalian,Retired
16,Pu Chen,陈蒲,109,23,13,6.162,N/A,Chen,#29,9,0,Shandong Taishan,Attack - Left Winger,"1,75 m",China,cn,https://www.transfermarkt.us/pu-chen/profil/spieler/376597,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,15.01.1997,Chongqing,Shandong Taishan
17,Walter Montillo,Walter Damián Montillo,96,21,22,6.850,N/A,Montillo,Unknown,8,0,Shandong Taishan,Midfield - Attacking Midfield,"1,70 m",Argentina,ar,https://www.transfermarkt.us/walter-montillo/profil/spieler/19984,https://img.a.transfermarkt.technology/portrait/small/19984-1484240057.jpg?lm=1,N/A,14.04.1984,Lanús,Retired
18,Xinghan Wu,吴兴涵,266,21,32,15.363,N/A,Wu,#17,30,0,Shandong Taishan,Defender - Left-Back,"1,83 m",China,cn,https://www.transfermarkt.us/xinghan-wu/profil/spieler/221670,https://img.a.transfermarkt.technology/portrait/small/221670-1564660327.jpg?lm=1,N/A,24.02.1993,Tianjin,Shandong Taishan
19,Jingdao Jin,金敬道,222,20,31,15.566,N/A,Jin,Unknown,35,0,Shandong Taishan,Midfield - Central Midfield,"1,70 m",China,cn,https://www.transfermarkt.us/jingdao-jin/profil/spieler/198438,https://img.a.transfermarkt.technology/portrait/small/198438-1564659839.jpg?lm=1,N/A,18.11.1992,Yanbian,Retired
20,Papiss Demba Cissé,Unknown,34,18,0,2.529,N/A,Cissé,Unknown,1,0,Shandong Taishan,Attack - Centre-Forward,"1,80 m",Senegal,sn,https://www.transfermarkt.us/papiss-demba-cisse/profil/spieler/33952,https://img.a.transfermarkt.technology/portrait/small/33952-1603566371.jpeg?lm=1,N/A,03.06.1985,Dakar,Al-Qabila FC
21,Tianyu Guo,郭田雨,68,18,5,3.334,N/A,Guo,#18,6,0,Shandong Taishan,Attack - Centre-Forward,"1,92 m",China,cn,https://www.transfermarkt.us/tianyu-guo/profil/spieler/424769,https://img.a.transfermarkt.technology/portrait/small/424769-1618990068.jpg?lm=1,N/A,05.03.1999,Unknown,Singha Chiangrai United
22,Júnior Urso,Unknown,72,16,7,6.173,N/A,Júnior Urso,#30,10,0,Shandong Taishan,Midfield - Central Midfield,"1,81 m",Brazil,br,https://www.transfermarkt.us/junior-urso/profil/spieler/144789,https://img.a.transfermarkt.technology/portrait/small/144789-1740864285.jpg?lm=1,N/A,10.03.1989,Taboão da Serra,Houston Dynamo FC
23,Pedro Delgado,"Pedro Miguel Gomes Delgado, 德尔加多",59,16,5,2.420,N/A,Delgado,#4,7,0,Shandong Taishan,Midfield - Attacking Midfield,"1,88 m",Portugal,pt,https://www.transfermarkt.us/pedro-delgado/profil/spieler/258021,https://img.a.transfermarkt.technology/portrait/small/258021-1564659933.jpg?lm=1,N/A,07.04.1997,Portimão,Chengdu Rongcheng
24,Zheng Zheng,郑铮,431,15,20,35.309,N/A,Zheng,#5,70,1,Shandong Taishan,Defender - Left-Back,"1,85 m",China,cn,https://www.transfermarkt.us/zheng-zheng/profil/spieler/148011,https://img.a.transfermarkt.technology/portrait/small/148011-1564578979.jpg?lm=1,N/A,11.07.1989,Jinan,Shandong Taishan
25,Obina,Unknown,44,14,2,2.405,N/A,Obina,Unknown,6,0,Shandong Taishan,Attack - Centre-Forward,"1,83 m",Brazil,br,https://www.transfermarkt.us/obina/profil/spieler/53076,https://img.a.transfermarkt.technology/portrait/small/53076-1628638813.jpg?lm=1,N/A,31.01.1983,Vera Cruz,Retired
26,Valeri Qazaishvili,ვალერი ყაზაიშვილი,50,14,14,3.718,N/A,Qazaishvili,#10,3,0,Shandong Taishan,Attack - Left Winger,"1,74 m",Georgia,ge,https://www.transfermarkt.us/valeri-qazaishvili/profil/spieler/156115,https://img.a.transfermarkt.technology/portrait/small/156115-1584131710.JPG?lm=1,N/A,29.01.1993,Ozurgeti,Shandong Taishan
27,Jadson,Jadson Cristiano Silva de Morais,76,14,3,5.517,N/A,Jadson,Unknown,16,2,Shandong Taishan,Defender - Centre-Back,"1,89 m",Brazil,br,https://www.transfermarkt.us/jadson/profil/spieler/388588,https://img.a.transfermarkt.technology/portrait/small/388588-1510158109.jpg?lm=1,N/A,05.11.1991,Rio de Janeiro,Without Club
28,Gilberto Macena,Gilberto Macedo da Macena,58,13,13,4.102,N/A,Macena,#10,3,0,Shandong Taishan,Attack - Right Winger,"1,74 m",Brazil,br,https://www.transfermarkt.us/gilberto-macena/profil/spieler/41022,https://img.a.transfermarkt.technology/portrait/small/41022-1485029328.jpg?lm=1,N/A,01.04.1984,Rio de Janeiro,Rasisalai United
29,Junmin Hao,蒿俊闵,277,12,50,21.296,N/A,Hao,Unknown,13,0,Shandong Taishan,Midfield - Central Midfield,"1,81 m",China,cn,https://www.transfermarkt.us/junmin-hao/profil/spieler/63549,https://img.a.transfermarkt.technology/portrait/small/63549-1564660064.jpg?lm=1,N/A,24.03.1987,Wuhan,Without Club
30,Haibin Zhou,周海滨,174,12,13,11.607,N/A,Zhou,Unknown,22,0,Shandong Taishan,Midfield - Defensive Midfield,"1,83 m",China,cn,https://www.transfermarkt.us/haibin-zhou/profil/spieler/50496,https://img.a.transfermarkt.technology/portrait/small/50496-1564581764.jpg?lm=1,N/A,19.07.1985,"Dalian, Liaoning",Retired
31,Gil,Unknown,134,11,4,12.000,N/A,Gil,#4,9,0,Shandong Taishan,Defender - Centre-Back,"1,92 m",Brazil,br,https://www.transfermarkt.us/giltm/profil/spieler/101469,https://img.a.transfermarkt.technology/portrait/small/101469-1523621399.jpg?lm=1,N/A,12.06.1987,Campos dos Goytacazes,Santos FC
32,Yang Liu,刘洋,211,11,12,14.316,N/A,Liu,#11,16,1,Shandong Taishan,Defender - Left-Back,"1,84 m",China,cn,https://www.transfermarkt.us/yang-liu/profil/spieler/316041,https://img.a.transfermarkt.technology/portrait/small/316041-1564579054.jpg?lm=1,N/A,17.06.1995,"Qingdao, Shandong",Shandong Taishan
33,Chi Zhang,张弛,230,11,17,13.217,N/A,Zhang,#13,30,0,Shandong Taishan,Midfield - Right Midfield,"1,82 m",China,cn,https://www.transfermarkt.us/chi-zhang/profil/spieler/148009,https://img.a.transfermarkt.technology/portrait/small/148009-1564660166.jpg?lm=1,N/A,08.07.1987,"Jinan, Shandong",Shandong Taishan
34,Aleksandar Zivkovic,Aleksandar Živković,54,10,21,4.795,N/A,Zivkovic,Unknown,15,1,Shandong Taishan,Midfield - Central Midfield,"1,78 m",Serbia,rs,https://www.transfermarkt.us/aleksandar-zivkovic/profil/spieler/28708,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,28.07.1977,Niš,Retired
35,Wenneng Xie,谢文能,54,9,4,2.724,N/A,Xie,#23,14,0,Shandong Taishan,Attack - Right Winger,"1,75 m",China,cn,https://www.transfermarkt.us/wenneng-xie/profil/spieler/824087,https://img.a.transfermarkt.technology/portrait/small/824087-1729003567.jpg?lm=1,N/A,06.02.2001,Unknown,Shandong Taishan
36,Wenzhao Zhang,张文钊,77,9,5,3.397,N/A,Zhang,Unknown,7,0,Shandong Taishan,Midfield - Right Midfield,"1,78 m",China,cn,https://www.transfermarkt.us/wenzhao-zhang/profil/spieler/147837,https://img.a.transfermarkt.technology/portrait/small/147837-1488975722.jpg?lm=1,N/A,28.05.1987,Anshan,Without Club
