rank,name,full_name,appearances,goals,assists,minutes_played,period,jersey_name,jersey_number,yellow_cards,red_cards,club,position,height,nation,nation_code,profile_url,image_url,club_logo_url,date_of_birth,place_of_birth,status
1,Giovanni Moreno,Giovanni Andrés Moreno Cardona,265,86,41,21.514,N/A,Moreno,Unknown,37,0,Shanghai Shenhua,Midfield - Attacking Midfield,"1,92 m",Colombia,co,https://www.transfermarkt.us/giovanni-moreno/profil/spieler/74661,https://img.a.transfermarkt.technology/portrait/small/74661-1511174615.jpg?lm=1,N/A,01.07.1986,Segovia,Retired
2,Yunding Cao,曹贇定,350,39,78,23.566,N/A,Cao,Unknown,31,3,Shanghai Shenhua,Midfield - Left Midfield,"1,73 m",China,cn,https://www.transfermarkt.us/yunding-cao/profil/spieler/185084,https://img.a.transfermarkt.technology/portrait/small/185084-1511174519.jpg?lm=1,N/A,22.11.1989,Shanghai,Retired
3,Cephas Malele,Unknown,67,36,8,5.457,N/A,Malele,#11,8,0,Shanghai Shenhua,Attack - Centre-Forward,"1,85 m",Switzerland,ch,https://www.transfermarkt.us/cephas-malele/profil/spieler/22686,https://img.a.transfermarkt.technology/portrait/small/22686-1661769776.jpg?lm=1,N/A,08.01.1994,Buco-Zau,Dalian Yingbo
4,Demba Ba,Unknown,54,34,8,4.716,N/A,Ba,Unknown,6,0,Shanghai Shenhua,Attack - Centre-Forward,"1,89 m",Senegal,sn,https://www.transfermarkt.us/demba-ba/profil/spieler/40205,https://img.a.transfermarkt.technology/portrait/small/40205-1583155060.jpg?lm=1,N/A,25.05.1985,Sèvres,Retired
5,Obafemi Martins,Obafemi Akinwunmi Martins,63,32,9,4.325,N/A,Martins,Unknown,2,0,Shanghai Shenhua,Attack - Centre-Forward,,Nigeria,ng,https://www.transfermarkt.us/obafemi-martins/profil/spieler/5794,https://img.a.transfermarkt.technology/portrait/small/5794-1511175376.jpg?lm=1,N/A,28.10.1984,Lagos,Retired
6,Hanchao Yu,于汉超,134,29,12,6.890,N/A,Yu,#20,11,0,Shanghai Shenhua,Attack - Left Winger,"1,76 m",China,cn,https://www.transfermarkt.us/hanchao-yu/profil/spieler/45308,https://img.a.transfermarkt.technology/portrait/small/45308-1488976042.jpg?lm=1,N/A,25.02.1987,Dalian,Shanghai Shenhua
7,Fredy Guarín,Fredy Alejandro Guarín Vásquez,100,28,22,8.561,N/A,Guarín,Unknown,17,1,Shanghai Shenhua,Midfield - Central Midfield,"1,83 m",Colombia,co,https://www.transfermarkt.us/fredy-guarin/profil/spieler/39090,https://img.a.transfermarkt.technology/portrait/small/39090-1410339957.jpg?lm=1,N/A,30.06.1986,Puerto Boyacá,Retired
8,Duvier Riascos,Duvier Orlando Riascos Barahona,44,25,4,3.700,N/A,Riascos,Unknown,12,0,Shanghai Shenhua,Attack - Centre-Forward,"1,82 m",Colombia,co,https://www.transfermarkt.us/duvier-riascos/profil/spieler/119229,https://img.a.transfermarkt.technology/portrait/small/119229-1670575501.png?lm=1,N/A,26.06.1986,Buenaventura,Without Club
9,André Luis,Unknown,44,24,9,3.733,N/A,André Luis,#9,3,0,Shanghai Shenhua,Attack - Centre-Forward,"1,84 m",Brazil,br,https://www.transfermarkt.us/andre-luis/profil/spieler/539203,https://img.a.transfermarkt.technology/portrait/small/539203-1705664678.png?lm=1,N/A,09.03.1994,Unknown,Shanghai Shenhua
10,Xi Wu,吴曦,200,21,14,15.829,N/A,Wu,#15,23,0,Shanghai Shenhua,Midfield - Central Midfield,"1,80 m",China,cn,https://www.transfermarkt.us/xi-wu/profil/spieler/148891,https://img.a.transfermarkt.technology/portrait/small/148891-1488970663.jpg?lm=1,N/A,19.02.1989,"Shijiazhuang, Hebei",Shanghai Shenhua
11,Jianrong Zhu,朱建荣,66,19,6,2.404,N/A,Zhu,Unknown,8,0,Shanghai Shenhua,Attack - Centre-Forward,"1,85 m",China,cn,https://www.transfermarkt.us/jianrong-zhu/profil/spieler/211164,https://img.a.transfermarkt.technology/portrait/small/211164-1564397514.jpg?lm=1,N/A,12.07.1991,Qingdao,Retired
12,Shin-wook Kim,김신욱,30,15,3,2.053,N/A,Kim,#29,2,0,Shanghai Shenhua,Attack - Centre-Forward,"1,97 m","Korea, South",unknown,https://www.transfermarkt.us/shin-wook-kim/profil/spieler/152689,https://img.a.transfermarkt.technology/portrait/small/152689-1661088901.jpg?lm=1,N/A,14.04.1988,"Gwacheon, Gyeonggi",Kitchee
13,Paulo Henrique,Paulo Henrique Carneiro Filho,28,14,4,2.263,N/A,Henrique,Unknown,4,0,Shanghai Shenhua,Attack - Centre-Forward,"1,85 m",Brazil,br,https://www.transfermarkt.us/paulo-henrique/profil/spieler/52979,https://img.a.transfermarkt.technology/portrait/small/52979-1504020605.png?lm=1,N/A,13.03.1989,João Pessoa,Retired
14,Luís Ramírez,Luís Alfredo Ramírez Quioto,32,13,9,2.569,N/A,Ramírez,Unknown,1,0,Shanghai Shenhua,Attack,"1,85 m",Honduras,hn,https://www.transfermarkt.us/luis-ramirez/profil/spieler/77771,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,21.11.1977,San Pedro Sula,Retired
15,Di Gao,高迪,94,13,2,4.377,N/A,Gao,#56,6,0,Shanghai Shenhua,Attack - Centre-Forward,"1,79 m",China,cn,https://www.transfermarkt.us/di-gao/profil/spieler/140427,https://img.a.transfermarkt.technology/portrait/small/140427-1564397551.jpg?lm=1,N/A,06.01.1990,"Qufu, Shandong",Qingdao West Coast
16,Tim Cahill,Timothy Filiga Cahill,34,12,5,2.965,N/A,Cahill,Unknown,7,0,Shanghai Shenhua,Midfield - Attacking Midfield,"1,78 m",Australia,au,https://www.transfermarkt.us/tim-cahill/profil/spieler/13556,https://img.a.transfermarkt.technology/portrait/small/13556-1470905467.jpg?lm=1,N/A,06.12.1979,Sydney,Retired
17,Luis Salmerón,Luis Ángel Salmerón,29,12,0,2.469,N/A,Salmerón,Unknown,10,0,Shanghai Shenhua,Attack - Centre-Forward,"1,80 m",Argentina,ar,https://www.transfermarkt.us/luis-salmeron/profil/spieler/54652,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,18.03.1982,Córdoba,Retired
18,Jianqing Mao,毛剑卿,101,12,13,5.420,N/A,Mao,Unknown,9,0,Shanghai Shenhua,Attack - Left Winger,"1,85 m",China,cn,https://www.transfermarkt.us/jianqing-mao/profil/spieler/63548,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,08.08.1986,Shanghai,Retired
19,Firas Al-Khatib,فراس الخطيب‎,41,12,8,3.011,N/A,Al-Khatib,Unknown,2,0,Shanghai Shenhua,Attack - Centre-Forward,"1,74 m",Syria,sy,https://www.transfermarkt.us/firas-al-khatib/profil/spieler/136761,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,09.06.1983,Unknown,Retired
20,Lin Gao,郜林,51,11,3,3.277,N/A,Gao,Unknown,5,0,Shanghai Shenhua,Attack - Centre-Forward,"1,85 m",China,cn,https://www.transfermarkt.us/lin-gao/profil/spieler/74160,https://img.a.transfermarkt.technology/portrait/small/74160-1488970770.jpg?lm=1,N/A,14.02.1986,"Zhengzhou, Henan",Retired
21,Christian Bassogog,Christian Mougang Bassogog,56,11,9,3.458,N/A,Bassogog,#13,0,0,Shanghai Shenhua,Attack - Right Winger,"1,73 m",Cameroon,cm,https://www.transfermarkt.us/christian-bassogog/profil/spieler/374281,https://img.a.transfermarkt.technology/portrait/small/374281-1712157860.png?lm=1,N/A,18.10.1995,Bamenda,Al-Okhdood Club
22,Odion Ighalo,Odion Jude Ighalo,19,10,0,1.351,N/A,Ighalo,#9,2,0,Shanghai Shenhua,Attack - Centre-Forward,"1,81 m",Nigeria,ng,https://www.transfermarkt.us/odion-ighalo/profil/spieler/62121,https://img.a.transfermarkt.technology/portrait/small/62121-1681407481.jpg?lm=1,N/A,16.06.1989,Lagos,Al-Wehda FC
23,João Carlos Teixeira,João Carlos Vilaça Teixeira,58,10,7,4.350,N/A,Teixeira,#10,14,1,Shanghai Shenhua,Midfield - Attacking Midfield,"1,75 m",Portugal,pt,https://www.transfermarkt.us/joao-carlos-teixeira/profil/spieler/132214,https://img.a.transfermarkt.technology/portrait/small/132214-1547405298.png?lm=1,N/A,18.01.1993,Braga,Shanghai Shenhua
24,Renliang Feng,冯仁亮,87,10,9,6.277,N/A,Feng,Unknown,6,0,Shanghai Shenhua,Attack - Left Winger,"1,81 m",China,cn,https://www.transfermarkt.us/renliang-feng/profil/spieler/148850,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,12.05.1988,Tianjin,Tianjin Tongdao Huochetou
