rank,name,full_name,appearances,goals,assists,minutes_played,period,jersey_name,jersey_number,yellow_cards,red_cards,club,position,height,nation,nation_code,profile_url,image_url,club_logo_url,date_of_birth,place_of_birth,status
1,Edu García,Eduardo García Martín,73,28,6,5.426,N/A,García,#11,7,0,Shenzhen Peng City,Midfield - Attacking Midfield,"1,82 m",Spain,es,https://www.transfermarkt.us/edu-garcia/profil/spieler/221985,https://img.a.transfermarkt.technology/portrait/small/221985-1580981081.jpg?lm=1,N/A,24.04.1990,Zaragoza,Shenzhen Peng City
2,Jun Ruan,阮君,89,26,1,6.152,N/A,Ruan,#18,22,2,Shenzhen Peng City,Attack - Second Striker,"1,76 m",China,cn,https://www.transfermarkt.us/jun-ruan/profil/spieler/430102,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,02.01.1997,"Mianyang, Sichuan",Shaanxi Union
3,Jorge Ortiz,Jorge Ortiz Mendoza,56,15,11,4.138,N/A,Ortiz,#11,3,0,Shenzhen Peng City,Attack - Right Winger,"1,73 m",Spain,es,https://www.transfermarkt.us/jorge-ortiz/profil/spieler/379629,https://img.a.transfermarkt.technology/portrait/small/379629-1571162930.jpg?lm=1,N/A,25.04.1992,Villacañas,Mumbai City FC
4,Xiaolei Ma,马晓磊,22,12,1,1.453,N/A,Ma,Unknown,1,0,Shenzhen Peng City,Attack - Right Winger,"1,78 m",China,cn,https://www.transfermarkt.us/xiaolei-ma/profil/spieler/179997,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,19.01.1987,Unknown,Retired
5,Dalong Xia,夏达龙,81,12,2,3.524,N/A,Xia,#9,3,0,Shenzhen Peng City,Attack - Centre-Forward,"1,90 m",China,cn,https://www.transfermarkt.us/dalong-xia/profil/spieler/655560,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,27.06.1993,Nagoya,Guangdong GZ-Power
6,Qi Wang,王琪,68,11,7,3.385,N/A,Wang,Unknown,3,0,Shenzhen Peng City,Midfield - Defensive Midfield,"1,70 m",China,cn,https://www.transfermarkt.us/qi-wang/profil/spieler/254888,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,17.10.1993,"Chengdu, Sichuan",Shenzhen Peng City Reserves
7,Chu Wang,王楚,100,11,2,5.796,N/A,Wang,Unknown,11,1,Shenzhen Peng City,Midfield - Attacking Midfield,"1,80 m",China,cn,https://www.transfermarkt.us/chu-wang/profil/spieler/235976,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,10.01.1991,"Chengdu, Sichuan",Retired
8,Kun Xiao,肖鲲,112,10,5,8.072,N/A,Xiao,#2,16,0,Shenzhen Peng City,Midfield - Defensive Midfield,"1,88 m",China,cn,https://www.transfermarkt.us/kun-xiao/profil/spieler/496368,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,15.02.1995,Hunan,Qingdao Hainiu
9,Endian Li,李恩典,62,9,0,4.378,N/A,Li,#16,5,0,Shenzhen Peng City,Defender - Right-Back,"1,74 m",China,cn,https://www.transfermarkt.us/endian-li/profil/spieler/430094,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,06.03.1997,Unknown,Guangxi Union
10,Chisom Egbuchulam,Chisom Charles Egbuchulam,18,9,1,1.067,N/A,Egbuchulam,#11,4,0,Shenzhen Peng City,Attack - Centre-Forward,"1,75 m",Nigeria,ng,https://www.transfermarkt.us/chisom-egbuchulam/profil/spieler/267079,https://img.a.transfermarkt.technology/portrait/small/267079-1590158382.jpg?lm=1,N/A,22.02.1992,Enugu,Al-Jandal SC
11,Yiyao Cao,曹艺耀,44,9,0,2.442,N/A,Cao,#35,6,0,Shenzhen Peng City,Midfield,"1,85 m",China,cn,https://www.transfermarkt.us/yiyao-cao/profil/spieler/430103,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,05.11.1997,"Shaoguan, Guangdong",Xi'an Hi-Tech Yilian
12,Minghao Zhou,周铭灏,25,7,1,1.497,N/A,Zhou,#7,4,0,Shenzhen Peng City,Defender - Left-Back,"1,78 m",China,cn,https://www.transfermarkt.us/minghao-zhou/profil/spieler/430090,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,24.08.1997,Unknown,Sichuan Youth Athletic
