rank,name,full_name,appearances,goals,assists,minutes_played,period,jersey_name,jersey_number,yellow_cards,red_cards,club,position,height,nation,nation_code,profile_url,image_url,club_logo_url,date_of_birth,place_of_birth,status
1,Aatif Chahechouhe,عاطف شحشوح,152,54,26,12.913,N/A,Chahechouhe,Unknown,23,0,Sivasspor,Midfield - Attacking Midfield,"1,76 m",Morocco,ma,https://www.transfermarkt.us/aatif-chahechouhe/profil/spieler/73480,https://img.a.transfermarkt.technology/portrait/small/73480-1612716292.png?lm=1,N/A,02.07.1986,Fontenay-aux-Roses,Retired
2,Mehmet Yıldız,Unknown,169,51,33,13.422,N/A,Yıldız,Unknown,31,2,Sivasspor,Attack - Centre-Forward,"1,83 m",Türkiye,tr,https://www.transfermarkt.us/mehmet-yildiz/profil/spieler/33570,https://img.a.transfermarkt.technology/portrait/small/33570-1741772751.jpg?lm=1,N/A,14.09.1981,Yozgat,Retired
3,Hakan Arslan,Unknown,365,50,15,25.837,N/A,Arslan,#37,43,3,Sivasspor,Midfield - Central Midfield,"1,86 m",Türkiye,tr,https://www.transfermarkt.us/hakan-arslan/profil/spieler/85127,https://img.a.transfermarkt.technology/portrait/small/85127-1691661023.png?lm=1,N/A,18.07.1988,Istanbul,Serik Belediyespor
4,Mustapha Yatabaré,Unknown,156,50,15,10.906,N/A,Yatabaré,Unknown,22,2,Sivasspor,Attack - Centre-Forward,"1,86 m",Mali,ml,https://www.transfermarkt.us/mustapha-yatabare/profil/spieler/76386,https://img.a.transfermarkt.technology/portrait/small/76386-1738833264.jpg?lm=1,N/A,26.01.1986,Beauvais,Retired
5,Michael Eneramo,Unknown,109,38,18,8.632,N/A,Eneramo,Unknown,24,0,Sivasspor,Attack - Centre-Forward,"1,87 m",Nigeria,ng,https://www.transfermarkt.us/michael-eneramo/profil/spieler/49838,https://img.a.transfermarkt.technology/portrait/small/49838-1444744865.jpg?lm=1,N/A,20.11.1985,Kaduna,Retired
6,Arouna Koné,Unknown,134,35,10,6.080,N/A,Koné,Unknown,6,0,Sivasspor,Attack - Centre-Forward,"1,81 m",Cote d'Ivoire,unknown,https://www.transfermarkt.us/arouna-kone/profil/spieler/8552,https://img.a.transfermarkt.technology/portrait/small/8552-1719516316.jpg?lm=1,N/A,11.11.1983,Anyama,Retired
7,Erman Kılıç,Unknown,152,32,35,11.422,N/A,Kılıç,Unknown,22,0,Sivasspor,Midfield - Attacking Midfield,"1,66 m",Türkiye,tr,https://www.transfermarkt.us/erman-kilic/profil/spieler/53556,https://img.a.transfermarkt.technology/portrait/small/53556-1478030658.jpg?lm=1,N/A,20.09.1983,Erzincan,Retired
8,Rey Manaj,Rei Aldo Manaj,57,32,8,4.293,N/A,Manaj,#9,16,0,Sivasspor,Attack - Centre-Forward,"1,82 m",Albania,al,https://www.transfermarkt.us/rey-manaj/profil/spieler/308278,https://img.a.transfermarkt.technology/portrait/small/308278-1724077102.png?lm=1,N/A,24.02.1997,Lushnjë,Sivasspor
9,Burhan Eşer,Unknown,137,31,30,11.074,N/A,Eşer,Unknown,21,0,Sivasspor,Attack - Right Winger,"1,80 m",Türkiye,tr,https://www.transfermarkt.us/burhan-eser/profil/spieler/33958,https://img.a.transfermarkt.technology/portrait/small/33958-1638059607.png?lm=1,N/A,01.01.1985,Diyarbakir,Retired
10,Max Gradel,Max-Alain Gradel,131,29,37,10.627,N/A,Gradel,Unknown,19,1,Sivasspor,Attack - Left Winger,"1,75 m",Cote d'Ivoire,unknown,https://www.transfermarkt.us/max-gradel/profil/spieler/28140,https://img.a.transfermarkt.technology/portrait/small/28140-1705940840.png?lm=1,N/A,30.11.1987,Abidjan,Without Club
