rank,name,full_name,appearances,goals,assists,minutes_played,period,jersey_name,jersey_number,yellow_cards,red_cards,club,position,height,nation,nation_code,profile_url,image_url,club_logo_url,date_of_birth,place_of_birth,status
1,Ivo Taborsky,Ivo Táborský,157,41,7,9.219,N/A,Taborsky,Unknown,19,0,SK Dynamo Ceske Budejovice,Attack - Left Winger,"1,84 m",Czech Republic,cz,https://www.transfermarkt.us/ivo-taborsky/profil/spieler/21128,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,10.05.1985,Praha,Retired
2,Karel Vacha,Karel Vácha,138,39,12,10.865,N/A,Vacha,Unknown,14,1,SK Dynamo Ceske Budejovice,Attack - Centre-Forward,"1,82 m",Czech Republic,cz,https://www.transfermarkt.us/karel-vacha/profil/spieler/108143,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,02.08.1970,České Budějovice,Retired
3,Ladislav Fujdiar,Unknown,144,32,8,9.639,N/A,Fujdiar,Unknown,24,1,SK Dynamo Ceske Budejovice,Attack,Unknown,Czech Republic,cz,https://www.transfermarkt.us/ladislav-fujdiar/profil/spieler/377027,https://img.a.transfermarkt.technology/portrait/small/377027-1454175862.jpg?lm=1,N/A,29.01.1967,Kladno,Retired
4,Lukas Havel,Lukáš Havel,205,29,6,16.253,N/A,Havel,#5,22,2,SK Dynamo Ceske Budejovice,Defender - Centre-Back,"1,87 m",Czech Republic,cz,https://www.transfermarkt.us/lukas-havel/profil/spieler/383869,https://img.a.transfermarkt.technology/portrait/small/383869-1700723880.png?lm=1,N/A,06.06.1996,České Budějovice,FK Teplice
5,Zdenek Ondrasek,Zdeněk Ondrášek,131,28,9,8.543,N/A,Ondrasek,#13,18,0,SK Dynamo Ceske Budejovice,Attack - Centre-Forward,"1,86 m",Czech Republic,cz,https://www.transfermarkt.us/zdenek-ondrasek/profil/spieler/72947,https://img.a.transfermarkt.technology/portrait/small/72947-1700769529.png?lm=1,N/A,22.12.1988,Strakonice,SK Dynamo Ceske Budejovice
6,David Lafata,David Lafata,109,27,4,7.488,N/A,Lafata,Unknown,16,0,SK Dynamo Ceske Budejovice,Attack - Centre-Forward,"1,80 m",Czech Republic,cz,https://www.transfermarkt.us/david-lafata/profil/spieler/5077,https://img.a.transfermarkt.technology/portrait/small/5077-1418295185.jpg?lm=1,N/A,18.09.1981,České Budějovice,Retired
7,David Ledecký,Unknown,65,24,4,4.346,N/A,Ledecký,Unknown,13,0,SK Dynamo Ceske Budejovice,Attack - Centre-Forward,"1,85 m",Czech Republic,cz,https://www.transfermarkt.us/david-ledecky/profil/spieler/333654,https://img.a.transfermarkt.technology/portrait/small/333654-1678638927.JPG?lm=1,N/A,24.07.1993,Brandýs nad Labem-Stará Boleslav,SK Wullersdorf
8,Petr Benat,Petr Benát,200,24,20,14.999,N/A,Benat,Unknown,12,0,SK Dynamo Ceske Budejovice,Midfield - Attacking Midfield,"1,84 m",Czech Republic,cz,https://www.transfermarkt.us/petr-benat/profil/spieler/21006,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,20.05.1980,Děčín,Retired
9,Jan Saidl,Unknown,100,24,13,6.985,N/A,Saidl,Unknown,8,0,SK Dynamo Ceske Budejovice,Attack,Unknown,Czech Republic,cz,https://www.transfermarkt.us/jan-saidl/profil/spieler/214667,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,21.09.1970,Unknown,Retired
10,Richard Kalod,Richard Kalod,78,20,7,5.683,N/A,Kalod,Unknown,19,0,SK Dynamo Ceske Budejovice,Attack - Centre-Forward,"1,93 m",Czech Republic,cz,https://www.transfermarkt.us/richard-kalod/profil/spieler/62843,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,08.05.1984,Roznov pod Radhostem,TJ Viktoria Vestec
11,Marek Kulic,Marek Kulič,46,17,3,3.769,N/A,Kulic,Unknown,10,0,SK Dynamo Ceske Budejovice,Attack - Centre-Forward,"1,75 m",Czech Republic,cz,https://www.transfermarkt.us/marek-kulic/profil/spieler/21058,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,11.10.1975,Hradec Králové,Retired
12,Patrik Brandner,Patrik Brandner,112,17,9,6.302,N/A,Brandner,#9,9,0,SK Dynamo Ceske Budejovice,Attack - Centre-Forward,"1,80 m",Czech Republic,cz,https://www.transfermarkt.us/patrik-brandner/profil/spieler/279374,https://img.a.transfermarkt.technology/portrait/small/279374-1703023732.png?lm=1,N/A,04.01.1994,Drozdov,FC Zlin
13,Zdenek Linhart,Zdeněk Linhart,87,17,4,4.620,N/A,Linhart,Unknown,10,0,SK Dynamo Ceske Budejovice,Attack - Right Winger,"1,84 m",Czech Republic,cz,https://www.transfermarkt.us/zdenek-linhart/profil/spieler/186536,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,05.03.1994,České Budějovice,USC Schweiggers
14,Tomas Janda,Tomáš Janda,44,17,4,3.172,N/A,Janda,Unknown,4,0,SK Dynamo Ceske Budejovice,Attack - Centre-Forward,"1,92 m",Czech Republic,cz,https://www.transfermarkt.us/tomas-janda/profil/spieler/708337,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,27.06.1973,Unknown,Retired
15,Michal Klesa,Unknown,137,16,12,11.075,N/A,Klesa,Unknown,23,0,SK Dynamo Ceske Budejovice,Midfield - Right Midfield,"1,84 m",Czech Republic,cz,https://www.transfermarkt.us/michal-klesa/profil/spieler/35178,https://img.a.transfermarkt.technology/portrait/small/35178-1701588614.png?lm=1,N/A,13.05.1983,Praha,TJ Lysovice
16,Patrik Cavos,Patrik Čavoš,219,16,13,17.255,N/A,Cavos,#28,35,1,SK Dynamo Ceske Budejovice,Midfield - Defensive Midfield,"1,80 m",Czech Republic,cz,https://www.transfermarkt.us/patrik-cavos/profil/spieler/283614,https://img.a.transfermarkt.technology/portrait/small/283614-1703614466.png?lm=1,N/A,07.01.1995,Praha,MFK Karvina
17,Jaroslav Machovec,Unknown,90,16,4,7.325,N/A,Machovec,Unknown,17,0,SK Dynamo Ceske Budejovice,Defender - Centre-Back,"1,92 m",Slovakia,sk,https://www.transfermarkt.us/jaroslav-machovec/profil/spieler/74975,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,05.09.1986,Rumanová,Retired
18,Jiri Kladrubsky,Jiří Kladrubský,150,15,15,12.058,N/A,Kladrubsky,Unknown,29,3,SK Dynamo Ceske Budejovice,Defender - Right-Back,"1,85 m",Czech Republic,cz,https://www.transfermarkt.us/jiri-kladrubsky/profil/spieler/57415,https://img.a.transfermarkt.technology/portrait/small/57415-1614143157.png?lm=1,N/A,19.11.1985,České Budějovice,SK Plana
19,Benjamin Colic,Benjamin Čolić,107,15,22,9.166,N/A,Colic,#33,19,0,SK Dynamo Ceske Budejovice,Defender - Right-Back,"1,82 m",Bosnia-Herzegovina,unknown,https://www.transfermarkt.us/benjamin-colic/profil/spieler/122227,https://img.a.transfermarkt.technology/portrait/small/122227-1614142939.png?lm=1,N/A,23.07.1991,Sarajevo,FK Romanija Pale
20,Jakub Hora,Jakub Hora,100,15,14,8.232,N/A,Hora,#23,21,2,SK Dynamo Ceske Budejovice,Midfield - Central Midfield,"1,76 m",Czech Republic,cz,https://www.transfermarkt.us/jakub-hora/profil/spieler/108007,https://img.a.transfermarkt.technology/portrait/small/108007-1700724352.png?lm=1,N/A,23.02.1991,Most,FK Dukla Prague
21,Martin Vozabal,Martin Vozábal,175,15,8,12.412,N/A,Vozabal,Unknown,39,1,SK Dynamo Ceske Budejovice,Midfield - Central Midfield,"1,82 m",Czech Republic,cz,https://www.transfermarkt.us/martin-vozabal/profil/spieler/21135,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,08.11.1978,Tábor,Retired
