rank,name,full_name,appearances,goals,assists,minutes_played,period,jersey_name,jersey_number,yellow_cards,red_cards,club,position,height,nation,nation_code,profile_url,image_url,club_logo_url,date_of_birth,place_of_birth,status
1,Michal Ordos,Michal Ordoš,198,70,19,13.700,N/A,Ordos,Unknown,35,0,SK Sigma Olomouc,Attack - Centre-Forward,"1,91 m",Czech Republic,cz,https://www.transfermarkt.us/michal-ordos/profil/spieler/35654,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,27.01.1983,Znojmo,TJ Pocenice-Tetetice
2,Jakub Plsek,Jakub Plšek,188,63,18,13.796,N/A,Plsek,#15,25,0,SK Sigma Olomouc,Midfield - Central Midfield,"1,86 m",Czech Republic,cz,https://www.transfermarkt.us/jakub-plsek/profil/spieler/206945,https://img.a.transfermarkt.technology/portrait/small/206945-1592154761.jpg?lm=1,N/A,13.12.1993,Jasenná,Puskás Akadémia FC
3,Stanislav Vlcek,Stanislav Vlček,203,49,22,15.573,N/A,Vlcek,Unknown,18,1,SK Sigma Olomouc,Attack - Right Winger,"1,83 m",Czech Republic,cz,https://www.transfermarkt.us/stanislav-vlcek/profil/spieler/16010,https://img.a.transfermarkt.technology/portrait/small/16010-1491491417.jpg?lm=1,N/A,26.02.1976,Vlašim,Retired
4,Jan Navratil,Jan Navrátil,285,46,24,19.634,N/A,Navratil,#30,42,0,SK Sigma Olomouc,Midfield - Right Midfield,"1,70 m",Czech Republic,cz,https://www.transfermarkt.us/jan-navratil/profil/spieler/95802,https://img.a.transfermarkt.technology/portrait/small/95802-1701968153.png?lm=1,N/A,13.04.1990,Troubky,SK Sigma Olomouc
5,Michal Hubnik,Michal Hubník,171,39,13,11.277,N/A,Hubnik,Unknown,31,1,SK Sigma Olomouc,Attack - Centre-Forward,,Czech Republic,cz,https://www.transfermarkt.us/michal-hubnik/profil/spieler/24668,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,01.06.1983,Vsetín,Retired
6,Josef Mucha,Unknown,224,34,15,17.136,N/A,Mucha,Unknown,19,1,SK Sigma Olomouc,Midfield,"1,85 m",Czech Republic,cz,https://www.transfermarkt.us/josef-mucha/profil/spieler/230084,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,07.10.1967,Prostějov,Retired
7,Lubomir Reiter,Ľubomír Reiter,93,31,2,7.206,N/A,Reiter,Unknown,10,0,SK Sigma Olomouc,Attack - Centre-Forward,"1,81 m",Slovakia,sk,https://www.transfermarkt.us/lubomir-reiter/profil/spieler/24680,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,03.12.1974,Stropkov,Retired
8,Pavel Hapal,Unknown,64,30,6,4.707,N/A,Hapal,Unknown,9,1,SK Sigma Olomouc,Midfield - Attacking Midfield,"1,78 m",Czech Republic,cz,https://www.transfermarkt.us/pavel-hapal/profil/spieler/96639,https://img.a.transfermarkt.technology/portrait/small/96639-1538381580.jpg?lm=1,N/A,27.07.1969,Kroměříž,Retired
9,David Houska,Unknown,255,30,26,20.999,N/A,Houska,Unknown,39,0,SK Sigma Olomouc,Midfield - Central Midfield,"1,75 m",Czech Republic,cz,https://www.transfermarkt.us/david-houska/profil/spieler/206926,https://img.a.transfermarkt.technology/portrait/small/206926-1699719390.png?lm=1,N/A,29.06.1993,Unknown,Without Club
10,Tomas Chory,Tomáš Chorý,86,28,5,5.026,N/A,Chory,#25,17,0,SK Sigma Olomouc,Attack - Centre-Forward,"1,99 m",Czech Republic,cz,https://www.transfermarkt.us/tomas-chory/profil/spieler/198614,https://img.a.transfermarkt.technology/portrait/small/198614-1515072144.jpg?lm=1,N/A,26.01.1995,Olomouc,SK Slavia Prague
