rank,name,full_name,appearances,goals,assists,minutes_played,period,jersey_name,jersey_number,yellow_cards,red_cards,club,position,height,nation,nation_code,profile_url,image_url,club_logo_url,date_of_birth,place_of_birth,status
1,Milan Skoda,Milan Škoda,252,90,38,17.588,N/A,Skoda,#21,32,0,SK Slavia Prague,Attack - Centre-Forward,"1,92 m",Czech Republic,cz,https://www.transfermarkt.us/milan-skoda/profil/spieler/63047,https://img.a.transfermarkt.technology/portrait/small/63047-1697911030.png?lm=1,N/A,16.01.1986,Praha,SK Slavia Prague B
2,Pavel Kuka,Unknown,170,63,19,11.455,N/A,Kuka,Unknown,16,0,SK Slavia Prague,Attack - Centre-Forward,,Czech Republic,cz,https://www.transfermarkt.us/pavel-kuka/profil/spieler/457,https://img.a.transfermarkt.technology/portrait/small/457-1461224121.jpg?lm=1,N/A,19.07.1968,Prag,Retired
3,Stanislav Vlcek,Stanislav Vlček,196,52,28,13.353,N/A,Vlcek,Unknown,12,0,SK Slavia Prague,Attack - Right Winger,"1,83 m",Czech Republic,cz,https://www.transfermarkt.us/stanislav-vlcek/profil/spieler/16010,https://img.a.transfermarkt.technology/portrait/small/16010-1491491417.jpg?lm=1,N/A,26.02.1976,Vlašim,Retired
4,Peter Olayinka,Peter Oladeji Olayinka,183,50,26,12.533,N/A,Olayinka,#14,26,1,SK Slavia Prague,Attack - Left Winger,"1,88 m",Nigeria,ng,https://www.transfermarkt.us/peter-olayinka/profil/spieler/248393,https://img.a.transfermarkt.technology/portrait/small/248393-1694785499.jpg?lm=1,N/A,16.11.1995,Ibadan,Red Star Belgrade
5,Vaclav Jurecka,Václav Jurečka,81,49,12,5.025,N/A,Jurecka,#15,4,1,SK Slavia Prague,Attack - Centre-Forward,"1,82 m",Czech Republic,cz,https://www.transfermarkt.us/vaclav-jurecka/profil/spieler/248355,https://img.a.transfermarkt.technology/portrait/small/248355-1729518262.jpg?lm=1,N/A,26.06.1994,Opava,Caykur Rizespor
6,Tomas Dosek,Tomáš Došek,179,49,21,12.532,N/A,Dosek,Unknown,10,0,SK Slavia Prague,Attack - Centre-Forward,"1,76 m",Czech Republic,cz,https://www.transfermarkt.us/tomas-dosek/profil/spieler/15301,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,12.09.1978,Karlovy Vary,Retired
7,Robert Vagner,Robert Vágner,181,46,15,12.029,N/A,Vagner,Unknown,25,1,SK Slavia Prague,Attack - Centre-Forward,"1,81 m",Czech Republic,cz,https://www.transfermarkt.us/robert-vagner/profil/spieler/1597,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,12.05.1974,Plzeň,Retired
8,Karel Piták,Unknown,207,42,38,15.719,N/A,Piták,Unknown,31,2,SK Slavia Prague,Midfield - Central Midfield,"1,82 m",Czech Republic,cz,https://www.transfermarkt.us/karel-pitak/profil/spieler/21102,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,28.01.1980,Hradec Králové,SC Xaverov Horni Pocernice
9,Ondrej Lingr,Ondřej Lingr,162,41,12,7.972,N/A,Lingr,#9,15,0,SK Slavia Prague,Midfield - Attacking Midfield,"1,75 m",Czech Republic,cz,https://www.transfermarkt.us/ondrej-lingr/profil/spieler/321195,https://img.a.transfermarkt.technology/portrait/small/321195-1697832656.png?lm=1,N/A,07.10.1998,Havířov,Houston Dynamo FC
10,Stanislav Tecl,Unknown,186,40,25,7.819,N/A,Tecl,Unknown,7,0,SK Slavia Prague,Attack - Centre-Forward,"1,81 m",Czech Republic,cz,https://www.transfermarkt.us/stanislav-tecl/profil/spieler/81390,https://img.a.transfermarkt.technology/portrait/small/81390-1697832489.png?lm=1,N/A,01.09.1990,Jindřichův Hradec,Retired
11,Tomas Soucek,Tomáš Souček,158,40,14,13.720,N/A,Soucek,#28,28,0,SK Slavia Prague,Midfield - Defensive Midfield,"1,92 m",Czech Republic,cz,https://www.transfermarkt.us/tomas-soucek/profil/spieler/283628,https://img.a.transfermarkt.technology/portrait/small/283628-1704184173.jpg?lm=1,N/A,27.02.1995,Havlíčkův Brod,West Ham United
12,Richard Dostalek,Richard Dostálek,203,36,24,17.159,N/A,Dostalek,Unknown,28,0,SK Slavia Prague,Midfield - Central Midfield,"1,92 m",Czech Republic,cz,https://www.transfermarkt.us/richard-dostalek/profil/spieler/3398,https://img.a.transfermarkt.technology/portrait/small/3398-1675347914.jpg?lm=1,N/A,26.04.1974,Uherské Hradiště,Retired
13,Mojmír Chytil,Unknown,82,32,7,4.325,N/A,Chytil,#13,3,1,SK Slavia Prague,Attack - Centre-Forward,"1,87 m",Czech Republic,cz,https://www.transfermarkt.us/mojmir-chytil/profil/spieler/405855,https://img.a.transfermarkt.technology/portrait/small/405855-1697832425.png?lm=1,N/A,29.04.1999,Skalka,SK Slavia Prague
14,Jan Kuchta,Unknown,67,32,13,4.022,N/A,Kuchta,#10,11,1,SK Slavia Prague,Attack - Centre-Forward,"1,85 m",Czech Republic,cz,https://www.transfermarkt.us/jan-kuchta/profil/spieler/334802,https://img.a.transfermarkt.technology/portrait/small/334802-1716966274.jpg?lm=1,N/A,08.01.1997,Liberec,AC Sparta Prague
