rank,name,full_name,appearances,goals,assists,minutes_played,period,jersey_name,jersey_number,yellow_cards,red_cards,club,position,height,nation,nation_code,profile_url,image_url,club_logo_url,date_of_birth,place_of_birth,status
1,Mario Haas,Unknown,550,179,50,36.174,N/A,Haas,Unknown,40,4,SK Sturm Graz,Attack - Centre-Forward,"1,83 m",Austria,at,https://www.transfermarkt.us/mario-haas/profil/spieler/3069,https://img.a.transfermarkt.technology/portrait/small/s_3069_122_2012_1.jpg?lm=1,N/A,16.09.1974,Graz,Retired
2,Ivica Vastic,Ivica Vastić,315,153,11,27.456,N/A,Vastic,Unknown,56,1,SK Sturm Graz,Attack - Second Striker,"1,83 m",Austria,at,https://www.transfermarkt.us/ivica-vastic/profil/spieler/3683,https://img.a.transfermarkt.technology/portrait/small/3683-1493298262.jpg?lm=1,N/A,29.09.1969,Split,Retired
3,Gernot Jurtin,Unknown,470,147,0,39.285,N/A,Jurtin,Unknown,29,1,SK Sturm Graz,Attack,"1,80 m",Austria,at,https://www.transfermarkt.us/gernot-jurtin/profil/spieler/130293,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,09.09.1955,Scheifling,---
4,Bozo Bakota,Božidar Bakota,219,111,0,18.204,N/A,Bakota,Unknown,4,0,SK Sturm Graz,Attack,Unknown,Croatia,hr,https://www.transfermarkt.us/bozo-bakota/profil/spieler/135639,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,01.10.1950,Zagreb,---
5,Kurt Stendal,Unknown,278,90,0,21.766,N/A,Stendal,Unknown,7,0,SK Sturm Graz,Midfield - Central Midfield,Unknown,Denmark,dk,https://www.transfermarkt.us/kurt-stendal/profil/spieler/290617,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,19.02.1951,Værløse,---
6,Arnold Wetl,Unknown,332,74,2,25.993,N/A,Wetl,Unknown,15,0,SK Sturm Graz,Midfield - Central Midfield,,Austria,at,https://www.transfermarkt.us/arnold-wetl/profil/spieler/3067,https://img.a.transfermarkt.technology/portrait/small/s_3067_123_2012_11_12_1.jpg?lm=1,N/A,02.02.1970,Eibiswald,Retired
7,Hubert Kulmer,Unknown,324,66,0,24.876,N/A,Kulmer,Unknown,16,1,SK Sturm Graz,Attack,,Austria,at,https://www.transfermarkt.us/hubert-kulmer/profil/spieler/290612,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,30.10.1953,Unknown,---
8,Ludwig Durek,Unknown,135,65,0,12.180,N/A,Durek,Unknown,1,0,SK Sturm Graz,Attack - Centre-Forward,Unknown,Austria,at,https://www.transfermarkt.us/ludwig-durek/profil/spieler/291457,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,27.01.1921,Wien,---
9,Hannes Reinmayr,Unknown,254,61,2,16.468,N/A,Reinmayr,Unknown,25,1,SK Sturm Graz,Midfield - Attacking Midfield,,Austria,at,https://www.transfermarkt.us/hannes-reinmayr/profil/spieler/79030,https://img.a.transfermarkt.technology/portrait/small/s_79030_123_2013_10_16_1.jpg?lm=1,N/A,23.08.1969,Wien,Retired
10,Jakob Jantscher,Unknown,250,58,69,15.281,N/A,Jantscher,#89,28,0,SK Sturm Graz,Attack - Left Winger,"1,76 m",Austria,at,https://www.transfermarkt.us/jakob-jantscher/profil/spieler/52269,https://img.a.transfermarkt.technology/portrait/small/52269-1725292327.jpg?lm=1,N/A,08.01.1989,Graz,ASK Voitsberg
