rank,name,full_name,appearances,goals,assists,minutes_played,period,jersey_name,jersey_number,yellow_cards,red_cards,club,position,height,nation,nation_code,profile_url,image_url,club_logo_url,date_of_birth,place_of_birth,status
1,Raphael Veiga,Raphael Cavalcante Veiga,338,103,49,22.537,N/A,Veiga,#23,35,1,Sociedade Esportiva Palmeiras,Midfield - Attacking Midfield,"1,76 m",Brazil,br,https://www.transfermarkt.us/raphael-veiga/profil/spieler/432953,https://img.a.transfermarkt.technology/portrait/small/432953-1706144797.jpg?lm=1,N/A,19.06.1995,São Paulo,Sociedade Esportiva Palmeiras
2,Dudu,Unknown,452,88,96,35.193,N/A,Dudu,#7,56,2,Sociedade Esportiva Palmeiras,Attack - Left Winger,"1,66 m",Brazil,br,https://www.transfermarkt.us/dudu/profil/spieler/114937,https://img.a.transfermarkt.technology/portrait/small/114937-1483707641.jpg?lm=1,N/A,07.01.1992,Goiânia,Cruzeiro Esporte Clube
3,Rony,Unknown,284,70,36,18.242,N/A,Rony,#33,29,0,Sociedade Esportiva Palmeiras,Attack - Centre-Forward,"1,67 m",Brazil,br,https://www.transfermarkt.us/rony/profil/spieler/371009,https://img.a.transfermarkt.technology/portrait/small/371009-1582109366.jpg?lm=1,N/A,11.05.1995,Magalhães Barata,Clube Atlético Mineiro
4,Willian Bigode,Unknown,247,64,29,14.593,N/A,Willian Bigode,Unknown,17,2,Sociedade Esportiva Palmeiras,Attack - Second Striker,"1,71 m",Brazil,br,https://www.transfermarkt.us/willian-bigode/profil/spieler/55338,https://img.a.transfermarkt.technology/portrait/small/55338-1706144240.jpg?lm=1,N/A,19.11.1986,Três Fronteiras,América Futebol Clube (MG)
5,Gustavo Scarpa,Gustavo Henrique Furtado Scarpa,231,42,53,13.467,N/A,Scarpa,#10,18,1,Sociedade Esportiva Palmeiras,Midfield - Attacking Midfield,"1,77 m",Brazil,br,https://www.transfermarkt.us/gustavo-scarpa/profil/spieler/330085,https://img.a.transfermarkt.technology/portrait/small/330085-1671798544.jpg?lm=1,N/A,05.01.1994,Campinas,Clube Atlético Mineiro
6,Jorge Valdivia,Jorge Luis Valdivia Toro,240,41,29,17.846,N/A,Valdivia,Unknown,88,3,Sociedade Esportiva Palmeiras,Midfield - Attacking Midfield,"1,74 m",Chile,cl,https://www.transfermarkt.us/jorge-valdivia/profil/spieler/20758,https://img.a.transfermarkt.technology/portrait/small/20758-1458739983.jpg?lm=1,N/A,19.10.1983,Maracay,Retired
7,Kléber,Unknown,119,39,10,9.910,N/A,Kléber,Unknown,40,2,Sociedade Esportiva Palmeiras,Attack - Centre-Forward,"1,73 m",Brazil,br,https://www.transfermarkt.us/kleber/profil/spieler/15880,https://img.a.transfermarkt.technology/portrait/small/15880-1561130251.jpg?lm=1,N/A,12.08.1983,Osasco,Retired
8,Diego Souza,Unknown,147,38,15,11.933,N/A,Diego Souza,Unknown,25,3,Sociedade Esportiva Palmeiras,Attack - Centre-Forward,"1,86 m",Brazil,br,https://www.transfermarkt.us/diego-souza/profil/spieler/33315,https://img.a.transfermarkt.technology/portrait/small/33315-1454586915.jpg?lm=1,N/A,17.06.1985,Rio de Janeiro,Retired
9,Gustavo Gómez,Gustavo Raúl Gómez Portillo,332,38,11,29.124,N/A,Gómez,#15,72,3,Sociedade Esportiva Palmeiras,Defender - Centre-Back,"1,85 m",Paraguay,py,https://www.transfermarkt.us/gustavo-gomez/profil/spieler/215390,https://img.a.transfermarkt.technology/portrait/small/215390-1687967123.jpg?lm=1,N/A,06.05.1993,Misiones,Sociedade Esportiva Palmeiras
10,Alex Mineiro,Unknown,63,37,4,5.009,N/A,Alex Mineiro,Unknown,10,0,Sociedade Esportiva Palmeiras,Attack - Right Winger,"1,75 m",Brazil,br,https://www.transfermarkt.us/alex-mineiro/profil/spieler/53220,https://img.a.transfermarkt.technology/portrait/small/53220-1726688412.jpg?lm=1,N/A,15.03.1975,Belo Horizonte,Retired
