rank,name,full_name,appearances,goals,assists,minutes_played,period,jersey_name,jersey_number,yellow_cards,red_cards,club,position,height,nation,nation_code,profile_url,image_url,club_logo_url,date_of_birth,place_of_birth,status
1,Henk 'Charly' Bosveld,Hendrik Willem Bosveld,233,103,70,20.396,N/A,Bosveld,Unknown,2,0,Sparta Rotterdam,Midfield - Central Midfield,"1,86 m",Netherlands,nl,https://www.transfermarkt.us/henk-charly-bosveld/profil/spieler/151785,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,10.07.1941,Velp,---
2,Danny Koevermans,Unknown,130,84,12,10.215,N/A,Koevermans,Unknown,5,0,Sparta Rotterdam,Attack - Centre-Forward,"1,91 m",Netherlands,nl,https://www.transfermarkt.us/danny-koevermans/profil/spieler/19319,https://img.a.transfermarkt.technology/portrait/small/s_19319_123_2014_03_20_1.jpg?lm=1,N/A,01.11.1978,Schiedam,Retired
3,Ronald Lengkeek,Unknown,216,82,24,17.345,N/A,Lengkeek,Unknown,11,0,Sparta Rotterdam,Attack - Centre-Forward,Unknown,Netherlands,nl,https://www.transfermarkt.us/ronald-lengkeek/profil/spieler/242331,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,14.09.1960,Rotterdam,Retired
4,Janusz Kowalik,Janusz Antoni Kowalik,142,78,27,11.893,N/A,Kowalik,Unknown,0,0,Sparta Rotterdam,Attack - Centre-Forward,,Poland,pl,https://www.transfermarkt.us/janusz-kowalik/profil/spieler/257208,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,26.03.1944,Nowy Sacz,Retired
5,Tonny van Ede,Unknown,251,77,5,22.485,N/A,van Ede,Unknown,0,0,Sparta Rotterdam,Attack - Right Winger,Unknown,Netherlands,nl,https://www.transfermarkt.us/tonny-van-ede/profil/spieler/152009,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,22.12.1924,Rotterdam,---
6,Dennis de Nooijer,Unknown,298,76,15,22.903,N/A,de Nooijer,Unknown,8,1,Sparta Rotterdam,Attack - Centre-Forward,"1,84 m",Netherlands,nl,https://www.transfermarkt.us/dennis-de-nooijer/profil/spieler/4156,https://img.a.transfermarkt.technology/portrait/small/s_4156_123_2012_1.jpg?lm=1,N/A,04.04.1969,Oost-Souburg,Retired
7,Nol Heijerman,Arnold Heijerman,260,73,61,22.005,N/A,Heijerman,Unknown,4,0,Sparta Rotterdam,Attack - Right Winger,"1,80 m",Netherlands,nl,https://www.transfermarkt.us/nol-heijerman/profil/spieler/232737,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,10.10.1940,Rotterdam,---
8,Piet van Miert,Unknown,141,69,0,12.520,N/A,van Miert,Unknown,0,0,Sparta Rotterdam,Attack - Centre-Forward,Unknown,Netherlands,nl,https://www.transfermarkt.us/piet-van-miert/profil/spieler/279811,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,30.12.1938,Delft,Retired
9,Jan Klijnjan,Johannes Theunis Klijnjan,171,66,50,14.786,N/A,Klijnjan,Unknown,0,1,Sparta Rotterdam,Attack - Centre-Forward,"1,76 m",Netherlands,nl,https://www.transfermarkt.us/jan-klijnjan/profil/spieler/152448,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,26.02.1945,Papendrecht,---
10,Ricky van den Bergh,Unknown,134,64,4,9.267,N/A,van den Bergh,Unknown,26,1,Sparta Rotterdam,Midfield - Attacking Midfield,"1,76 m",Netherlands,nl,https://www.transfermarkt.us/ricky-van-den-bergh/profil/spieler/19328,https://img.a.transfermarkt.technology/portrait/small/19328-1719298507.jpg?lm=1,N/A,17.11.1980,Den Haag,Retired
11,Piet de Vries,Unknown,238,62,0,21.105,N/A,de Vries,Unknown,0,0,Sparta Rotterdam,Attack,Unknown,Netherlands,nl,https://www.transfermarkt.us/piet-de-vries/profil/spieler/154265,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,06.03.1939,Rotterdam,Retired
12,Tinus Bosselaar,Martinus Bosselaar,261,58,7,23.475,N/A,Bosselaar,Unknown,0,0,Sparta Rotterdam,Attack - Left Winger,Unknown,Netherlands,nl,https://www.transfermarkt.us/tinus-bosselaar/profil/spieler/151784,https://img.a.transfermarkt.technology/portrait/small/151784-1694424606.jpg?lm=1,N/A,16.01.1936,Rotterdam,---
