rank,name,full_name,appearances,goals,assists,minutes_played,period,jersey_name,jersey_number,yellow_cards,red_cards,club,position,height,nation,nation_code,profile_url,image_url,club_logo_url,date_of_birth,place_of_birth,status
1,Yuri Alberto,Unknown,168,64,18,12.950,N/A,Yuri Alberto,#9,23,1,Sport Club Corinthians Paulista,Attack - Centre-Forward,"1,83 m",Brazil,br,https://www.transfermarkt.us/yuri-alberto/profil/spieler/489893,https://img.a.transfermarkt.technology/portrait/small/489893-1720056861.jpg?lm=1,N/A,18.03.2001,São José dos Campos,Sport Club Corinthians Paulista
2,Jô,Unknown,258,63,15,17.633,N/A,Jô,Unknown,20,1,Sport Club Corinthians Paulista,Attack - Centre-Forward,"1,92 m",Brazil,br,https://www.transfermarkt.us/jotm/profil/spieler/34156,https://img.a.transfermarkt.technology/portrait/small/34156-1662313892.jpg?lm=1,N/A,20.03.1987,São Paulo,Without Club
3,Ángel Romero,Ángel Rodrigo Romero Villamayor,330,61,28,20.508,N/A,Romero,#11,52,1,Sport Club Corinthians Paulista,Attack - Left Winger,"1,76 m",Paraguay,py,https://www.transfermarkt.us/angel-romero/profil/spieler/262262,https://img.a.transfermarkt.technology/portrait/small/262262-1718340912.jpg?lm=1,N/A,04.07.1992,Fernando de la Mora,Sport Club Corinthians Paulista
4,Paolo Guerrero,José Paolo Guerrero Gonzáles,126,52,13,9.716,N/A,Guerrero,#34,23,2,Sport Club Corinthians Paulista,Attack - Centre-Forward,"1,85 m",Peru,pe,https://www.transfermarkt.us/paolo-guerrero/profil/spieler/2989,https://img.a.transfermarkt.technology/portrait/small/2989-1736796995.jpg?lm=1,N/A,01.01.1984,Lima,Club Alianza Lima
5,Jádson,Unknown,236,49,46,16.610,N/A,Jádson,Unknown,32,0,Sport Club Corinthians Paulista,Midfield - Attacking Midfield,"1,69 m",Brazil,br,https://www.transfermarkt.us/jadson/profil/spieler/29261,https://img.a.transfermarkt.technology/portrait/small/29261-1543929792.jpg?lm=1,N/A,05.10.1983,Londrina,Retired
6,Marcelinho Carioca,Unknown,108,46,31,8.820,N/A,Marcelinho Carioca,Unknown,16,4,Sport Club Corinthians Paulista,Midfield - Attacking Midfield,"1,69 m",Brazil,br,https://www.transfermarkt.us/marcelinho-carioca/profil/spieler/17894,https://img.a.transfermarkt.technology/portrait/small/17894-1698252644.jpg?lm=1,N/A,01.02.1971,Rio de Janeiro,Retired
7,Luizão,Unknown,60,45,7,4.299,N/A,Luizão,Unknown,23,1,Sport Club Corinthians Paulista,Attack - Centre-Forward,,Brazil,br,https://www.transfermarkt.us/luizao/profil/spieler/1727,https://img.a.transfermarkt.technology/portrait/small/1727-1683328755.jpg?lm=1,N/A,14.11.1975,Rubineia,Retired
8,Róger Guedes,Unknown,126,44,10,10.005,N/A,Róger Guedes,#10,17,0,Sport Club Corinthians Paulista,Attack - Second Striker,"1,82 m",Brazil,br,https://www.transfermarkt.us/roger-guedes/profil/spieler/348263,https://img.a.transfermarkt.technology/portrait/small/348263-1740665203.jpg?lm=1,N/A,02.10.1996,Ibirubá,Al-Rayyan SC
9,Liedson,Unknown,100,43,8,7.723,N/A,Liedson,Unknown,20,0,Sport Club Corinthians Paulista,Attack - Centre-Forward,"1,75 m",Portugal,pt,https://www.transfermarkt.us/liedson/profil/spieler/13952,https://img.a.transfermarkt.technology/portrait/small/s_13952_614_2012_2.jpg?lm=1,N/A,17.12.1977,Cairú,Retired
10,Paulinho,Unknown,212,40,17,15.068,N/A,Paulinho,Unknown,35,1,Sport Club Corinthians Paulista,Midfield - Central Midfield,"1,83 m",Brazil,br,https://www.transfermarkt.us/paulinho/profil/spieler/57229,https://img.a.transfermarkt.technology/portrait/small/57229-1563350348.jpg?lm=1,N/A,25.07.1988,São Paulo,Retired
11,Dentinho,Unknown,158,40,10,10.737,N/A,Dentinho,Unknown,25,3,Sport Club Corinthians Paulista,Attack - Centre-Forward,"1,76 m",Brazil,br,https://www.transfermarkt.us/dentinho/profil/spieler/52787,https://img.a.transfermarkt.technology/portrait/small/52787-1569591301.png?lm=1,N/A,19.01.1989,São Paulo,Brasiliense FC (DF)
12,Elias,Unknown,210,36,18,17.418,N/A,Elias,Unknown,51,1,Sport Club Corinthians Paulista,Midfield - Central Midfield,"1,73 m",Brazil,br,https://www.transfermarkt.us/elias/profil/spieler/74600,https://img.a.transfermarkt.technology/portrait/small/74600-1547646750.jpg?lm=1,N/A,16.05.1985,São Paulo,Retired
13,Ronaldo,Unknown,69,35,7,5.560,N/A,Ronaldo,Unknown,8,0,Sport Club Corinthians Paulista,Attack - Centre-Forward,"1,83 m",Brazil,br,https://www.transfermarkt.us/ronaldo/profil/spieler/3140,https://img.a.transfermarkt.technology/portrait/small/3140-1489417571.jpg?lm=1,N/A,18.09.1976,Rio de Janeiro,Retired
14,Carlos Tevez,Carlos Alberto Tévez,56,33,5,4.861,N/A,Tevez,Unknown,12,3,Sport Club Corinthians Paulista,Attack - Centre-Forward,"1,71 m",Argentina,ar,https://www.transfermarkt.us/carlos-tevez/profil/spieler/4276,https://img.a.transfermarkt.technology/portrait/small/4276-1719495009.jpg?lm=1,N/A,05.02.1984,Ciudadela,Retired
15,Danilo,Unknown,342,33,32,18.600,N/A,Danilo,Unknown,31,0,Sport Club Corinthians Paulista,Midfield - Attacking Midfield,"1,86 m",Brazil,br,https://www.transfermarkt.us/danilo/profil/spieler/54139,https://img.a.transfermarkt.technology/portrait/small/54139-1580199280.jpg?lm=1,N/A,11.06.1979,São Gotardo,Retired
16,Fábio Santos,Unknown,368,32,14,30.612,N/A,Fábio Santos,Unknown,65,3,Sport Club Corinthians Paulista,Defender - Left-Back,"1,79 m",Brazil,br,https://www.transfermarkt.us/fabio-santos/profil/spieler/13835,https://img.a.transfermarkt.technology/portrait/small/13835-1553781422.jpg?lm=1,N/A,16.09.1985,São Paulo,Retired
