rank,name,full_name,appearances,goals,assists,minutes_played,period,jersey_name,jersey_number,yellow_cards,red_cards,club,position,height,nation,nation_code,profile_url,image_url,club_logo_url,date_of_birth,place_of_birth,status
1,Diego Souza,Unknown,169,51,26,13.682,N/A,Diego Souza,Unknown,34,4,Sport Club do Recife,Attack - Centre-Forward,"1,86 m",Brazil,br,https://www.transfermarkt.us/diego-souza/profil/spieler/33315,https://img.a.transfermarkt.technology/portrait/small/33315-1454586915.jpg?lm=1,N/A,17.06.1985,Rio de Janeiro,Retired
2,André Felipe,Unknown,116,44,6,9.227,N/A,André Felipe,Unknown,21,0,Sport Club do Recife,Attack - Centre-Forward,"1,84 m",Brazil,br,https://www.transfermarkt.us/andre-felipe/profil/spieler/104509,https://img.a.transfermarkt.technology/portrait/small/104509-1679580727.png?lm=1,N/A,27.09.1990,Cabo Frio,Retired
3,Hernane,Unknown,116,36,7,6.905,N/A,Hernane,Unknown,9,1,Sport Club do Recife,Attack - Centre-Forward,"1,83 m",Brazil,br,https://www.transfermarkt.us/hernane/profil/spieler/195004,https://img.a.transfermarkt.technology/portrait/small/195004-1681746757.jpg?lm=1,N/A,08.04.1986,Bom Jesus da Lapa,Nacional FC
4,Vágner Love,Unknown,77,30,8,6.113,N/A,Vágner Love,#9,6,1,Sport Club do Recife,Attack - Centre-Forward,"1,72 m",Brazil,br,https://www.transfermarkt.us/vagner-love/profil/spieler/18829,https://img.a.transfermarkt.technology/portrait/small/18829-1588240175.jpg?lm=1,N/A,11.06.1984,Rio de Janeiro,Avaí FC
5,Luciano Juba,Luciano Batista da Silva Junior,156,30,25,11.682,N/A,Juba,#46,12,1,Sport Club do Recife,Defender - Left-Back,"1,76 m",Brazil,br,https://www.transfermarkt.us/luciano-juba/profil/spieler/676035,https://img.a.transfermarkt.technology/portrait/small/676035-1694193133.jpg?lm=1,N/A,29.08.1999,Serra Talhada,Esporte Clube Bahia
6,Rithely,Unknown,310,28,10,25.960,N/A,Rithely,Unknown,55,2,Sport Club do Recife,Midfield - Defensive Midfield,"1,75 m",Brazil,br,https://www.transfermarkt.us/rithely/profil/spieler/128932,https://img.a.transfermarkt.technology/portrait/small/128932-1520948900.jpg?lm=1,N/A,27.01.1991,São Luís,Anápolis FC
7,Marcos Aurélio,Unknown,49,27,13,4.013,N/A,Marcos Aurélio,Unknown,7,0,Sport Club do Recife,Attack - Centre-Forward,"1,68 m",Brazil,br,https://www.transfermarkt.us/marcos-aurelio/profil/spieler/50148,https://img.a.transfermarkt.technology/portrait/small/s_50148_6600_2010_2.jpg?lm=1,N/A,10.02.1984,Cuiabá,Retired
8,Ciro Alves,Unknown,70,23,4,4.795,N/A,Ciro Alves,#77,18,2,Sport Club do Recife,Attack - Right Winger,"1,75 m",Brazil,br,https://www.transfermarkt.us/ciro-alves/profil/spieler/81458,https://img.a.transfermarkt.technology/portrait/small/81458-1737431756.png?lm=1,N/A,18.04.1989,Salgueiro,PERSIB Bandung
9,Wilson,Unknown,60,22,3,4.853,N/A,Wilson,Unknown,7,0,Sport Club do Recife,Attack - Centre-Forward,"1,80 m",Brazil,br,https://www.transfermarkt.us/wilson/profil/spieler/52850,https://img.a.transfermarkt.technology/portrait/small/52850-1630485904.jpg?lm=1,N/A,21.03.1985,Araras,Retired
10,Felipe Azevedo,Unknown,138,22,9,10.328,N/A,Felipe Azevedo,Unknown,14,1,Sport Club do Recife,Attack - Left Winger,"1,74 m",Brazil,br,https://www.transfermarkt.us/felipe-azevedo/profil/spieler/75111,https://img.a.transfermarkt.technology/portrait/small/75111-1561451980.jpg?lm=1,N/A,10.01.1987,Ubatuba,São Bernardo FC
11,Guilherme,Unknown,49,21,6,3.810,N/A,Guilherme,#11,7,0,Sport Club do Recife,Attack - Left Winger,"1,78 m",Brazil,br,https://www.transfermarkt.us/guilherme/profil/spieler/444920,https://img.a.transfermarkt.technology/portrait/small/444920-1706143667.jpg?lm=1,N/A,13.04.1995,São Paulo,Santos FC
12,Durval,Unknown,313,21,9,27.741,N/A,Durval,Unknown,58,2,Sport Club do Recife,Defender - Centre-Back,"1,85 m",Brazil,br,https://www.transfermarkt.us/durval/profil/spieler/32808,https://img.a.transfermarkt.technology/portrait/small/s_32808_221_2012_2.jpg?lm=1,N/A,11.07.1980,Cruz do Espírito Santo,Retired
13,Mikael,Unknown,68,21,1,3.584,N/A,Mikael,Unknown,5,0,Sport Club do Recife,Attack - Centre-Forward,"1,84 m",Brazil,br,https://www.transfermarkt.us/mikael/profil/spieler/642689,https://img.a.transfermarkt.technology/portrait/small/642689-1643621740.jpg?lm=1,N/A,28.05.1999,Bacabal,Clube de Regatas Brasil (AL)
14,Gustavo Coutinho,Unknown,81,20,6,4.948,N/A,Gustavo Coutinho,#91,16,1,Sport Club do Recife,Attack - Centre-Forward,"1,86 m",Brazil,br,https://www.transfermarkt.us/gustavo-coutinho/profil/spieler/612340,https://img.a.transfermarkt.technology/portrait/small/612340-1625158436.jpg?lm=1,N/A,19.01.1999,Rio de Janeiro,Coritiba Foot Ball Club
15,Carlinhos Bala,Unknown,90,19,13,7.612,N/A,Carlinhos Bala,Unknown,14,2,Sport Club do Recife,Attack - Centre-Forward,"1,62 m",Brazil,br,https://www.transfermarkt.us/carlinhos-bala/profil/spieler/14277,https://img.a.transfermarkt.technology/portrait/small/14277-1698093181.jpg?lm=1,N/A,17.09.1979,Recife,Retired
16,Rogério,Unknown,122,19,6,7.309,N/A,Rogério,Unknown,8,1,Sport Club do Recife,Attack - Right Winger,"1,74 m",Brazil,br,https://www.transfermarkt.us/rogerio/profil/spieler/175256,https://img.a.transfermarkt.technology/portrait/small/s_175256_2646_2012_2.jpg?lm=1,N/A,24.12.1990,Pesqueira,CA Piauiense
17,Marcelinho Paraíba,Unknown,59,19,0,4.948,N/A,Marcelinho Paraíba,Unknown,18,0,Sport Club do Recife,Midfield - Attacking Midfield,,Brazil,br,https://www.transfermarkt.us/marcelinho-paraiba/profil/spieler/953,https://img.a.transfermarkt.technology/portrait/small/953-1461311108.jpg?lm=1,N/A,17.05.1975,Campina Grande,Retired
18,Neto Baiano,Unknown,53,17,1,4.097,N/A,Neto Baiano,Unknown,6,1,Sport Club do Recife,Attack - Centre-Forward,"1,85 m",Brazil,br,https://www.transfermarkt.us/neto-baiano/profil/spieler/74305,https://img.a.transfermarkt.technology/portrait/small/s_74305_3197_2012_2.jpg?lm=1,N/A,17.09.1982,Ituaçú,AA Iguaçu (PR)
19,Chrystian Barletta,Unknown,60,15,6,3.909,N/A,Chrystian Barletta,#30,4,0,Sport Club do Recife,Attack - Right Winger,"1,78 m",Brazil,br,https://www.transfermarkt.us/chrystian-barletta/profil/spieler/695232,https://img.a.transfermarkt.technology/portrait/small/695232-1706875247.jpg?lm=1,N/A,05.07.2001,Limeira,Sport Club do Recife
20,Roger Silva,Unknown,50,14,7,3.377,N/A,Roger Silva,Unknown,11,0,Sport Club do Recife,Attack - Centre-Forward,"1,84 m",Brazil,br,https://www.transfermarkt.us/roger-silva/profil/spieler/70342,https://img.a.transfermarkt.technology/portrait/small/70342-1524489202.jpg?lm=1,N/A,07.01.1985,Campinas,Retired
21,Rafael Thyere,Unknown,240,14,4,20.695,N/A,Rafael Thyere,#15,33,1,Sport Club do Recife,Defender - Centre-Back,"1,90 m",Brazil,br,https://www.transfermarkt.us/rafael-thyere/profil/spieler/292152,https://img.a.transfermarkt.technology/portrait/small/292152-1652344094.jpg?lm=1,N/A,17.05.1993,João Pessoa,Sport Club do Recife
22,Patric,Unknown,138,13,21,11.822,N/A,Patric,Unknown,22,1,Sport Club do Recife,Defender - Right-Back,"1,73 m",Brazil,br,https://www.transfermarkt.us/patric/profil/spieler/95087,https://img.a.transfermarkt.technology/portrait/small/95087-1547647025.jpg?lm=1,N/A,25.03.1989,Criciúma,Itabirito FC
23,Bruno Mineiro,Unknown,30,13,0,1.962,N/A,Bruno Mineiro,Unknown,5,0,Sport Club do Recife,Attack - Centre-Forward,"1,75 m",Brazil,br,https://www.transfermarkt.us/bruno-mineiro/profil/spieler/97017,https://img.a.transfermarkt.technology/portrait/small/s_97017_10247_2012_1.jpg?lm=1,N/A,02.02.1983,Belo Horizonte,Retired
24,Jorginho,Unknown,55,12,7,4.176,N/A,Jorginho,Unknown,9,0,Sport Club do Recife,Midfield - Attacking Midfield,"1,80 m",Brazil,br,https://www.transfermarkt.us/jorginho/profil/spieler/155470,https://img.a.transfermarkt.technology/portrait/small/155470-1664556076.jpg?lm=1,N/A,05.01.1991,Goiânia,Atlético Clube Goianiense
25,Lucas Lima,Unknown,111,12,19,8.703,N/A,Lucas Lima,#10,21,0,Sport Club do Recife,Midfield - Attacking Midfield,"1,76 m",Brazil,br,https://www.transfermarkt.us/lucas-lima/profil/spieler/232847,https://img.a.transfermarkt.technology/portrait/small/232847-1743725252.jpg?lm=1,N/A,09.07.1990,Marília,Sport Club do Recife
26,Fabricio Domínguez,Fabricio Domínguez Huertas,71,12,5,4.542,N/A,Domínguez,#8,24,1,Sport Club do Recife,Midfield - Central Midfield,"1,77 m",Uruguay,uy,https://www.transfermarkt.us/fabricio-dominguez/profil/spieler/621793,https://img.a.transfermarkt.technology/portrait/small/621793-1637935462.JPG?lm=1,N/A,24.06.1998,Montevideo,Sport Club do Recife
27,Élton,Unknown,56,11,4,2.529,N/A,Élton,Unknown,9,1,Sport Club do Recife,Attack - Centre-Forward,"1,85 m",Brazil,br,https://www.transfermarkt.us/elton/profil/spieler/41052,https://img.a.transfermarkt.technology/portrait/small/41052-1684691906.jpg?lm=1,N/A,01.08.1985,Iramaia,Retired
28,Romerito,Unknown,45,11,2,3.302,N/A,Romerito,Unknown,12,2,Sport Club do Recife,Midfield - Attacking Midfield,"1,83 m",Brazil,br,https://www.transfermarkt.us/romerito/profil/spieler/55374,https://img.a.transfermarkt.technology/portrait/small/55374-1698338354.jpg?lm=1,N/A,14.01.1975,Itaguaru,Retired
29,Fabinho,Unknown,110,11,1,7.883,N/A,Fabinho,Unknown,10,1,Sport Club do Recife,Midfield - Defensive Midfield,"1,80 m",Brazil,br,https://www.transfermarkt.us/fabinho/profil/spieler/210548,https://img.a.transfermarkt.technology/portrait/small/210548-1682388876.jpg?lm=1,N/A,19.11.1986,Cruzeiro,Retrô FC Brasil
30,Zé Roberto,Unknown,49,11,10,1.893,N/A,Zé Roberto,#99,14,1,Sport Club do Recife,Attack - Centre-Forward,"1,84 m",Brazil,br,https://www.transfermarkt.us/ze-roberto/profil/spieler/305428,https://img.a.transfermarkt.technology/portrait/small/305428-1580407394.jpg?lm=1,N/A,14.09.1993,Teixeira de Freitas,Sport Club do Recife
31,Luciano Henrique,Luciano Henrique de Gouveia,72,11,7,4.261,N/A,Henrique,Unknown,13,1,Sport Club do Recife,Midfield - Attacking Midfield,"1,70 m",Brazil,br,https://www.transfermarkt.us/luciano-henrique/profil/spieler/55268,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,10.10.1978,Tremembé,Retired
32,Facundo Labandeira,Facundo Labandeira Castro,59,10,7,2.914,N/A,Labandeira,#96,6,0,Sport Club do Recife,Attack - Right Winger,"1,73 m",Uruguay,uy,https://www.transfermarkt.us/facundo-labandeira/profil/spieler/486211,https://img.a.transfermarkt.technology/portrait/small/486211-1732149441.jpg?lm=1,N/A,03.03.1996,Mendoza Chico,Vila Nova Futebol Clube (GO)
33,Marlone,Unknown,80,10,13,5.855,N/A,Marlone,Unknown,4,0,Sport Club do Recife,Midfield - Attacking Midfield,"1,80 m",Brazil,br,https://www.transfermarkt.us/marlone/profil/spieler/231039,https://img.a.transfermarkt.technology/portrait/small/231039-1589995760.JPG?lm=1,N/A,02.04.1992,Augustinópolis,Ypiranga FC
34,Luís Müller,Unknown,19,10,0,1.427,N/A,Luís Müller,Unknown,2,1,Sport Club do Recife,Midfield,"1,74 m",Brazil,br,https://www.transfermarkt.us/luis-muller/profil/spieler/556138,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,14.02.1961,Unknown,Retired
35,Hugo,Unknown,30,9,2,2.267,N/A,Hugo,Unknown,6,0,Sport Club do Recife,Midfield - Attacking Midfield,"1,84 m",Brazil,br,https://www.transfermarkt.us/hugo/profil/spieler/52756,https://img.a.transfermarkt.technology/portrait/small/s_52756_3197_2012_2.jpg?lm=1,N/A,27.10.1980,Rio de Janeiro,Retired
36,Ronaldo Henrique,Unknown,221,9,4,14.054,N/A,Ronaldo Henrique,Unknown,58,5,Sport Club do Recife,Midfield - Defensive Midfield,"1,80 m",Brazil,br,https://www.transfermarkt.us/ronaldo-henrique/profil/spieler/328758,https://img.a.transfermarkt.technology/portrait/small/328758-1733317063.jpg?lm=1,N/A,27.06.1994,Recife,Avaí FC
37,Thiago Neves,Thiago Neves Augusto,46,8,2,3.285,N/A,Neves,Unknown,4,0,Sport Club do Recife,Midfield - Attacking Midfield,,Brazil,br,https://www.transfermarkt.us/thiago-neves/profil/spieler/53262,https://img.a.transfermarkt.technology/portrait/small/53262-1600173894.jpg?lm=1,N/A,27.02.1985,Curitiba,Retired
38,Régis,Unknown,51,8,3,1.871,N/A,Régis,#10,8,0,Sport Club do Recife,Midfield - Attacking Midfield,"1,71 m",Brazil,br,https://www.transfermarkt.us/regis/profil/spieler/272554,https://img.a.transfermarkt.technology/portrait/small/272554-1662693071.jpg?lm=1,N/A,30.11.1992,Jales,Goiás EC
39,Weldon,Unknown,32,8,5,1.513,N/A,Weldon,Unknown,3,1,Sport Club do Recife,Attack - Centre-Forward,"1,84 m",Brazil,br,https://www.transfermarkt.us/weldon/profil/spieler/37775,https://img.a.transfermarkt.technology/portrait/small/37775-1433429863.jpg?lm=1,N/A,06.08.1980,Santo André,Retired
40,Vandinho,Unknown,27,8,2,1.605,N/A,Vandinho,Unknown,7,0,Sport Club do Recife,Attack - Centre-Forward,"1,78 m",Brazil,br,https://www.transfermarkt.us/vandinho/profil/spieler/54478,https://img.a.transfermarkt.technology/portrait/small/s_54478_1751_2012_1.jpg?lm=1,N/A,24.08.1986,Londrina,Retired
41,Fabiano,Unknown,26,8,2,1.863,N/A,Fabiano,Unknown,4,0,Sport Club do Recife,Midfield - Central Midfield,"1,81 m",Brazil,br,https://www.transfermarkt.us/fabiano/profil/spieler/15695,https://img.a.transfermarkt.technology/portrait/small/s_15695_2035_2010_2.jpg?lm=1,N/A,06.04.1978,Marília,Retired
42,Iago Maidana,Unknown,55,8,3,4.763,N/A,Iago Maidana,#36,14,0,Sport Club do Recife,Defender - Centre-Back,"1,93 m",Brazil,br,https://www.transfermarkt.us/iago-maidana/profil/spieler/348261,https://img.a.transfermarkt.technology/portrait/small/348261-1682803428.jpg?lm=1,N/A,06.02.1996,Criciúma,Henan FC
43,Igor,Unknown,143,8,1,11.854,N/A,Igor,Unknown,33,1,Sport Club do Recife,Defender - Centre-Back,"1,81 m",Brazil,br,https://www.transfermarkt.us/igor/profil/spieler/26240,https://img.a.transfermarkt.technology/portrait/small/26240-1720881391.jpg?lm=1,N/A,03.08.1979,Osasco,Retired
44,Everton Felipe,Unknown,136,8,7,8.551,N/A,Everton Felipe,Unknown,11,0,Sport Club do Recife,Midfield - Attacking Midfield,"1,71 m",Brazil,br,https://www.transfermarkt.us/everton-felipe/profil/spieler/419420,https://img.a.transfermarkt.technology/portrait/small/419420-1484150034.jpg?lm=1,N/A,28.07.1997,Limoeiro,Retired
45,Leandro Barcia,Leandro Barcia Montero,33,8,1,2.043,N/A,Barcia,#7,5,0,Sport Club do Recife,Attack - Right Winger,"1,73 m",Uruguay,uy,https://www.transfermarkt.us/leandro-barcia/profil/spieler/322059,https://img.a.transfermarkt.technology/portrait/small/322059-1661957070.jpg?lm=1,N/A,08.10.1992,Florida,CA Cerro
46,Felipinho,Unknown,94,8,5,5.976,N/A,Felipinho,#6,14,0,Sport Club do Recife,Defender - Left-Back,"1,77 m",Brazil,br,https://www.transfermarkt.us/felipinho/profil/spieler/798167,https://img.a.transfermarkt.technology/portrait/small/798167-1682388129.jpg?lm=1,N/A,13.01.1997,Itapetinga,Esporte Clube Juventude
47,Matheus Ferraz,Matheus Ferraz Pereira,94,8,0,8.181,N/A,Matheus Ferraz,Unknown,18,0,Sport Club do Recife,Defender - Centre-Back,"1,90 m",Brazil,br,https://www.transfermarkt.us/matheus-ferraz/profil/spieler/137159,https://img.a.transfermarkt.technology/portrait/small/137159-1623767550.jpg?lm=1,N/A,12.02.1985,São José do Rio Pardo,Retired
