rank,name,full_name,appearances,goals,assists,minutes_played,period,jersey_name,jersey_number,yellow_cards,red_cards,club,position,height,nation,nation_code,profile_url,image_url,club_logo_url,date_of_birth,place_of_birth,status
1,Leandro Damião,Unknown,226,106,28,17.364,N/A,Leandro Damião,Unknown,39,1,Sport Club Internacional,Attack - Centre-Forward,"1,88 m",Brazil,br,https://www.transfermarkt.us/leandro-damiao/profil/spieler/139449,https://img.a.transfermarkt.technology/portrait/small/139449-1454414211.jpg?lm=1,N/A,22.07.1989,Jardim Alegre,Without Club
2,Andrés D'Alessandro,Andrés Nicolás D'Alessandro,519,92,82,37.948,N/A,D'Alessandro,Unknown,138,7,Sport Club Internacional,Midfield - Attacking Midfield,"1,74 m",Argentina,ar,https://www.transfermarkt.us/andres-dalessandro/profil/spieler/3445,https://img.a.transfermarkt.technology/portrait/small/3445-1580200506.jpg?lm=1,N/A,15.04.1981,La Paternal,Retired
3,Nilmar,Unknown,158,66,14,12.427,N/A,Nilmar,Unknown,12,1,Sport Club Internacional,Attack - Centre-Forward,"1,80 m",Brazil,br,https://www.transfermarkt.us/nilmar/profil/spieler/22750,https://img.a.transfermarkt.technology/portrait/small/22750-1447749575.jpg?lm=1,N/A,14.07.1984,Bandeirentes,Retired
4,Alex,Unknown,288,64,24,19.286,N/A,Alex,Unknown,51,2,Sport Club Internacional,Midfield - Attacking Midfield,"1,75 m",Brazil,br,https://www.transfermarkt.us/alex/profil/spieler/27370,https://img.a.transfermarkt.technology/portrait/small/27370-1447748584.jpg?lm=1,N/A,25.03.1982,Cornélio Procópio,Retired
5,Fernandão,Unknown,146,61,2,11.760,N/A,Fernandão,Unknown,11,0,Sport Club Internacional,Attack - Centre-Forward,,Brazil,br,https://www.transfermarkt.us/fernandao/profil/spieler/5332,https://img.a.transfermarkt.technology/portrait/small/5332-1729116479.jpg?lm=1,N/A,18.03.1978,Goiânia,---
6,Alecsandro,Unknown,116,54,10,7.667,N/A,Alecsandro,Unknown,15,1,Sport Club Internacional,Attack - Centre-Forward,"1,83 m",Brazil,br,https://www.transfermarkt.us/alecsandro/profil/spieler/44131,https://img.a.transfermarkt.technology/portrait/small/s_44131_330_2012_1.jpg?lm=1,N/A,04.02.1981,Bauru,Retired
7,Rafael Sóbis,Unknown,191,51,12,12.656,N/A,Rafael Sóbis,Unknown,26,2,Sport Club Internacional,Attack - Centre-Forward,"1,75 m",Brazil,br,https://www.transfermarkt.us/rafael-sobis/profil/spieler/27376,https://img.a.transfermarkt.technology/portrait/small/27376-1494843480.jpg?lm=1,N/A,17.06.1985,Erechim,Retired
8,Edenilson,Unknown,306,48,33,24.848,N/A,Edenilson,#8,55,3,Sport Club Internacional,Midfield - Central Midfield,"1,75 m",Brazil,br,https://www.transfermarkt.us/edenilson/profil/spieler/169052,https://img.a.transfermarkt.technology/portrait/small/169052-1662689029.jpg?lm=1,N/A,18.12.1989,Porto Alegre,Grêmio Foot-Ball Porto Alegrense
9,Taison,Unknown,198,43,14,12.292,N/A,Taison,#11,34,2,Sport Club Internacional,Attack - Left Winger,"1,72 m",Brazil,br,https://www.transfermarkt.us/taison/profil/spieler/76028,https://img.a.transfermarkt.technology/portrait/small/76028-1727967515.png?lm=1,N/A,13.01.1988,Pelotas,PAOK Thessaloniki
10,Alan Patrick,Unknown,196,42,31,13.437,N/A,Alan Patrick,#10,26,1,Sport Club Internacional,Midfield - Attacking Midfield,"1,77 m",Brazil,br,https://www.transfermarkt.us/alan-patrick/profil/spieler/104505,https://img.a.transfermarkt.technology/portrait/small/104505-1641992716.png?lm=1,N/A,13.05.1991,São Paulo,Sport Club Internacional
11,Nicolás López,Nicolás Federico López Alonso,168,40,18,10.889,N/A,López,#7,26,1,Sport Club Internacional,Attack - Centre-Forward,"1,78 m",Uruguay,uy,https://www.transfermarkt.us/nicolas-lopez/profil/spieler/185593,https://img.a.transfermarkt.technology/portrait/small/185593-1700765951.jpg?lm=1,N/A,01.10.1993,Montevideo,Club Nacional
12,Thiago Galhardo,Unknown,82,34,10,4.953,N/A,Thiago Galhardo,Unknown,11,1,Sport Club Internacional,Attack - Centre-Forward,"1,83 m",Brazil,br,https://www.transfermarkt.us/thiago-galhardo/profil/spieler/186399,https://img.a.transfermarkt.technology/portrait/small/186399-1556811939.png?lm=1,N/A,20.07.1989,São João del Rei,Santa Cruz FC (PE)
13,Paolo Guerrero,José Paolo Guerrero Gonzáles,72,32,4,5.174,N/A,Guerrero,#34,9,1,Sport Club Internacional,Attack - Centre-Forward,"1,85 m",Peru,pe,https://www.transfermarkt.us/paolo-guerrero/profil/spieler/2989,https://img.a.transfermarkt.technology/portrait/small/2989-1736796995.jpg?lm=1,N/A,01.01.1984,Lima,Club Alianza Lima
14,Andrezinho,Unknown,204,32,22,11.203,N/A,Andrezinho,Unknown,17,0,Sport Club Internacional,Midfield - Attacking Midfield,"1,78 m",Brazil,br,https://www.transfermarkt.us/andrezinho/profil/spieler/16876,https://img.a.transfermarkt.technology/portrait/small/16876-1547029173.jpg?lm=1,N/A,30.07.1983,Campinas,Retired
15,Yuri Alberto,Unknown,85,31,5,5.544,N/A,Yuri Alberto,#9,11,1,Sport Club Internacional,Attack - Centre-Forward,"1,83 m",Brazil,br,https://www.transfermarkt.us/yuri-alberto/profil/spieler/489893,https://img.a.transfermarkt.technology/portrait/small/489893-1720056861.jpg?lm=1,N/A,18.03.2001,São José dos Campos,Sport Club Corinthians Paulista
16,Índio,Unknown,348,30,3,29.886,N/A,Índio,Unknown,77,5,Sport Club Internacional,Defender - Centre-Back,"1,80 m",Brazil,br,https://www.transfermarkt.us/indio/profil/spieler/55269,https://img.a.transfermarkt.technology/portrait/small/55269-1729117218.jpg?lm=1,N/A,14.02.1975,Maracaí,Retired
17,Enner Valencia,Enner Remberto Valencia Lastra,80,30,7,4.782,N/A,Valencia,#13,6,0,Sport Club Internacional,Attack - Centre-Forward,"1,78 m",Ecuador,ec,https://www.transfermarkt.us/enner-valencia/profil/spieler/139503,https://img.a.transfermarkt.technology/portrait/small/139503-1665590120.png?lm=1,N/A,04.11.1989,San Lorenzo,Sport Club Internacional
18,Eduardo Sasha,Eduardo Colcenti Antunes,149,30,5,9.863,N/A,Sasha,#8,15,1,Sport Club Internacional,Attack - Centre-Forward,"1,73 m",Brazil,br,https://www.transfermarkt.us/eduardo-sasha/profil/spieler/162883,https://img.a.transfermarkt.technology/portrait/small/162883-1668861785.jpg?lm=1,N/A,24.02.1992,Porto Alegre,Red Bull Bragantino
