rank,name,full_name,appearances,goals,assists,minutes_played,period,jersey_name,jersey_number,yellow_cards,red_cards,club,position,height,nation,nation_code,profile_url,image_url,club_logo_url,date_of_birth,place_of_birth,status
1,Stevie May,Steven May,268,63,30,15.002,N/A,May,#17,16,0,St. Johnstone FC,Attack - Centre-Forward,"1,78 m",Scotland,unknown,https://www.transfermarkt.us/stevie-may/profil/spieler/111432,https://img.a.transfermarkt.technology/portrait/small/s_111432_2578_2014_04_08_1.jpg?lm=1,N/A,03.11.1992,Perth,Livingston FC
2,Liam Craig,Unknown,447,59,62,33.780,N/A,Craig,Unknown,91,2,St. Johnstone FC,Midfield - Defensive Midfield,"1,87 m",Scotland,unknown,https://www.transfermarkt.us/liam-craig/profil/spieler/35531,https://img.a.transfermarkt.technology/portrait/small/s_35531_903_2013_08_08_1.jpg?lm=1,N/A,27.12.1986,Edinburgh,Retired
3,Steven MacLean,Steven George MacLean,202,58,35,15.980,N/A,MacLean,Unknown,34,0,St. Johnstone FC,Attack - Centre-Forward,"1,78 m",Scotland,unknown,https://www.transfermarkt.us/steven-maclean/profil/spieler/13946,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,23.08.1982,Edinburgh,Retired
4,Steven Milne,Unknown,138,45,5,9.275,N/A,Milne,Unknown,1,0,St. Johnstone FC,Attack - Centre-Forward,"1,71 m",Scotland,unknown,https://www.transfermarkt.us/steven-milne/profil/spieler/12840,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,05.05.1980,Dundee,Retired
5,Murray Davidson,Unknown,416,43,28,31.771,N/A,Davidson,Unknown,113,2,St. Johnstone FC,Midfield - Central Midfield,"1,80 m",Scotland,unknown,https://www.transfermarkt.us/murray-davidson/profil/spieler/45555,https://img.a.transfermarkt.technology/portrait/small/45555-1621257561.jpg?lm=1,N/A,07.03.1988,Edinburgh,Retired
6,Chris Kane,Christopher Kane,244,37,21,12.859,N/A,Kane,#20,25,0,St. Johnstone FC,Attack - Centre-Forward,"1,74 m",Scotland,unknown,https://www.transfermarkt.us/chris-kane/profil/spieler/161496,https://img.a.transfermarkt.technology/portrait/small/161496-1621260641.jpg?lm=1,N/A,05.09.1994,Edinburgh,Dunfermline Athletic FC
7,Jason Scotland,Jason Kelvin Scotland,68,34,0,5.720,N/A,Scotland,Unknown,4,1,St. Johnstone FC,Attack - Centre-Forward,"1,75 m",Trinidad and Tobago,tt,https://www.transfermarkt.us/jason-scotland/profil/spieler/12807,https://img.a.transfermarkt.technology/portrait/small/12807-1719454856.jpg?lm=1,N/A,18.02.1979,Morvant,Retired
8,Paul Sheerin,Paul George Sheerin,175,32,4,13.564,N/A,Sheerin,Unknown,14,0,St. Johnstone FC,Midfield - Central Midfield,"1,78 m",Scotland,unknown,https://www.transfermarkt.us/paul-sheerin/profil/spieler/12790,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,28.08.1974,Edinburgh,Retired
9,Michael O'Halloran,Michael Francis O'Halloran,219,29,26,13.131,N/A,O'Halloran,#23,13,0,St. Johnstone FC,Attack - Right Winger,"1,88 m",Scotland,unknown,https://www.transfermarkt.us/michael-ohalloran/profil/spieler/125158,https://img.a.transfermarkt.technology/portrait/small/125158-1621260723.jpg?lm=1,N/A,06.01.1991,Glasgow,Dunfermline Athletic FC
10,Peter MacDonald,Peter Ian Ronald MacDonald,175,27,4,8.567,N/A,MacDonald,Unknown,16,1,St. Johnstone FC,Attack - Centre-Forward,"1,78 m",Scotland,unknown,https://www.transfermarkt.us/peter-macdonald/profil/spieler/11359,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,17.11.1980,Glasgow,Retired
11,David Wotherspoon,Unknown,355,26,50,24.310,N/A,Wotherspoon,#19,59,1,St. Johnstone FC,Midfield - Attacking Midfield,"1,72 m",Canada,ca,https://www.transfermarkt.us/david-wotherspoon/profil/spieler/74861,https://img.a.transfermarkt.technology/portrait/small/74861-1536047571.jpg?lm=1,N/A,16.01.1990,Perth,Dunfermline Athletic FC
12,Martin Hardie,Unknown,91,22,5,6.902,N/A,Hardie,Unknown,17,2,St. Johnstone FC,Midfield - Central Midfield,"1,83 m",Scotland,unknown,https://www.transfermarkt.us/martin-hardie/profil/spieler/12736,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,22.04.1976,Alexandria,Retired
13,Callum Hendry,Callum David Hendry,94,22,4,4.495,N/A,Hendry,#22,14,1,St. Johnstone FC,Attack - Centre-Forward,"1,76 m",Scotland,unknown,https://www.transfermarkt.us/callum-hendry/profil/spieler/390156,https://img.a.transfermarkt.technology/portrait/small/390156-1621259601.jpg?lm=1,N/A,08.12.1997,Lytham St.Annes,Milton Keynes Dons
14,Collin Samuel,Collin Andrew Samuel,95,18,3,5.701,N/A,Samuel,Unknown,4,0,St. Johnstone FC,Attack - Right Winger,"1,75 m",Trinidad and Tobago,tt,https://www.transfermarkt.us/collin-samuel/profil/spieler/3983,https://img.a.transfermarkt.technology/portrait/small/3983-1719453400.jpg?lm=1,N/A,27.08.1981,Manzanilla,Retired
15,Danny Swanson,Daniel Joseph Swanson,100,18,14,6.224,N/A,Swanson,Unknown,22,2,St. Johnstone FC,Midfield - Right Midfield,"1,68 m",Scotland,unknown,https://www.transfermarkt.us/danny-swanson/profil/spieler/60865,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,28.12.1986,Edinburgh,Cowdenbeath FC
16,Nicky Clark,Nicholas Clark,72,17,4,4.522,N/A,Clark,#10,4,0,St. Johnstone FC,Attack - Centre-Forward,"1,78 m",Scotland,unknown,https://www.transfermarkt.us/nicky-clark/profil/spieler/62163,https://img.a.transfermarkt.technology/portrait/small/62163-1622031798.jpg?lm=1,N/A,03.06.1991,Bellshill,St. Johnstone FC
17,Kenny Deuchar,Dr. Kenneth Robert John Deuchar,53,17,10,3.883,N/A,Deuchar,Unknown,4,0,St. Johnstone FC,Attack - Centre-Forward,"1,90 m",Scotland,unknown,https://www.transfermarkt.us/kenny-deuchar/profil/spieler/36701,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,06.08.1980,Stirling,Retired
