rank,name,full_name,appearances,goals,assists,minutes_played,period,jersey_name,jersey_number,yellow_cards,red_cards,club,position,height,nation,nation_code,profile_url,image_url,club_logo_url,date_of_birth,place_of_birth,status
1,Steven Thompson,Steven Howard Thompson,180,52,23,13.341,N/A,Thompson,Unknown,21,2,St. Mirren FC,Attack - Centre-Forward,"1,88 m",Scotland,unknown,https://www.transfermarkt.us/steven-thompson/profil/spieler/9616,https://img.a.transfermarkt.technology/portrait/small/s_9616_465_2013_02_11_1.jpg?lm=1,N/A,14.10.1978,Paisley,Retired
2,John Sutton,John William Michael Sutton,129,38,11,8.784,N/A,Sutton,Unknown,2,1,St. Mirren FC,Attack - Centre-Forward,"1,86 m",England,unknown,https://www.transfermarkt.us/john-sutton/profil/spieler/14735,https://img.a.transfermarkt.technology/portrait/small/s_14735_987_2014_04_08_1.jpg?lm=1,N/A,26.12.1983,Norwich,Retired
3,Billy Mehmet,Billy Osman Beyza,172,34,15,11.696,N/A,Mehmet,#99,20,0,St. Mirren FC,Attack - Centre-Forward,"1,89 m",Ireland,ie,https://www.transfermarkt.us/billy-mehmet/profil/spieler/12637,https://img.a.transfermarkt.technology/portrait/small/12637-1696252652.jpg?lm=1,N/A,03.01.1984,London,Alsancak Yesilova SK
4,Lewis Morgan,Lewis Anthony Morgan,118,29,23,8.244,N/A,Morgan,#9,3,0,St. Mirren FC,Attack - Left Winger,"1,78 m",Scotland,unknown,https://www.transfermarkt.us/lewis-morgan/profil/spieler/311351,https://img.a.transfermarkt.technology/portrait/small/311351-1740944110.jpg?lm=1,N/A,30.09.1996,Paisley,New York Red Bulls
5,Stevie Mallan,Stephen Mallan junior,112,29,32,9.629,N/A,Mallan,Unknown,15,0,St. Mirren FC,Midfield - Central Midfield,"1,80 m",Scotland,unknown,https://www.transfermarkt.us/stevie-mallan/profil/spieler/331089,https://img.a.transfermarkt.technology/portrait/small/331089-1629974566.png?lm=1,N/A,25.03.1996,Glasgow,Without Club
6,Paul McGowan,Unknown,154,25,25,12.835,N/A,McGowan,#8,23,1,St. Mirren FC,Midfield - Central Midfield,"1,71 m",Scotland,unknown,https://www.transfermarkt.us/paul-mcgowan/profil/spieler/43734,https://img.a.transfermarkt.technology/portrait/small/43734-1626167798.jpg?lm=1,N/A,07.10.1987,Bellshill,Annan Athletic FC
7,Mark O'Hara,Unknown,103,24,8,8.633,N/A,O'Hara,#6,16,0,St. Mirren FC,Midfield - Defensive Midfield,Unknown,Scotland,unknown,https://www.transfermarkt.us/mark-ohara/profil/spieler/235780,https://img.a.transfermarkt.technology/portrait/small/235780-1624546973.jpg?lm=1,N/A,12.12.1995,Barrhead,St. Mirren FC
8,Kenny McLean,Kenneth McLean,152,24,8,11.783,N/A,McLean,#23,12,2,St. Mirren FC,Midfield - Central Midfield,"1,80 m",Scotland,unknown,https://www.transfermarkt.us/kenny-mclean/profil/spieler/126600,https://img.a.transfermarkt.technology/portrait/small/126600-1701543723.jpg?lm=1,N/A,08.01.1992,Rutherglen,Norwich City
9,Andy Dorman,Andrew Dorman,101,22,24,7.983,N/A,Dorman,Unknown,7,0,St. Mirren FC,Midfield - Defensive Midfield,"1,85 m",Wales,unknown,https://www.transfermarkt.us/andy-dorman/profil/spieler/39886,https://img.a.transfermarkt.technology/portrait/small/39886-1656196538.jpg?lm=1,N/A,01.05.1982,Chester,Retired
10,Gavin Reilly,Unknown,44,22,5,2.924,N/A,Reilly,#9,2,0,St. Mirren FC,Attack - Centre-Forward,"1,81 m",Scotland,unknown,https://www.transfermarkt.us/gavin-reilly/profil/spieler/156764,https://img.a.transfermarkt.technology/portrait/small/156764-1624630936.jpg?lm=1,N/A,10.05.1993,Dumfries,Arbroath FC
11,Michael Higdon,Unknown,75,21,6,5.402,N/A,Higdon,Unknown,10,0,St. Mirren FC,Attack - Centre-Forward,"1,85 m",England,unknown,https://www.transfermarkt.us/michael-higdon/profil/spieler/14170,https://img.a.transfermarkt.technology/portrait/small/s_14170_987_2013_02_11_1.jpg?lm=1,N/A,02.09.1983,Liverpool,Retired
12,Jamie McGrath,Unknown,79,20,7,6.340,N/A,McGrath,#7,9,0,St. Mirren FC,Attack - Left Winger,"1,75 m",Ireland,ie,https://www.transfermarkt.us/jamie-mcgrath/profil/spieler/344107,https://img.a.transfermarkt.technology/portrait/small/344107-1625663939.jpg?lm=1,N/A,30.09.1996,Athboy,Aberdeen FC
13,Jonathan Obika,Jonathan Chiedozie Obika,77,20,6,5.360,N/A,Obika,Unknown,4,0,St. Mirren FC,Attack - Centre-Forward,"1,82 m",England,unknown,https://www.transfermarkt.us/jonathan-obika/profil/spieler/61838,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,12.09.1990,London,Retired
14,Toyosi Olusanya,Olutoyosi Tajudeen Olusanya,83,19,6,4.302,N/A,Olusanya,#20,13,1,St. Mirren FC,Attack - Centre-Forward,"1,81 m",England,unknown,https://www.transfermarkt.us/toyosi-olusanya/profil/spieler/434981,https://img.a.transfermarkt.technology/portrait/small/434981-1656922318.jpg?lm=1,N/A,14.10.1997,London,St. Mirren FC
15,Ricky Gillies,Richard Gillies,74,19,0,6.273,N/A,Gillies,Unknown,8,1,St. Mirren FC,Attack - Centre-Forward,"1,78 m",Scotland,unknown,https://www.transfermarkt.us/ricky-gillies/profil/spieler/14784,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,24.08.1976,Glasgow,Retired
16,Mikael Mandron,Mikaël Yann Mathieu Mandron,76,17,7,4.290,N/A,Mandron,#9,8,0,St. Mirren FC,Attack - Centre-Forward,"1,91 m",France,fr,https://www.transfermarkt.us/mikael-mandron/profil/spieler/218144,https://img.a.transfermarkt.technology/portrait/small/218144-1633439175.jpg?lm=1,N/A,11.10.1994,Boulogne-sur-Mer,St. Mirren FC
17,Cammy Smith,Cameron Smith,84,17,18,6.282,N/A,Smith,#17,8,0,St. Mirren FC,Attack - Second Striker,"1,75 m",Scotland,unknown,https://www.transfermarkt.us/cammy-smith/profil/spieler/158938,https://img.a.transfermarkt.technology/portrait/small/158938-1638042579.jpg?lm=1,N/A,24.08.1995,Balmedie,Peterhead FC
18,Stewart Kean,Unknown,97,17,4,5.898,N/A,Kean,Unknown,1,0,St. Mirren FC,Attack - Centre-Forward,"1,75 m",Scotland,unknown,https://www.transfermarkt.us/stewart-kean/profil/spieler/14617,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,04.03.1983,Irvine,Unknown
19,Stephen McGinn,Unknown,198,15,15,14.791,N/A,McGinn,Unknown,24,0,St. Mirren FC,Midfield - Central Midfield,"1,74 m",Scotland,unknown,https://www.transfermarkt.us/stephen-mcginn/profil/spieler/51430,https://img.a.transfermarkt.technology/portrait/small/s_51430_350_2013_09_24_1.jpg?lm=1,N/A,02.12.1988,Glasgow,Retired
20,Lawrence Shankland,Unknown,55,14,7,3.682,N/A,Shankland,#9,9,0,St. Mirren FC,Attack - Centre-Forward,"1,85 m",Scotland,unknown,https://www.transfermarkt.us/lawrence-shankland/profil/spieler/225744,https://img.a.transfermarkt.technology/portrait/small/225744-1710925414.jpg?lm=1,N/A,10.08.1995,Glasgow,Heart of Midlothian FC
21,Danny Mullen,Unknown,72,14,6,3.894,N/A,Mullen,#21,7,0,St. Mirren FC,Attack - Centre-Forward,"1,76 m",Scotland,unknown,https://www.transfermarkt.us/danny-mullen/profil/spieler/238288,https://img.a.transfermarkt.technology/portrait/small/238288-1626168300.jpg?lm=1,N/A,01.03.1995,Coatbridge,Derry City
22,Steven Thomson,Unknown,118,13,9,9.318,N/A,Thomson,Unknown,9,1,St. Mirren FC,Midfield - Central Midfield,"1,73 m",Scotland,unknown,https://www.transfermarkt.us/steven-thomson/profil/spieler/36653,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,23.01.1978,Glasgow,Retired
23,Curtis Main,Curtis Lee Main,74,12,7,5.246,N/A,Main,#30,7,0,St. Mirren FC,Attack - Centre-Forward,"1,78 m",England,unknown,https://www.transfermarkt.us/curtis-main/profil/spieler/77715,https://img.a.transfermarkt.technology/portrait/small/77715-1697283431.jpg?lm=1,N/A,20.06.1992,South Shields,Ayr United FC
24,Craig Dargo,Craig Peter Dargo,109,11,18,6.012,N/A,Dargo,Unknown,11,0,St. Mirren FC,Attack - Centre-Forward,"1,68 m",Scotland,unknown,https://www.transfermarkt.us/craig-dargo/profil/spieler/12731,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,03.01.1978,Edinburgh,Retired
