rank,name,full_name,appearances,goals,assists,minutes_played,period,jersey_name,jersey_number,yellow_cards,red_cards,club,position,height,nation,nation_code,profile_url,image_url,club_logo_url,date_of_birth,place_of_birth,status
1,Just Fontaine,Just Louis Fontaine,151,145,1,13.620,N/A,Fontaine,Unknown,0,0,Stade Reims,Attack - Centre-Forward,,France,fr,https://www.transfermarkt.us/just-fontaine/profil/spieler/151245,https://img.a.transfermarkt.technology/portrait/small/151245-1592210498.jpg?lm=1,N/A,18.08.1933,Marrakech,---
2,Carlos Bianchi,Unknown,162,139,0,14.442,N/A,Bianchi,Unknown,1,0,Stade Reims,Attack - Centre-Forward,,Argentina,ar,https://www.transfermarkt.us/carlos-bianchi/profil/spieler/155070,https://img.a.transfermarkt.technology/portrait/small/155070-1674577179.jpg?lm=1,N/A,26.04.1949,Villa Real,Retired
3,Roger Piantoni,Unknown,198,132,0,17.940,N/A,Piantoni,Unknown,0,0,Stade Reims,Attack - Left Winger,"1,74 m",France,fr,https://www.transfermarkt.us/roger-piantoni/profil/spieler/245244,https://img.a.transfermarkt.technology/portrait/small/245244-1602138519.jpg?lm=1,N/A,26.12.1931,Étain,---
4,René Bliard,Unknown,182,117,1,16.470,N/A,Bliard,Unknown,0,0,Stade Reims,Attack - Centre-Forward,Unknown,France,fr,https://www.transfermarkt.us/rene-bliard/profil/spieler/170721,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,18.10.1932,Dizy,---
5,Bram Appel,Abraham Leonardus Appel,164,109,0,14.760,N/A,Appel,Unknown,0,0,Stade Reims,Attack - Centre-Forward,,Netherlands,nl,https://www.transfermarkt.us/bram-appel/profil/spieler/151561,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,30.10.1921,Rotterdam,---
6,Jean Vincent,Unknown,319,92,0,28.819,N/A,Vincent,Unknown,0,2,Stade Reims,Attack - Left Winger,,France,fr,https://www.transfermarkt.us/jean-vincent/profil/spieler/215712,https://img.a.transfermarkt.technology/portrait/small/s_215712_4023_2014_04_10_1.jpg?lm=1,N/A,29.11.1930,Labeuvrière,---
7,Cédric Fauré,Unknown,212,90,3,16.281,N/A,Fauré,Unknown,22,0,Stade Reims,Attack - Centre-Forward,"1,87 m",France,fr,https://www.transfermarkt.us/cedric-faure/profil/spieler/6970,https://img.a.transfermarkt.technology/portrait/small/6970-1487695391.jpg?lm=1,N/A,14.02.1979,Toulouse,Retired
8,Raymond Kopa,Raymond Kopaszewski,400,89,2,36.240,N/A,Kopa,Unknown,0,0,Stade Reims,Midfield - Attacking Midfield,"1,69 m",France,fr,https://www.transfermarkt.us/raymond-kopa/profil/spieler/170730,https://img.a.transfermarkt.technology/portrait/small/170730-1572959422.jpg?lm=1,N/A,13.10.1931,Nœux-les-Mines,---
9,Léon Glovacki,Unknown,220,85,0,19.860,N/A,Glovacki,Unknown,0,0,Stade Reims,Attack - Right Winger,Unknown,France,fr,https://www.transfermarkt.us/leon-glovacki/profil/spieler/170725,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,19.02.1928,Libercourt,---
10,Pierre Sinibaldi,Unknown,135,72,0,12.150,N/A,Sinibaldi,Unknown,0,0,Stade Reims,Attack - Centre-Forward,,France,fr,https://www.transfermarkt.us/pierre-sinibaldi/profil/spieler/466632,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,29.02.1924,Montemaggiore,---
11,Jean-Pierre Bertolino,Unknown,220,63,0,16.776,N/A,Bertolino,Unknown,0,0,Stade Reims,Attack,"1,81 m",France,fr,https://www.transfermarkt.us/jean-pierre-bertolino/profil/spieler/650006,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,12.03.1960,Reims,Retired
12,Hassan Akesbi,حسن أقصبي,94,60,0,8.520,N/A,Akesbi,Unknown,0,0,Stade Reims,Attack - Centre-Forward,Unknown,Morocco,ma,https://www.transfermarkt.us/hassan-akesbi/profil/spieler/306385,https://img.a.transfermarkt.technology/portrait/small/306385-1701795679.jpg?lm=1,N/A,05.12.1934,Tanger,---
13,Francois Calderaro,Unknown,147,58,0,11.031,N/A,Calderaro,Unknown,0,0,Stade Reims,Attack - Centre-Forward,"1,76 m",France,fr,https://www.transfermarkt.us/francois-calderaro/profil/spieler/257753,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,15.06.1964,Reims,Retired
