rank,name,full_name,appearances,goals,assists,minutes_played,period,jersey_name,jersey_number,yellow_cards,red_cards,club,position,height,nation,nation_code,profile_url,image_url,club_logo_url,date_of_birth,place_of_birth,status
1,Roger Claessen,Unknown,148,103,0,13.347,N/A,Claessen,Unknown,3,0,Standard Liège,Attack - Centre-Forward,Unknown,Belgium,be,https://www.transfermarkt.us/roger-claessen/profil/spieler/112164,https://img.a.transfermarkt.technology/portrait/small/112164-1584031346.jpg?lm=1,N/A,27.09.1941,Weerst,---
2,Guy Vandersmissen,Unknown,475,96,0,40.688,N/A,Vandersmissen,Unknown,17,1,Standard Liège,Midfield - Right Midfield,,Belgium,be,https://www.transfermarkt.us/guy-vandersmissen/profil/spieler/130999,https://img.a.transfermarkt.technology/portrait/small/130999-1634110393.jpg?lm=1,N/A,25.12.1957,Tongeren,Retired
3,Michaël Goossens,Michaël Henri Goossens,267,88,23,19.335,N/A,Goossens,Unknown,17,1,Standard Liège,Attack - Centre-Forward,"1,82 m",Belgium,be,https://www.transfermarkt.us/michael-goossens/profil/spieler/4830,https://img.a.transfermarkt.technology/portrait/small/4830-1743173249.jpg?lm=1,N/A,30.11.1973,Seraing,Retired
4,Marc Wilmots,Marc Robert Wilmots,163,80,0,14.005,N/A,Wilmots,Unknown,7,2,Standard Liège,Midfield - Attacking Midfield,"1,84 m",Belgium,be,https://www.transfermarkt.us/marc-wilmots/profil/spieler/286,https://img.a.transfermarkt.technology/portrait/small/286-1465311344.jpg?lm=1,N/A,22.02.1969,Dongelberg,Retired
5,Ásgeir Sigurvinsson,Unknown,325,76,0,28.536,N/A,Sigurvinsson,Unknown,20,2,Standard Liège,Midfield - Left Midfield,,Iceland,is,https://www.transfermarkt.us/asgeir-sigurvinsson/profil/spieler/95414,https://img.a.transfermarkt.technology/portrait/small/95414-1446129402.jpg?lm=1,N/A,08.05.1955,Vestmannaeyjar,Retired
6,Milan Jovanovic,Милан Јовановић,153,69,28,12.081,N/A,Jovanovic,Unknown,20,0,Standard Liège,Attack - Left Winger,"1,83 m",Serbia,rs,https://www.transfermarkt.us/milan-jovanovic/profil/spieler/14933,https://img.a.transfermarkt.technology/portrait/small/14933-1537882350.jpg?lm=1,N/A,18.04.1981,Bajina Basta,Retired
7,Alfred Riedl,Unknown,138,68,0,11.399,N/A,Riedl,Unknown,0,0,Standard Liège,Attack - Centre-Forward,,Austria,at,https://www.transfermarkt.us/alfred-riedl/profil/spieler/129633,https://img.a.transfermarkt.technology/portrait/small/129633-1673787775.jpg?lm=1,N/A,02.11.1949,Wien,---
8,Igor de Camargo,Igor Alberto Rinck de Camargo,242,65,31,16.654,N/A,de Camargo,Unknown,31,0,Standard Liège,Attack - Centre-Forward,"1,87 m",Belgium,be,https://www.transfermarkt.us/igor-de-camargo/profil/spieler/13023,https://img.a.transfermarkt.technology/portrait/small/13023-1616958182.jpg?lm=1,N/A,12.05.1983,Porto Feliz,Retired
9,Silvester Takac,Силвестер Такач,146,61,0,12.464,N/A,Takac,Unknown,0,0,Standard Liège,Attack - Centre-Forward,,Serbia,rs,https://www.transfermarkt.us/silvester-takac/profil/spieler/302583,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,08.11.1940,Đurđevo,Retired
10,Alex Czerniatynski,Alexandre Czerniatyński,153,60,0,13.536,N/A,Czerniatynski,Unknown,13,2,Standard Liège,Attack - Centre-Forward,,Belgium,be,https://www.transfermarkt.us/alex-czerniatynski/profil/spieler/101752,https://img.a.transfermarkt.technology/portrait/small/101752-1546423744.jpg?lm=1,N/A,28.07.1960,Charleroi,Retired
