rank,name,full_name,appearances,goals,assists,minutes_played,period,jersey_name,jersey_number,yellow_cards,red_cards,club,position,height,nation,nation_code,profile_url,image_url,club_logo_url,date_of_birth,place_of_birth,status
1,Kazuyoshi Miura,三浦 知良,187,110,2,16.666,N/A,Miura,#11,12,0,Tokyo Verdy,Attack - Centre-Forward,"1,77 m",Japan,jp,https://www.transfermarkt.us/kazuyoshi-miura/profil/spieler/112589,https://img.a.transfermarkt.technology/portrait/small/112589-1484147101.jpg?lm=1,N/A,26.02.1967,"Shizuoka, Shizuoka",Atletico Suzuka Club
2,Nobuhiro Takeda,武田修宏,179,71,2,13.330,N/A,Takeda,Unknown,8,0,Tokyo Verdy,Attack - Centre-Forward,"1,77 m",Japan,jp,https://www.transfermarkt.us/nobuhiro-takeda/profil/spieler/232452,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,10.05.1967,"Hamamatsu, Shizuoka",Retired
3,Kazuki Hiramoto,平本 一樹,383,70,13,25.062,N/A,Hiramoto,Unknown,59,6,Tokyo Verdy,Attack - Centre-Forward,"1,80 m",Japan,jp,https://www.transfermarkt.us/kazuki-hiramoto/profil/spieler/83919,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,18.08.1981,"Hachioji, Tokyo",Retired
4,Bismarck,Unknown,171,54,1,15.686,N/A,Bismarck,Unknown,23,0,Tokyo Verdy,Midfield - Attacking Midfield,"1,77 m",Brazil,br,https://www.transfermarkt.us/bismarck/profil/spieler/258050,https://img.a.transfermarkt.technology/portrait/small/s_258050_123_2013_03_22_1.jpg?lm=1,N/A,17.09.1969,São Gonçalo (RJ),Retired
5,Tsuyoshi Kitazawa,北澤豪,321,52,4,27.222,N/A,Kitazawa,Unknown,40,0,Tokyo Verdy,Midfield - Right Midfield,"1,70 m",Japan,jp,https://www.transfermarkt.us/tsuyoshi-kitazawa/profil/spieler/157153,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,10.08.1968,"Machida, Tokyo",Retired
6,Junki Koike,小池 純輝,218,51,26,14.363,N/A,Koike,#19,8,0,Tokyo Verdy,Attack - Right Winger,"1,80 m",Japan,jp,https://www.transfermarkt.us/junki-koike/profil/spieler/79359,https://img.a.transfermarkt.technology/portrait/small/79359-1656155870.jpg?lm=1,N/A,11.05.1987,"Ranzan, Saitama",Criacao Shinjuku
7,Hulk,Unknown,56,45,2,4.927,N/A,Hulk,#7,14,0,Tokyo Verdy,Attack - Centre-Forward,"1,80 m",Brazil,br,https://www.transfermarkt.us/hulk/profil/spieler/80562,https://img.a.transfermarkt.technology/portrait/small/80562-1563436073.jpg?lm=1,N/A,25.07.1986,Campina Grande,Clube Atlético Mineiro
8,Takuma Abe,阿部 拓馬,97,39,16,7.021,N/A,Abe,Unknown,10,0,Tokyo Verdy,Attack - Second Striker,"1,71 m",Japan,jp,https://www.transfermarkt.us/takuma-abe/profil/spieler/141819,https://img.a.transfermarkt.technology/portrait/small/141819-1605604682.jpg?lm=1,N/A,05.12.1987,"Kodaira, Tokyo",Retired
9,Douglas Vieira,Unknown,116,39,8,8.295,N/A,Douglas Vieira,Unknown,13,0,Tokyo Verdy,Attack - Centre-Forward,"1,89 m",Brazil,br,https://www.transfermarkt.us/douglas-vieira/profil/spieler/373289,https://img.a.transfermarkt.technology/portrait/small/373289-1605263981.jpg?lm=1,N/A,12.11.1987,Volta Redonda (RJ),Without Club
10,Kazunori Iio,飯尾 一慶,306,33,14,17.455,N/A,Iio,Unknown,43,2,Tokyo Verdy,Attack - Left Winger,"1,68 m",Japan,jp,https://www.transfermarkt.us/kazunori-iio/profil/spieler/83922,https://img.a.transfermarkt.technology/portrait/small/83922-1631476167.jpg?lm=1,N/A,23.02.1982,"Ninohe, Iwate",Retired
11,Alcindo,Unknown,57,30,0,4.827,N/A,Alcindo,Unknown,6,0,Tokyo Verdy,Attack - Right Winger,"1,75 m",Brazil,br,https://www.transfermarkt.us/alcindo/profil/spieler/185559,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,21.10.1967,Medianeira,Retired
