rank,name,full_name,appearances,goals,assists,minutes_played,period,jersey_name,jersey_number,yellow_cards,red_cards,club,position,height,nation,nation_code,profile_url,image_url,club_logo_url,date_of_birth,place_of_birth,status
1,Dario Tadic,Dario Tadić,263,129,44,19.841,N/A,Tadic,Unknown,12,1,TSV Hartberg,Attack - Centre-Forward,"1,79 m",Austria,at,https://www.transfermarkt.us/dario-tadic/profil/spieler/50860,https://img.a.transfermarkt.technology/portrait/small/50860-1725293564.jpg?lm=1,N/A,11.05.1990,Odžak,SC Pinkafeld
2,Stefan Fladerer,Unknown,140,70,1,11.779,N/A,Fladerer,Unknown,12,0,TSV Hartberg,Attack - Centre-Forward,"1,84 m",Austria,at,https://www.transfermarkt.us/stefan-fladerer/profil/spieler/28919,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,05.07.1978,Unknown,Retired
3,Donis Avdijaj,Unknown,95,34,25,7.621,N/A,Avdijaj,#10,18,0,TSV Hartberg,Attack - Left Winger,"1,73 m",Kosovo,unknown,https://www.transfermarkt.us/donis-avdijaj/profil/spieler/196227,https://img.a.transfermarkt.technology/portrait/small/196227-1722942269.jpg?lm=1,N/A,25.08.1996,Osnabrück,TSV Hartberg
4,Andreas Pichlbauer,Unknown,206,32,0,13.869,N/A,Pichlbauer,Unknown,14,1,TSV Hartberg,Midfield,"1,75 m",Austria,at,https://www.transfermarkt.us/andreas-pichlbauer/profil/spieler/40348,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,14.08.1980,Unknown,Retired
5,Roko Mislov,Roko Mišlov,157,29,6,13.626,N/A,Mislov,#18,35,0,TSV Hartberg,Midfield - Defensive Midfield,"1,90 m",Croatia,hr,https://www.transfermarkt.us/roko-mislov/profil/spieler/50808,https://img.a.transfermarkt.technology/portrait/small/50808-1694078902.jpg?lm=1,N/A,26.05.1988,Zadar,FC Hertha Wels
6,Patrick Bürger,Unknown,58,28,3,4.850,N/A,Bürger,Unknown,15,0,TSV Hartberg,Attack - Centre-Forward,"1,87 m",Austria,at,https://www.transfermarkt.us/patrick-burger/profil/spieler/28802,https://img.a.transfermarkt.technology/portrait/small/28802-1604063284.png?lm=1,N/A,27.06.1987,Oberwart,SC Bad Tatzmannsdorf
7,Thomas Rotter,Unknown,219,26,10,16.249,N/A,Rotter,#27,40,0,TSV Hartberg,Defender - Centre-Back,"1,88 m",Austria,at,https://www.transfermarkt.us/thomas-rotter/profil/spieler/119231,https://img.a.transfermarkt.technology/portrait/small/119231-1692986839.png?lm=1,N/A,27.01.1992,Unknown,TSV Hartberg II
8,Günter Friesenbichler,Unknown,63,25,9,5.267,N/A,Friesenbichler,Unknown,18,0,TSV Hartberg,Attack - Centre-Forward,"1,93 m",Austria,at,https://www.transfermarkt.us/gunter-friesenbichler/profil/spieler/12887,https://img.a.transfermarkt.technology/portrait/small/12887-1407936882.jpg?lm=1,N/A,04.03.1979,Weiz,Retired
9,Martin Gremsl,Unknown,169,24,1,13.249,N/A,Gremsl,Unknown,25,2,TSV Hartberg,Attack - Centre-Forward,"1,75 m",Austria,at,https://www.transfermarkt.us/martin-gremsl/profil/spieler/40341,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,21.07.1976,Unknown,Retired
10,Rajko Rep,Unknown,99,24,23,8.444,N/A,Rep,#14,26,0,TSV Hartberg,Midfield - Attacking Midfield,"1,77 m",Slovenia,si,https://www.transfermarkt.us/rajko-rep/profil/spieler/80525,https://img.a.transfermarkt.technology/portrait/small/80525-1601390365.png?lm=1,N/A,20.06.1990,Rogatec,SV Oberwart
11,Wolfgang Eder,Unknown,203,24,1,16.863,N/A,Eder,Unknown,21,0,TSV Hartberg,Midfield - Central Midfield,"1,75 m",Austria,at,https://www.transfermarkt.us/wolfgang-eder/profil/spieler/40337,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,28.11.1976,Unknown,Retired
12,Zoltán Szabó,Unknown,58,23,0,4.447,N/A,Szabó,Unknown,3,0,TSV Hartberg,Attack - Centre-Forward,"1,76 m",Hungary,hu,https://www.transfermarkt.us/zoltan-szabo/profil/spieler/272039,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,14.05.1971,Székesfehérvár,Retired
13,Stefan Rakowitz,Unknown,136,22,12,8.736,N/A,Rakowitz,#77,19,0,TSV Hartberg,Attack - Right Winger,"1,72 m",Austria,at,https://www.transfermarkt.us/stefan-rakowitz/profil/spieler/76422,https://img.a.transfermarkt.technology/portrait/small/76422-1742991382.jpg?lm=1,N/A,03.04.1990,Oberwart,SV Oberwart
14,István Schäffer,Unknown,101,22,0,8.174,N/A,Schäffer,Unknown,5,1,TSV Hartberg,Attack - Centre-Forward,Unknown,Hungary,hu,https://www.transfermarkt.us/istvan-schaffer/profil/spieler/145148,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,16.05.1967,Szombathely,Retired
15,Franz Grandits,Unknown,88,21,0,7.015,N/A,Grandits,Unknown,3,0,TSV Hartberg,Attack,Unknown,Austria,at,https://www.transfermarkt.us/franz-grandits/profil/spieler/145136,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,05.01.1964,Unknown,Retired
