rank,name,full_name,appearances,goals,assists,minutes_played,period,jersey_name,jersey_number,yellow_cards,red_cards,club,position,height,nation,nation_code,profile_url,image_url,club_logo_url,date_of_birth,place_of_birth,status
1,Mundo,Edmundo Suárez de Trabanco,232,205,0,20.865,N/A,Mundo,Unknown,0,0,Valencia CF,Attack - Centre-Forward,Unknown,Spain,es,https://www.transfermarkt.us/mundo/profil/spieler/135773,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,22.01.1916,Barakaldo,---
2,Mario Kempes,Mario Alberto Kempes Chiodi,246,149,7,21.037,N/A,Kempes,Unknown,27,0,Valencia CF,Attack - Centre-Forward,"1,82 m",Argentina,ar,https://www.transfermarkt.us/mario-kempes/profil/spieler/37264,https://img.a.transfermarkt.technology/portrait/small/37264-1552559187.jpg?lm=1,N/A,15.07.1954,"Bell Ville, Córdoba",Retired
3,Waldo Machado,Unknown,269,149,1,23.742,N/A,Waldo Machado,Unknown,0,0,Valencia CF,Attack - Centre-Forward,"1,78 m",Brazil,br,https://www.transfermarkt.us/waldo-machado/profil/spieler/135760,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,09.09.1934,Niteroi,---
4,David Villa,David Villa Sánchez,225,129,29,17.436,N/A,Villa,Unknown,31,3,Valencia CF,Attack - Centre-Forward,"1,74 m",Spain,es,https://www.transfermarkt.us/david-villa/profil/spieler/7980,https://img.a.transfermarkt.technology/portrait/small/7980-1684165569.jpg?lm=1,N/A,03.12.1981,Tuilla,Retired
5,Fernando,Unknown,487,123,4,39.220,N/A,Fernando,Unknown,29,1,Valencia CF,Midfield,"1,78 m",Spain,es,https://www.transfermarkt.us/fernando/profil/spieler/145534,https://img.a.transfermarkt.technology/portrait/small/145534-1574678999.jpg?lm=1,N/A,11.09.1965,Valencia,Retired
6,Manuel Badenes,Manuel Badenes Calduch,107,104,0,9.660,N/A,Badenes,Unknown,0,0,Valencia CF,Attack,"1,80 m",Spain,es,https://www.transfermarkt.us/manuel-badenes/profil/spieler/135763,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,30.11.1928,Castelló de la Plana,---
7,Silvestre Igoa,Silvestre Igoa Garciandía,183,86,2,16.500,N/A,Igoa,Unknown,0,0,Valencia CF,Midfield,"1,73 m",Spain,es,https://www.transfermarkt.us/silvestre-igoa/profil/spieler/248801,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,05.09.1920,Añorga,---
8,Epi,Unknown,220,86,3,19.800,N/A,Epi,Unknown,0,0,Valencia CF,Attack,Unknown,Spain,es,https://www.transfermarkt.us/epitm/profil/spieler/313827,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,23.04.1919,Donostia,---
9,Vicente Seguí,Vicente Seguí García,280,85,5,25.260,N/A,Seguí,Unknown,0,0,Valencia CF,Attack,"1,70 m",Spain,es,https://www.transfermarkt.us/vicente-segui/profil/spieler/313919,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,13.12.1927,Valencia,---
10,Lyuboslav Penev,Любослав Младенов Пенев,199,85,2,16.437,N/A,Penev,Unknown,54,4,Valencia CF,Attack - Centre-Forward,"1,93 m",Bulgaria,bg,https://www.transfermarkt.us/lyuboslav-penev/profil/spieler/104053,https://img.a.transfermarkt.technology/portrait/small/104053-1656217996.png?lm=1,N/A,31.08.1966,Dobrich,Retired
11,Guillermo Gorostiza,Guillermo Gorostiza Paredes,132,84,0,11.880,N/A,Gorostiza,Unknown,0,0,Valencia CF,Attack - Left Winger,"1,78 m",Spain,es,https://www.transfermarkt.us/guillermo-gorostiza/profil/spieler/135766,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,15.02.1909,Santurtzi,---
12,Roberto Soldado,Roberto Soldado Rillo,141,82,15,10.561,N/A,Soldado,Unknown,40,0,Valencia CF,Attack - Centre-Forward,"1,80 m",Spain,es,https://www.transfermarkt.us/roberto-soldado/profil/spieler/34870,https://img.a.transfermarkt.technology/portrait/small/34870-1583308636.jpg?lm=1,N/A,27.05.1985,Valencia,Retired
13,Amadeo,Unknown,237,82,1,21.270,N/A,Amadeo,Unknown,0,0,Valencia CF,Attack,Unknown,Spain,es,https://www.transfermarkt.us/amadeo/profil/spieler/313853,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,22.02.1916,Valencia,---
14,Claudio López,Claudio Javier López,175,71,34,13.671,N/A,López,Unknown,33,1,Valencia CF,Attack - Centre-Forward,"1,78 m",Argentina,ar,https://www.transfermarkt.us/claudio-lopez/profil/spieler/3418,https://img.a.transfermarkt.technology/portrait/small/s_3418_123_2013_03_21_1.jpg?lm=1,N/A,17.07.1974,Río Tercero,Retired
15,Robert Fernández,Roberto Fernández Bonillo,313,69,0,25.628,N/A,Fernández,Unknown,50,3,Valencia CF,Midfield - Central Midfield,,Spain,es,https://www.transfermarkt.us/robert-fernandez/profil/spieler/215590,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,05.07.1962,Betxí,Retired
16,Predrag Mijatović,Предраг Мијатовић,128,68,7,10.907,N/A,Mijatović,Unknown,26,0,Valencia CF,Attack - Centre-Forward,"1,78 m",Montenegro,me,https://www.transfermarkt.us/predrag-mijatovic/profil/spieler/24481,https://img.a.transfermarkt.technology/portrait/small/s_24481_123_2012_11_22_1.jpg?lm=1,N/A,19.01.1969,Titograd,Retired
17,Vicente Guillot,Vicente Guillot Fabián,198,67,0,17.252,N/A,Guillot,Unknown,0,2,Valencia CF,Attack,Unknown,Spain,es,https://www.transfermarkt.us/vicente-guillot/profil/spieler/309034,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,15.07.1941,Aldaia,Retired
18,Pasieguito,Bernardo Pérez Elizarán,259,65,1,23.370,N/A,Pasieguito,Unknown,0,0,Valencia CF,Midfield,Unknown,Spain,es,https://www.transfermarkt.us/pasieguito/profil/spieler/313896,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,21.05.1925,Hernani,---
19,Miguel Ángel Angulo,Miguel Ángel Angulo Valderrey,432,65,45,28.001,N/A,Angulo,Unknown,63,3,Valencia CF,Attack - Second Striker,"1,80 m",Spain,es,https://www.transfermarkt.us/miguel-angel-angulo/profil/spieler/7579,https://img.a.transfermarkt.technology/portrait/small/7579-1622215231.jpg?lm=1,N/A,23.06.1977,Oviedo,Retired
20,José Claramunt,José Claramunt Torres,336,64,1,29.191,N/A,Claramunt,Unknown,12,1,Valencia CF,Midfield,"1,65 m",Spain,es,https://www.transfermarkt.us/jose-claramunt/profil/spieler/296095,https://img.a.transfermarkt.technology/portrait/small/296095-1475842312.jpg?lm=1,N/A,16.07.1946,Puçol,Retired
21,Dani Parejo,Daniel Parejo Muñoz,383,63,64,31.066,N/A,Parejo,#10,91,2,Valencia CF,Midfield - Central Midfield,"1,82 m",Spain,es,https://www.transfermarkt.us/dani-parejo/profil/spieler/59561,https://img.a.transfermarkt.technology/portrait/small/59561-1688725780.jpg?lm=1,N/A,16.04.1989,Coslada,Villarreal CF
22,Antonio Fuertes,Antonio Fuertes Pascual,196,62,1,17.629,N/A,Fuertes,Unknown,0,1,Valencia CF,Midfield,"1,72 m",Spain,es,https://www.transfermarkt.us/antonio-fuertes/profil/spieler/309313,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,03.12.1929,Benimamet,---
23,Rodrigo,Unknown,220,59,41,15.203,N/A,Rodrigo,#10,18,4,Valencia CF,Attack - Centre-Forward,"1,82 m",Spain,es,https://www.transfermarkt.us/rodrigo/profil/spieler/131505,https://img.a.transfermarkt.technology/portrait/small/131505-1738110960.jpg?lm=1,N/A,06.03.1991,Rio de Janeiro,Al-Gharafa SC
24,Gaizka Mendieta,Gaizka Mendieta Zabala,299,57,27,24.230,N/A,Mendieta,Unknown,35,0,Valencia CF,Midfield - Right Midfield,"1,73 m",Spain,es,https://www.transfermarkt.us/gaizka-mendieta/profil/spieler/7603,https://img.a.transfermarkt.technology/portrait/small/7603-1587979885.jpg?lm=1,N/A,27.03.1974,Bilbao,Retired
25,Óscar Valdez,Óscar Rubén Valdez Ferrero,197,56,2,15.529,N/A,Valdez,Unknown,9,0,Valencia CF,Attack,Unknown,Spain,es,https://www.transfermarkt.us/oscar-valdez/profil/spieler/300230,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,25.07.1946,Buenos Aires,---
26,Rubén Baraja,Rubén Baraja Vegas,361,56,25,26.867,N/A,Baraja,Unknown,103,1,Valencia CF,Midfield - Central Midfield,"1,77 m",Spain,es,https://www.transfermarkt.us/ruben-baraja/profil/spieler/4191,https://img.a.transfermarkt.technology/portrait/small/4191-1416989896.jpg?lm=1,N/A,11.07.1975,Valladolid,Retired
27,Enrique Saura,Enrique Saura Gil,394,56,2,32.824,N/A,Saura,Unknown,12,1,Valencia CF,Attack - Right Winger,"1,71 m",Spain,es,https://www.transfermarkt.us/enrique-saura/profil/spieler/141276,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,02.08.1954,Onda,Retired
28,Héctor Núñez,Héctor Núñez Bello,148,55,0,13.268,N/A,Núñez,Unknown,0,0,Valencia CF,Attack,Unknown,Uruguay,uy,https://www.transfermarkt.us/hector-nunez/profil/spieler/308795,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,08.05.1936,Montevideo,---
29,Juan Sánchez,Juan Ginés Sánchez Romero,204,52,18,10.634,N/A,Sánchez,Unknown,11,0,Valencia CF,Attack - Centre-Forward,"1,73 m",Spain,es,https://www.transfermarkt.us/juan-sanchez/profil/spieler/7585,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,15.05.1972,Aldaia,Retired
30,Vicente,Vicente Rodríguez Guillén,338,52,56,20.417,N/A,Vicente,Unknown,42,1,Valencia CF,Attack - Left Winger,"1,76 m",Spain,es,https://www.transfermarkt.us/vicente/profil/spieler/7582,https://img.a.transfermarkt.technology/portrait/small/7582-1683031923.jpg?lm=1,N/A,16.07.1981,Valencia,Retired
31,Jonas,Unknown,157,52,22,10.118,N/A,Jonas,Unknown,20,2,Valencia CF,Attack - Second Striker,"1,82 m",Brazil,br,https://www.transfermarkt.us/jonas/profil/spieler/50143,https://img.a.transfermarkt.technology/portrait/small/50143-1474545960.jpg?lm=1,N/A,01.04.1984,Bebedouro,Retired
32,Mista,Unknown,190,50,19,9.881,N/A,Mista,Unknown,26,0,Valencia CF,Attack - Centre-Forward,,Spain,es,https://www.transfermarkt.us/mista/profil/spieler/15460,https://img.a.transfermarkt.technology/portrait/small/15460-1592146275.jpg?lm=1,N/A,12.11.1978,Murcia,Retired
33,Juan Mata,Juan Manuel Mata García,174,46,52,12.554,N/A,Mata,#64,16,0,Valencia CF,Midfield - Attacking Midfield,"1,70 m",Spain,es,https://www.transfermarkt.us/juan-mata/profil/spieler/44068,https://img.a.transfermarkt.technology/portrait/small/44068-1671102342.png?lm=1,N/A,28.04.1988,Burgos,Western Sydney Wanderers
34,Enrique Buqué,Enrique Buqué Rojals,140,44,0,12.630,N/A,Buqué,Unknown,0,0,Valencia CF,Midfield,,Spain,es,https://www.transfermarkt.us/enrique-buque/profil/spieler/349748,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,24.11.1927,Barcelona,---
35,Fernando Ansola,Fernando Ansola San Martín,129,43,0,11.010,N/A,Ansola,Unknown,0,0,Valencia CF,Attack,"1,80 m",Spain,es,https://www.transfermarkt.us/fernando-ansola/profil/spieler/309020,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,27.01.1940,Elgoibar,---
36,Carlos Arroyo,Carlos Arroyo Ayala,317,43,2,19.428,N/A,Arroyo,Unknown,32,1,Valencia CF,Midfield,"1,78 m",Spain,es,https://www.transfermarkt.us/carlos-arroyo/profil/spieler/273477,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,16.02.1966,Alcorcón,Retired
37,Paco Alcácer,Francisco Alcácer García,124,43,16,8.095,N/A,Alcácer,#9,13,1,Valencia CF,Attack - Centre-Forward,"1,75 m",Spain,es,https://www.transfermarkt.us/paco-alcacer/profil/spieler/126716,https://img.a.transfermarkt.technology/portrait/small/126716-1567086685.jpg?lm=1,N/A,30.08.1993,Torrent,Sharjah FC
38,Santi Mina,Santiago Mina Lorenzo,150,42,19,8.430,N/A,Mina,Unknown,20,0,Valencia CF,Attack - Centre-Forward,"1,81 m",Spain,es,https://www.transfermarkt.us/santi-mina/profil/spieler/255653,https://img.a.transfermarkt.technology/portrait/small/255653-1685911809.jpg?lm=1,N/A,07.12.1995,Vigo,Without Club
39,Quino Sierra,Joaquín Sierra Vallejo,148,41,0,12.030,N/A,Sierra,Unknown,0,0,Valencia CF,Attack,"1,79 m",Spain,es,https://www.transfermarkt.us/quino-sierra/profil/spieler/342627,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,06.09.1945,Sevilla,Retired
