rank,name,full_name,appearances,goals,assists,minutes_played,period,jersey_name,jersey_number,yellow_cards,red_cards,club,position,height,nation,nation_code,profile_url,image_url,club_logo_url,date_of_birth,place_of_birth,status
1,Olaf Ansorge,Unknown,381,123,0,31.879,N/A,Ansorge,Unknown,0,0,VfL Wolfsburg,Midfield - Attacking Midfield,Unknown,Germany,de,https://www.transfermarkt.us/olaf-ansorge/profil/spieler/135435,https://img.a.transfermarkt.technology/portrait/small/135435-1566999966.png?lm=1,N/A,04.06.1961,Unknown,---
2,Frank Plagge,Unknown,189,111,0,15.131,N/A,Plagge,Unknown,8,0,VfL Wolfsburg,Attack - Centre-Forward,Unknown,Germany,de,https://www.transfermarkt.us/frank-plagge/profil/spieler/121969,https://img.a.transfermarkt.technology/portrait/small/121969-1434351614.jpg?lm=1,N/A,18.04.1963,Unknown,Retired
3,Siegfried Reich,Unknown,169,95,0,13.985,N/A,Reich,Unknown,35,2,VfL Wolfsburg,Attack - Centre-Forward,,Germany,de,https://www.transfermarkt.us/siegfried-reich/profil/spieler/78330,https://img.a.transfermarkt.technology/portrait/small/78330-1446129655.jpg?lm=1,N/A,29.09.1959,Fallersleben,Retired
4,Edin Džeko,Edin Džeko,142,85,35,11.655,N/A,Džeko,-,18,0,VfL Wolfsburg,Attack - Centre-Forward,"1,93 m",Bosnia-Herzegovina,unknown,https://www.transfermarkt.us/edin-dzeko/profil/spieler/28396,https://img.a.transfermarkt.technology/portrait/small/28396-1728391796.JPG?lm=1,N/A,17.03.1986,Sarajevo,Fenerbahce
5,Wilfried Kemmer,Unknown,184,82,5,15.966,N/A,Kemmer,Unknown,6,0,VfL Wolfsburg,Attack - Centre-Forward,Unknown,Germany,de,https://www.transfermarkt.us/wilfried-kemmer/profil/spieler/134556,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,20.11.1943,Unknown,---
6,Grafite,Unknown,130,75,25,10.141,N/A,Grafite,23,24,2,VfL Wolfsburg,Attack - Centre-Forward,,Brazil,br,https://www.transfermarkt.us/grafite/profil/spieler/37772,https://img.a.transfermarkt.technology/portrait/small/37772-1597924791.jpg?lm=1,N/A,02.04.1979,Campo Limpo Paulista,Retired
7,Diego Klimowicz,Diego Fernando Klimowicz,173,71,23,13.572,N/A,Klimowicz,Unknown,34,2,VfL Wolfsburg,Attack - Centre-Forward,,Argentina,ar,https://www.transfermarkt.us/diego-klimowicz/profil/spieler/1424,https://img.a.transfermarkt.technology/portrait/small/1424-1461311512.jpg?lm=1,N/A,06.07.1974,Quilmes,Retired
8,Wout Weghorst,Wout François Maria Weghorst,144,70,22,12.437,N/A,Weghorst,9,21,0,VfL Wolfsburg,Attack - Centre-Forward,"1,97 m",Netherlands,nl,https://www.transfermarkt.us/wout-weghorst/profil/spieler/228645,https://img.a.transfermarkt.technology/portrait/small/228645-1727259675.jpg?lm=1,N/A,07.08.1992,Borne,Ajax Amsterdam
9,Hans Kircher,Unknown,86,70,0,7.740,N/A,Kircher,Unknown,0,0,VfL Wolfsburg,Attack - Left Winger,Unknown,Germany,de,https://www.transfermarkt.us/hans-kircher/profil/spieler/852075,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,01.12.1921,Frankfurt am Main,---
10,Matthias Fiebich,Unknown,212,69,0,16.587,N/A,Fiebich,Unknown,0,0,VfL Wolfsburg,Midfield,Unknown,Germany,de,https://www.transfermarkt.us/matthias-fiebich/profil/spieler/135439,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,08.11.1962,Unknown,Retired
11,Holger Fiebich,Unknown,228,63,1,17.320,N/A,Fiebich,Unknown,1,0,VfL Wolfsburg,Attack,Unknown,Germany,de,https://www.transfermarkt.us/holger-fiebich/profil/spieler/99493,https://img.a.transfermarkt.technology/portrait/small/99493-1482394040.jpg?lm=1,N/A,21.05.1968,Unknown,Retired
12,Andrzej Juskowiak,Unknown,131,49,20,9.733,N/A,Juskowiak,9,6,0,VfL Wolfsburg,Attack - Centre-Forward,"1,85 m",Poland,pl,https://www.transfermarkt.us/andrzej-juskowiak/profil/spieler/658,https://img.a.transfermarkt.technology/portrait/small/s_658_123_2012_1.jpg?lm=1,N/A,03.11.1970,Gostyń,Retired
13,Bas Dost,Bas Leon Dost,117,48,14,7.729,N/A,Dost,21,2,0,VfL Wolfsburg,Attack - Centre-Forward,"1,96 m",Netherlands,nl,https://www.transfermarkt.us/bas-dost/profil/spieler/56331,https://img.a.transfermarkt.technology/portrait/small/56331-1599992368.jpg?lm=1,N/A,31.05.1989,Deventer,Career break
14,Maximilian Arnold,Unknown,443,47,55,35.232,N/A,Arnold,8,100,3,VfL Wolfsburg,Midfield - Central Midfield,"1,84 m",Germany,de,https://www.transfermarkt.us/maximilian-arnold/profil/spieler/117674,https://img.a.transfermarkt.technology/portrait/small/117674-1660652294.JPG?lm=1,N/A,27.05.1994,Riesa,VfL Wolfsburg
15,Wolfgang Wallek,Unknown,92,45,0,7.519,N/A,Wallek,Unknown,4,0,VfL Wolfsburg,Attack,Unknown,Germany,de,https://www.transfermarkt.us/wolfgang-wallek/profil/spieler/174073,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,06.04.1950,Unknown,Retired
16,Wolf-Rüdiger Krause,Unknown,97,45,0,7.894,N/A,Krause,Unknown,1,0,VfL Wolfsburg,Attack,Unknown,Germany,de,https://www.transfermarkt.us/wolf-rudiger-krause/profil/spieler/110203,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,07.09.1944,Kolberg,Retired
17,Roy Präger,Unknown,170,41,11,13.183,N/A,Präger,-,41,1,VfL Wolfsburg,Attack - Centre-Forward,"1,72 m",Germany,de,https://www.transfermarkt.us/roy-prager/profil/spieler/320,https://img.a.transfermarkt.technology/portrait/small/320-1592494654.jpg?lm=1,N/A,22.09.1971,Zossen,Retired
18,Martin Petrov,Мартин Петров,136,38,38,10.550,N/A,Petrov,-,25,1,VfL Wolfsburg,Attack - Left Winger,,Bulgaria,bg,https://www.transfermarkt.us/martin-petrov/profil/spieler/670,https://img.a.transfermarkt.technology/portrait/small/670-1656218742.png?lm=1,N/A,15.01.1979,Vratsa,Retired
19,Manfred Wuttich,Unknown,57,38,0,4.955,N/A,Wuttich,Unknown,0,0,VfL Wolfsburg,Attack,Unknown,Germany,de,https://www.transfermarkt.us/manfred-wuttich/profil/spieler/109348,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,26.01.1941,Unknown,---
20,Peter Ament,Unknown,245,37,0,20.019,N/A,Ament,Unknown,3,0,VfL Wolfsburg,Midfield,Unknown,Germany,de,https://www.transfermarkt.us/peter-ament/profil/spieler/379681,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,24.11.1957,Unknown,---
21,Michael Geiger,Unknown,231,35,0,19.886,N/A,Geiger,-,3,0,VfL Wolfsburg,Defender - Right-Back,,Germany,de,https://www.transfermarkt.us/michael-geiger/profil/spieler/107472,https://img.a.transfermarkt.technology/portrait/small/107472-1463066414.jpg?lm=1,N/A,27.09.1960,Böckingen,Retired
22,Jürgen Mosert,Unknown,75,35,1,5.371,N/A,Mosert,Unknown,0,0,VfL Wolfsburg,Midfield,Unknown,Germany,de,https://www.transfermarkt.us/jurgen-mosert/profil/spieler/316810,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,09.07.1959,Unknown,Retired
23,Ivica Olic,Ivica Olić,94,33,14,6.894,N/A,Olic,18,6,0,VfL Wolfsburg,Attack - Centre-Forward,"1,82 m",Croatia,hr,https://www.transfermarkt.us/ivica-olic/profil/spieler/7427,https://img.a.transfermarkt.technology/portrait/small/7427-1470382145.jpg?lm=1,N/A,14.09.1979,Davor,Retired
24,Tomislav Maric,Tomislav Marić,97,33,12,5.234,N/A,Maric,9,7,0,VfL Wolfsburg,Attack - Centre-Forward,,Croatia,hr,https://www.transfermarkt.us/tomislav-maric/profil/spieler/664,https://img.a.transfermarkt.technology/portrait/small/664-1461311209.jpg?lm=1,N/A,28.01.1973,Heilbronn,Retired
25,Jonas Wind,Jonas Older Wind,106,33,13,7.117,N/A,Wind,23,7,0,VfL Wolfsburg,Attack - Centre-Forward,"1,90 m",Denmark,dk,https://www.transfermarkt.us/jonas-wind/profil/spieler/391004,https://img.a.transfermarkt.technology/portrait/small/391004-1689866009.jpg?lm=1,N/A,07.02.1999,Hvidovre,VfL Wolfsburg
26,Jacek Frackiewicz,Jacek Frąckiewicz,108,31,0,8.613,N/A,Frackiewicz,Unknown,10,0,VfL Wolfsburg,Midfield - Attacking Midfield,,Poland,pl,https://www.transfermarkt.us/jacek-frackiewicz/profil/spieler/129648,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,19.09.1969,Sztum,Retired
27,Charles Akonnor,Charles Kwablan Akonnor,142,25,11,10.917,N/A,Akonnor,-,21,0,VfL Wolfsburg,Midfield - Central Midfield,,Ghana,gh,https://www.transfermarkt.us/charles-akonnor/profil/spieler/645,https://img.a.transfermarkt.technology/portrait/small/645-1493389465.jpg?lm=1,N/A,12.03.1974,Accra,Retired
