rank,name,full_name,appearances,goals,assists,minutes_played,period,jersey_name,jersey_number,yellow_cards,red_cards,club,position,height,nation,nation_code,profile_url,image_url,club_logo_url,date_of_birth,place_of_birth,status
1,André André,André Filipe Brás André,232,39,17,17.084,N/A,André,#11,78,0,Vitória Guimarães SC,Midfield - Central Midfield,"1,74 m",Portugal,pt,https://www.transfermarkt.us/andre-andre/profil/spieler/63837,https://img.a.transfermarkt.technology/portrait/small/63837-1547404822.png?lm=1,N/A,26.08.1989,Vila do Conde,Leixões SC
2,Nuno Assis,Unknown,201,30,13,16.231,N/A,Nuno Assis,Unknown,41,0,Vitória Guimarães SC,Midfield - Attacking Midfield,"1,68 m",Portugal,pt,https://www.transfermarkt.us/nuno-assis/profil/spieler/13120,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,25.11.1977,Lousã,Retired
3,Óscar Estupiñán,Óscar Eduardo Estupiñán Vallesilla,79,28,5,4.965,N/A,Estupiñán,#19,7,0,Vitória Guimarães SC,Attack - Centre-Forward,"1,82 m",Colombia,co,https://www.transfermarkt.us/oscar-estupinan/profil/spieler/388266,https://img.a.transfermarkt.technology/portrait/small/388266-1697465934.png?lm=1,N/A,29.12.1996,Santiago de Cali,FC Juárez
4,Edgar Bruno,Edgar Bruno da Silva,73,26,5,5.490,N/A,Bruno,#9,12,0,Vitória Guimarães SC,Attack - Centre-Forward,"1,91 m",Brazil,br,https://www.transfermarkt.us/edgar-bruno/profil/spieler/45673,https://img.a.transfermarkt.technology/portrait/small/45673-1624907653.png?lm=1,N/A,03.01.1987,São Carlos,Daegu FC
5,Paolo Hurtado,Cristopher Paolo César Hurtado Huertas,80,25,10,5.404,N/A,Hurtado,#7,17,0,Vitória Guimarães SC,Midfield - Attacking Midfield,"1,75 m",Peru,pe,https://www.transfermarkt.us/paolo-hurtado/profil/spieler/84318,https://img.a.transfermarkt.technology/portrait/small/84318-1706191683.jpg?lm=1,N/A,27.07.1990,Callao,Comerciantes FC
6,Bruno Duarte,Unknown,98,23,10,4.579,N/A,Bruno Duarte,#17,8,0,Vitória Guimarães SC,Attack - Centre-Forward,"1,82 m",Brazil,br,https://www.transfermarkt.us/bruno-duarte/profil/spieler/598629,https://img.a.transfermarkt.technology/portrait/small/598629-1725631470.JPG?lm=1,N/A,24.03.1996,São Paulo,Red Star Belgrade
7,Carlos Fangueiro,Carlos Manuel Fangueiro Soares,111,23,2,6.126,N/A,Fangueiro,Unknown,12,0,Vitória Guimarães SC,Attack - Right Winger,"1,74 m",Portugal,pt,https://www.transfermarkt.us/carlos-fangueiro/profil/spieler/13137,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,19.12.1976,Matosinhos,Retired
8,Raphinha,Unknown,85,22,13,5.953,N/A,Raphinha,#11,11,0,Vitória Guimarães SC,Attack - Left Winger,"1,76 m",Brazil,br,https://www.transfermarkt.us/raphinha/profil/spieler/411295,https://img.a.transfermarkt.technology/portrait/small/411295-1729754479.png?lm=1,N/A,14.12.1996,Porto Alegre,FC Barcelona
9,Romeu,Unknown,110,22,3,8.475,N/A,Romeu,Unknown,17,1,Vitória Guimarães SC,Attack - Centre-Forward,"1,83 m",Portugal,pt,https://www.transfermarkt.us/romeu/profil/spieler/13129,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,08.10.1974,Lobão,Retired
10,Tiago Silva,Tiago Rafael Maia da Silva,146,22,19,11.060,N/A,Silva,#10,44,3,Vitória Guimarães SC,Midfield - Central Midfield,"1,72 m",Portugal,pt,https://www.transfermarkt.us/tiago-silva/profil/spieler/236997,https://img.a.transfermarkt.technology/portrait/small/236997-1534408061.png?lm=1,N/A,02.06.1993,Lisboa,Vitória Guimarães SC
11,Davidson,Davidson da Luz Pereira,83,20,20,5.973,N/A,Davidson,#11,8,1,Vitória Guimarães SC,Attack - Left Winger,"1,77 m",Brazil,br,https://www.transfermarkt.us/davidson/profil/spieler/397090,https://img.a.transfermarkt.technology/portrait/small/397090-1712671366.png?lm=1,N/A,05.03.1991,Rio de Janeiro,Qingdao West Coast
12,Jota Silva,Unknown,83,20,11,5.756,N/A,Jota Silva,#20,21,0,Vitória Guimarães SC,Attack - Right Winger,"1,79 m",Portugal,pt,https://www.transfermarkt.us/jota-silva/profil/spieler/663244,https://img.a.transfermarkt.technology/portrait/small/663244-1731056081.jpg?lm=1,N/A,01.08.1999,Gondomar,Nottingham Forest
13,Marcus Edwards,Unknown,96,20,14,6.327,N/A,Edwards,#22,1,0,Vitória Guimarães SC,Attack - Right Winger,"1,68 m",England,unknown,https://www.transfermarkt.us/marcus-edwards/profil/spieler/314367,https://img.a.transfermarkt.technology/portrait/small/314367-1653379978.jpg?lm=1,N/A,03.12.1998,London,Burnley FC
14,André Silva,Unknown,60,19,6,4.513,N/A,André Silva,#17,8,0,Vitória Guimarães SC,Attack - Centre-Forward,"1,81 m",Brazil,br,https://www.transfermarkt.us/andre-silva/profil/spieler/565232,https://img.a.transfermarkt.technology/portrait/small/565232-1695208367.jpg?lm=1,N/A,03.06.1997,Taboão da Serra,São Paulo Futebol Clube
15,Rochinha,Unknown,122,19,21,7.183,N/A,Rochinha,#10,10,1,Vitória Guimarães SC,Attack - Left Winger,"1,69 m",Portugal,pt,https://www.transfermarkt.us/rochinha/profil/spieler/290336,https://img.a.transfermarkt.technology/portrait/small/290336-1666099955.jpg?lm=1,N/A,03.05.1995,Espinho,FC Famalicão
16,Tiago Targino,Tiago João Targino da Silva,139,19,8,6.455,N/A,Targino,Unknown,18,0,Vitória Guimarães SC,Attack - Right Winger,"1,80 m",Portugal,pt,https://www.transfermarkt.us/tiago-targino/profil/spieler/34024,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,06.06.1986,Beja,Retired
17,Kamel Ghilas,كمال غيلاس,63,18,3,4.431,N/A,Ghilas,Unknown,8,0,Vitória Guimarães SC,Attack - Second Striker,"1,77 m",Algeria,dz,https://www.transfermarkt.us/kamel-ghilas/profil/spieler/40928,https://img.a.transfermarkt.technology/portrait/small/s_40928_1421_2013_10_10_1.jpg?lm=1,N/A,09.03.1984,Marseille,Berre SpC
18,Gilmar,Unknown,56,18,2,4.530,N/A,Gilmar,Unknown,9,0,Vitória Guimarães SC,Attack - Centre-Forward,"1,79 m",Brazil,br,https://www.transfermarkt.us/gilmar/profil/spieler/160194,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,11.04.1967,Belo Horizonte,Retired
19,Marek Saganowski,Unknown,41,16,3,3.480,N/A,Saganowski,Unknown,5,1,Vitória Guimarães SC,Attack - Centre-Forward,"1,78 m",Poland,pl,https://www.transfermarkt.us/marek-saganowski/profil/spieler/3084,https://img.a.transfermarkt.technology/portrait/small/3084-1623854774.jpg?lm=1,N/A,31.10.1978,Łódź,Retired
20,Hernâni,Unknown,63,16,14,4.152,N/A,Hernâni,#27,6,0,Vitória Guimarães SC,Attack - Left Winger,"1,80 m",Portugal,pt,https://www.transfermarkt.us/hernani/profil/spieler/172142,https://img.a.transfermarkt.technology/portrait/small/172142-1676548747.jpg?lm=1,N/A,20.08.1991,Lisboa,NK Osijek
21,Marcelo Toscano,Unknown,82,16,9,5.740,N/A,Marcelo Toscano,Unknown,11,0,Vitória Guimarães SC,Attack - Centre-Forward,"1,84 m",Brazil,br,https://www.transfermarkt.us/marcelo-toscano/profil/spieler/84486,https://img.a.transfermarkt.technology/portrait/small/84486-1663032148.jpg?lm=1,N/A,12.05.1985,Areado,Agremiação Sportiva Arapiraquense (AL)
22,El Arbi Hillel Soudani,العربي هلال سوداني‎‎,44,16,0,3.049,N/A,Soudani,#2,7,1,Vitória Guimarães SC,Attack - Right Winger,"1,78 m",Algeria,dz,https://www.transfermarkt.us/el-arbi-hillel-soudani/profil/spieler/174842,https://img.a.transfermarkt.technology/portrait/small/174842-1680214623.JPG?lm=1,N/A,25.11.1987,Chlef,NK Maribor
23,Roberto,Unknown,83,15,5,4.916,N/A,Roberto,Unknown,8,1,Vitória Guimarães SC,Attack - Centre-Forward,"1,90 m",Brazil,br,https://www.transfermarkt.us/roberto/profil/spieler/24769,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,29.07.1978,Linhares,Retired
24,Moussa Marega,Unknown,31,14,9,2.574,N/A,Marega,Unknown,7,1,Vitória Guimarães SC,Attack - Centre-Forward,"1,83 m",Mali,ml,https://www.transfermarkt.us/moussa-marega/profil/spieler/283130,https://img.a.transfermarkt.technology/portrait/small/283130-1681408284.jpg?lm=1,N/A,14.04.1991,Les Ulis,Al-Diraiyah FC
