rank,name,full_name,appearances,goals,assists,minutes_played,period,jersey_name,jersey_number,yellow_cards,red_cards,club,position,height,nation,nation_code,profile_url,image_url,club_logo_url,date_of_birth,place_of_birth,status
1,Sergiy Chuychenko,Чуйченко Сергій Олександрович,86,47,4,6.659,N/A,Chuychenko,Unknown,4,0,Vorskla Poltava,Attack - Centre-Forward,"1,80 m",Ukraine,ua,https://www.transfermarkt.us/sergiy-chuychenko/profil/spieler/858005,https://img.a.transfermarkt.technology/portrait/small/858005-1674574986.jpg?lm=1,N/A,25.10.1968,Kharkow,Retired
2,Oleksandr Pindeev,Піндєєв Олександр Валерійович,83,36,0,6.798,N/A,Pindeev,Unknown,6,0,Vorskla Poltava,Attack - Centre-Forward,"1,85 m",Ukraine,ua,https://www.transfermarkt.us/oleksandr-pindeev/profil/spieler/388677,https://img.a.transfermarkt.technology/portrait/small/388677-1676208607.jpg?lm=1,N/A,13.03.1971,Odessa,Retired
3,Ahmed Januzi,Unknown,201,34,17,10.892,N/A,Januzi,#27,37,0,Vorskla Poltava,Attack - Centre-Forward,"1,85 m",Albania,al,https://www.transfermarkt.us/ahmed-januzi/profil/spieler/59150,https://img.a.transfermarkt.technology/portrait/small/59150-1734644263.jpg?lm=1,N/A,08.07.1988,Vushtrri,KF Llapi
4,Ruslan Stepanyuk,Степанюк Руслан Юрійович,121,34,29,9.919,N/A,Stepanyuk,#7,15,0,Vorskla Poltava,Attack - Centre-Forward,"1,81 m",Ukraine,ua,https://www.transfermarkt.us/ruslan-stepanyuk/profil/spieler/222079,https://img.a.transfermarkt.technology/portrait/small/222079-1723642222.png?lm=1,N/A,16.01.1992,"Vesele, Dnipropetrovsk Oblast",NK Veres Rivne
5,Ivan Shariy,Шарій Іван Григорович,100,34,7,4.640,N/A,Shariy,Unknown,3,0,Vorskla Poltava,Attack - Centre-Forward,"1,81 m",Ukraine,ua,https://www.transfermarkt.us/ivan-shariy/profil/spieler/136529,https://img.a.transfermarkt.technology/portrait/small/136529-1676455254.jpg?lm=1,N/A,24.11.1957,Poltava,Retired
6,Vladyslav Kulach,Кулач Владислав Ігорович,82,33,3,5.715,N/A,Kulach,#10,20,0,Vorskla Poltava,Attack - Centre-Forward,"1,78 m",Ukraine,ua,https://www.transfermarkt.us/vladyslav-kulach/profil/spieler/167556,https://img.a.transfermarkt.technology/portrait/small/167556-1681281580.png?lm=1,N/A,07.05.1993,Donetsk,Vorskla Poltava
7,Artem Gromov,Громов Артем Ігорович,154,28,14,9.931,N/A,Gromov,#17,11,0,Vorskla Poltava,Attack - Left Winger,"1,78 m",Ukraine,ua,https://www.transfermarkt.us/artem-gromov/profil/spieler/122088,https://img.a.transfermarkt.technology/portrait/small/122088-1639334958.png?lm=1,N/A,14.01.1990,"Stryi, Lviv Oblast",Union Mauer
8,Yuriy Sobol,Соболь Юрий Алексеевич,51,24,0,3.881,N/A,Sobol,Unknown,1,0,Vorskla Poltava,Attack,"1,76 m",Russia,unknown,https://www.transfermarkt.us/yuriy-sobol/profil/spieler/491720,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,19.03.1966,Unknown,Retired
9,Roman Bezus,Безус Роман Анатолійович,111,24,12,7.218,N/A,Bezus,#90,20,1,Vorskla Poltava,Midfield - Attacking Midfield,"1,85 m",Ukraine,ua,https://www.transfermarkt.us/roman-bezus/profil/spieler/97567,https://img.a.transfermarkt.technology/portrait/small/97567-1732288578.jpg?lm=1,N/A,26.09.1990,"Kremenchuk, Poltava Oblast",Omonia Nicosia
10,Vasyl Sachko,Сачко Василь Вікторович,100,23,6,6.210,N/A,Sachko,Unknown,3,0,Vorskla Poltava,Attack - Centre-Forward,"1,90 m",Ukraine,ua,https://www.transfermarkt.us/vasyl-sachko/profil/spieler/59127,https://img.a.transfermarkt.technology/portrait/small/59127-1661247505.png?lm=1,N/A,03.05.1975,"Staromlynivka, Donetsk Oblast",Retired
