rank,name,full_name,appearances,goals,assists,minutes_played,period,jersey_name,jersey_number,yellow_cards,red_cards,club,position,height,nation,nation_code,profile_url,image_url,club_logo_url,date_of_birth,place_of_birth,status
1,Mark Bridge,Mark Robert Bridge,135,38,15,10.729,N/A,Bridge,Unknown,16,0,Western Sydney Wanderers,Attack - Centre-Forward,"1,83 m",Australia,au,https://www.transfermarkt.us/mark-bridge/profil/spieler/43202,https://img.a.transfermarkt.technology/portrait/small/43202-1413374763.jpg?lm=1,N/A,07.11.1985,Sydney,Retired
2,Brendon Santalab,Brendon James Santalab,109,38,4,4.669,N/A,Santalab,Unknown,29,1,Western Sydney Wanderers,Attack - Centre-Forward,"1,73 m",Australia,au,https://www.transfermarkt.us/brendon-santalab/profil/spieler/21202,https://img.a.transfermarkt.technology/portrait/small/21202-1413373646.jpg?lm=1,N/A,09.09.1982,Wollongong,FC Strathmore Split
3,Oriol Riera,Oriol Riera Magem,53,27,3,4.312,N/A,Riera,Unknown,8,0,Western Sydney Wanderers,Attack - Centre-Forward,"1,86 m",Spain,es,https://www.transfermarkt.us/oriol-riera/profil/spieler/71671,https://img.a.transfermarkt.technology/portrait/small/71671-1446727271.jpg?lm=1,N/A,03.07.1986,Vic,Retired
4,Mitchell Duke,Mitchell Thomas Duke,54,24,4,4.145,N/A,Duke,#15,3,0,Western Sydney Wanderers,Attack - Centre-Forward,"1,86 m",Australia,au,https://www.transfermarkt.us/mitchell-duke/profil/spieler/177775,https://img.a.transfermarkt.technology/portrait/small/177775-1625839380.jpg?lm=1,N/A,18.01.1991,Liverpool,Machida Zelvia
5,Nicolas Milanovic,Nicolas Petar Milanović,63,23,13,4.003,N/A,Milanovic,#14,12,0,Western Sydney Wanderers,Attack - Right Winger,"1,85 m",Australia,au,https://www.transfermarkt.us/nicolas-milanovic/profil/spieler/794777,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,14.11.2001,Penrith,Western Sydney Wanderers
6,Brandon Borrello,Brandon Joel Gaetano Borrello,69,23,17,5.637,N/A,Borrello,#26,12,0,Western Sydney Wanderers,Attack - Centre-Forward,"1,78 m",Australia,au,https://www.transfermarkt.us/brandon-borrello/profil/spieler/293592,https://img.a.transfermarkt.technology/portrait/small/293592-1685083474.jpg?lm=1,N/A,25.07.1995,Adelaide,Western Sydney Wanderers
7,Tomi Juric,Unknown,50,17,1,3.111,N/A,Juric,#9,10,0,Western Sydney Wanderers,Attack - Centre-Forward,"1,91 m",Australia,au,https://www.transfermarkt.us/tomi-juric/profil/spieler/171820,https://img.a.transfermarkt.technology/portrait/small/171820-1715149489.png?lm=1,N/A,22.07.1991,"Auburn, New South Wales",FC Koper
8,Marcus Antonsson,Carl Marcus Christer Antonsson,51,15,6,2.713,N/A,Antonsson,#9,0,0,Western Sydney Wanderers,Attack - Centre-Forward,"1,84 m",Sweden,se,https://www.transfermarkt.us/marcus-antonsson/profil/spieler/171676,https://img.a.transfermarkt.technology/portrait/small/171676-1681598272.JPG?lm=1,N/A,08.05.1991,Unnaryd,Western Sydney Wanderers
9,Lachlan Brook,Lachlan Ricky Brook,25,14,2,1.411,N/A,Brook,#17,0,0,Western Sydney Wanderers,Attack - Right Winger,"1,78 m",Australia,au,https://www.transfermarkt.us/lachlan-brook/profil/spieler/507115,https://img.a.transfermarkt.technology/portrait/small/507115-1740418172.jpg?lm=1,N/A,08.02.2001,Gawler,Real Salt Lake City
10,Kwame Yeboah,Kwame Adzenyina Yeboah,50,12,3,2.667,N/A,Yeboah,Unknown,2,0,Western Sydney Wanderers,Attack - Left Winger,,Australia,au,https://www.transfermarkt.us/kwame-yeboah/profil/spieler/187383,https://img.a.transfermarkt.technology/portrait/small/187383-1516366863.jpg?lm=1,N/A,02.06.1994,Gold Coast,Retired
11,Jaushua Sotirio,Jaushua James Elie Sotirio,91,12,2,4.166,N/A,Sotirio,#31,11,0,Western Sydney Wanderers,Attack - Centre-Forward,"1,75 m",Neukaledonien,unknown,https://www.transfermarkt.us/jaushua-sotirio/profil/spieler/302818,https://img.a.transfermarkt.technology/portrait/small/302818-1684213869.jpg?lm=1,N/A,11.10.1995,Sydney,Sydney FC
12,Romeo Castelen,Romeo Erwin Maurits Castelen,52,11,2,3.652,N/A,Castelen,Unknown,0,0,Western Sydney Wanderers,Attack - Right Winger,,Netherlands,nl,https://www.transfermarkt.us/romeo-castelen/profil/spieler/6764,https://img.a.transfermarkt.technology/portrait/small/6764-1413374703.jpg?lm=1,N/A,03.05.1983,Paramaribo,Retired
13,Shinji Ono,小野 伸二,57,11,9,4.016,N/A,Ono,Unknown,5,0,Western Sydney Wanderers,Midfield - Attacking Midfield,"1,75 m",Japan,jp,https://www.transfermarkt.us/shinji-ono/profil/spieler/4379,https://img.a.transfermarkt.technology/portrait/small/4379-1620634811.jpg?lm=1,N/A,27.09.1979,"Numazu, Shizuoka",Retired
14,Mitch Nichols,Mitchell Ian Nichols,58,11,7,4.922,N/A,Nichols,Unknown,7,0,Western Sydney Wanderers,Midfield - Attacking Midfield,"1,81 m",Australia,au,https://www.transfermarkt.us/mitch-nichols/profil/spieler/50471,https://img.a.transfermarkt.technology/portrait/small/s_50471_1022_2012_1.jpg?lm=1,N/A,01.05.1989,Gold Coast,Retired
15,Bruce Kamau,Unknown,68,11,11,4.439,N/A,Kamau,Unknown,6,0,Western Sydney Wanderers,Attack - Right Winger,"1,75 m",Kenya,ke,https://www.transfermarkt.us/bruce-kamau/profil/spieler/334157,https://img.a.transfermarkt.technology/portrait/small/334157-1413470564.jpg?lm=1,N/A,28.03.1995,Nairobi,FC Adelaide City
