rank,name,full_name,appearances,goals,assists,minutes_played,period,jersey_name,jersey_number,yellow_cards,red_cards,club,position,height,nation,nation_code,profile_url,image_url,club_logo_url,date_of_birth,place_of_birth,status
1,Coy Koopal,Unknown,193,96,1,17.280,N/A,Koopal,Unknown,0,0,Willem II Tilburg,Attack,Unknown,Netherlands,nl,https://www.transfermarkt.us/coy-koopal/profil/spieler/152521,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,22.07.1932,Blerick,---
2,Piet Timmermans,Unknown,289,78,14,25.815,N/A,Timmermans,Unknown,0,0,Willem II Tilburg,Midfield - Left Midfield,Unknown,Netherlands,nl,https://www.transfermarkt.us/piet-timmermans/profil/spieler/244081,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,03.01.1939,Oss,---
3,Mariano Bombarda,Unknown,116,53,12,8.608,N/A,Bombarda,Unknown,7,0,Willem II Tilburg,Attack - Centre-Forward,"1,80 m",Spain,es,https://www.transfermarkt.us/mariano-bombarda/profil/spieler/8020,https://img.a.transfermarkt.technology/portrait/small/8020-1740480170.jpg?lm=1,N/A,10.09.1972,Cádiz,Retired
4,Henk van Rooy,Unknown,164,53,15,13.716,N/A,van Rooy,Unknown,0,0,Willem II Tilburg,Attack - Centre-Forward,Unknown,Netherlands,nl,https://www.transfermarkt.us/henk-van-rooy/profil/spieler/243510,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,10.01.1948,Den Bosch,---
5,Martin van Geel,Unknown,177,51,3,14.484,N/A,van Geel,Unknown,3,0,Willem II Tilburg,Midfield - Left Midfield,Unknown,Netherlands,nl,https://www.transfermarkt.us/martin-van-geel/profil/spieler/149035,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,27.11.1960,Goirle,Retired
6,Johan Havermans,Unknown,382,50,16,32.851,N/A,Havermans,Unknown,13,0,Willem II Tilburg,Defender - Left-Back,Unknown,Netherlands,nl,https://www.transfermarkt.us/johan-havermans/profil/spieler/243458,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,27.09.1950,Unknown,Retired
7,Earnie Stewart,Earnest Lee Stewart Jr.,174,50,5,14.983,N/A,Stewart,Unknown,12,1,Willem II Tilburg,Attack - Centre-Forward,"1,76 m",United States,us,https://www.transfermarkt.us/earnie-stewart/profil/spieler/4463,https://img.a.transfermarkt.technology/portrait/small/4463-1410857729.jpg?lm=1,N/A,28.03.1969,Veghel,Retired
8,Fran Sol,Francisco Sol Ortiz,88,47,6,7.366,N/A,Sol,#9,8,1,Willem II Tilburg,Attack - Centre-Forward,"1,82 m",Spain,es,https://www.transfermarkt.us/fran-sol/profil/spieler/164292,https://img.a.transfermarkt.technology/portrait/small/164292-1511181696.jpg?lm=1,N/A,13.03.1992,Madrid,AEK Larnaca
9,Denny Landzaat,Denny Domingues Landzaat,160,39,13,13.600,N/A,Landzaat,Unknown,9,0,Willem II Tilburg,Midfield - Central Midfield,"1,78 m",Netherlands,nl,https://www.transfermarkt.us/denny-landzaat/profil/spieler/4570,https://img.a.transfermarkt.technology/portrait/small/4570-1719542382.jpg?lm=1,N/A,06.05.1976,Amsterdam,Retired
10,Bud Brocken,Budde Jan Peter Maria Brocken,279,38,27,23.907,N/A,Brocken,Unknown,6,0,Willem II Tilburg,Attack - Right Winger,Unknown,Netherlands,nl,https://www.transfermarkt.us/bud-brocken/profil/spieler/151820,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,12.09.1957,Tilburg,Retired
11,Jatto Ceesay,Unknown,256,38,32,17.379,N/A,Ceesay,Unknown,25,4,Willem II Tilburg,Attack - Right Winger,"1,74 m",The Gambia,unknown,https://www.transfermarkt.us/jatto-ceesay/profil/spieler/4575,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,16.11.1974,Serekunda,Retired
12,Cees van den Berg,Unknown,182,35,19,15.697,N/A,van den Berg,Unknown,1,0,Willem II Tilburg,Midfield - Central Midfield,Unknown,Netherlands,nl,https://www.transfermarkt.us/cees-van-den-berg/profil/spieler/247836,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,08.03.1950,Utrecht,Retired
13,Piet de Jong,Unknown,91,34,1,8.145,N/A,de Jong,Unknown,0,0,Willem II Tilburg,Attack - Right Winger,Unknown,Netherlands,nl,https://www.transfermarkt.us/piet-de-jong/profil/spieler/244058,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,19.06.1930,Unknown,---
14,Ger Saris,Unknown,59,33,6,5.187,N/A,Saris,Unknown,0,0,Willem II Tilburg,Attack - Right Winger,Unknown,Netherlands,nl,https://www.transfermarkt.us/ger-saris/profil/spieler/382984,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,30.04.1943,Unknown,Retired
15,Tom Caluwé,Unknown,182,33,18,13.491,N/A,Caluwé,Unknown,18,0,Willem II Tilburg,Midfield - Attacking Midfield,"1,72 m",Belgium,be,https://www.transfermarkt.us/tom-caluwe/profil/spieler/4568,https://img.a.transfermarkt.technology/portrait/small/4568-1617785427.jpg?lm=1,N/A,11.04.1978,Rumst,Retired
16,Vangelis Pavlidis,Βαγγέλης Παυλίδης,82,33,14,6.674,N/A,Pavlidis,#14,8,0,Willem II Tilburg,Attack - Centre-Forward,"1,86 m",Greece,gr,https://www.transfermarkt.us/vangelis-pavlidis/profil/spieler/324503,https://img.a.transfermarkt.technology/portrait/small/324503-1737497307.jpg?lm=1,N/A,21.11.1998,Thessaloniki,SL Benfica
17,Louis de Puyt,Unknown,131,32,13,10.018,N/A,de Puyt,Unknown,0,0,Willem II Tilburg,Attack,Unknown,Netherlands,nl,https://www.transfermarkt.us/louis-de-puyt/profil/spieler/279841,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,30.06.1946,Unknown,Retired
