rank,name,full_name,appearances,goals,assists,minutes_played,period,jersey_name,jersey_number,yellow_cards,red_cards,club,position,height,nation,nation_code,profile_url,image_url,club_logo_url,date_of_birth,place_of_birth,status
1,Simon Zangerl,Unknown,163,112,3,12.696,N/A,Zangerl,Unknown,24,0,WSG Tirol,Attack - Centre-Forward,"1,78 m",Austria,at,https://www.transfermarkt.us/simon-zangerl/profil/spieler/79375,https://img.a.transfermarkt.technology/portrait/small/79375-1503934612.jpg?lm=1,N/A,28.01.1990,Zams,Retired
2,Armin Hobel,Unknown,149,106,0,13.016,N/A,Hobel,Unknown,34,0,WSG Tirol,Attack - Centre-Forward,,Austria,at,https://www.transfermarkt.us/armin-hobel/profil/spieler/16481,https://img.a.transfermarkt.technology/portrait/small/r_e_s_16481_2446_2009_1.jpg?lm=1,N/A,11.12.1976,Unknown,Retired
3,Benjamin Pranter,Unknown,291,87,51,21.019,N/A,Pranter,#7,38,0,WSG Tirol,Midfield - Attacking Midfield,"1,81 m",Austria,at,https://www.transfermarkt.us/benjamin-pranter/profil/spieler/58963,https://img.a.transfermarkt.technology/portrait/small/58963-1566311622.jpg?lm=1,N/A,22.09.1989,Völs,Völser SV
4,Christian Kellner,Unknown,157,51,0,12.832,N/A,Kellner,Unknown,40,0,WSG Tirol,Attack - Centre-Forward,"1,78 m",Austria,at,https://www.transfermarkt.us/christian-kellner/profil/spieler/53123,https://img.a.transfermarkt.technology/portrait/small/i_r_s_53123_17663_2009_1.jpg?lm=1,N/A,22.11.1975,Wien,Retired
5,Alois Heissenberger,Unknown,90,44,0,7.665,N/A,Heissenberger,Unknown,7,0,WSG Tirol,Attack,Unknown,Austria,at,https://www.transfermarkt.us/alois-heissenberger/profil/spieler/262888,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,09.11.1962,Unknown,Retired
6,Kurt Stanger,Unknown,324,40,0,23.431,N/A,Stanger,Unknown,39,1,WSG Tirol,Midfield,"1,80 m",Austria,at,https://www.transfermarkt.us/kurt-stanger/profil/spieler/143277,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,15.04.1969,Unknown,Retired
7,Milan Jurdík,Unknown,112,40,9,6.935,N/A,Jurdík,#9,6,0,WSG Tirol,Midfield - Attacking Midfield,"1,86 m",Czech Republic,cz,https://www.transfermarkt.us/milan-jurdik/profil/spieler/131974,https://img.a.transfermarkt.technology/portrait/small/131974-1609767598.png?lm=1,N/A,08.11.1991,Považská Bystrica,ASV Schrems
8,Robert Ablinger,Unknown,248,34,0,18.231,N/A,Ablinger,Unknown,14,3,WSG Tirol,Attack,"1,87 m",Austria,at,https://www.transfermarkt.us/robert-ablinger/profil/spieler/182629,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,14.01.1965,Unknown,Retired
9,Hans Küppers,Unknown,71,32,0,6.407,N/A,Küppers,Unknown,1,0,WSG Tirol,Midfield - Central Midfield,,Germany,de,https://www.transfermarkt.us/hans-kuppers/profil/spieler/100533,https://img.a.transfermarkt.technology/portrait/small/100533-1485346258.jpg?lm=1,N/A,24.12.1938,Essen,---
10,Markus Obernosterer,Unknown,54,31,30,4.068,N/A,Obernosterer,Unknown,9,0,WSG Tirol,Midfield - Attacking Midfield,"1,80 m",Austria,at,https://www.transfermarkt.us/markus-obernosterer/profil/spieler/59105,https://img.a.transfermarkt.technology/portrait/small/59105-1539714958.jpg?lm=1,N/A,14.04.1990,Innsbruck,Retired
11,Rene Prantl,Unknown,75,29,4,4.777,N/A,Prantl,#10,9,0,WSG Tirol,Attack - Centre-Forward,"1,78 m",Austria,at,https://www.transfermarkt.us/rene-prantl/profil/spieler/154443,https://img.a.transfermarkt.technology/portrait/small/154443-1411919073.JPG?lm=1,N/A,28.01.1990,Unknown,SC Imst
12,Michael Steinlechner,Unknown,277,29,1,21.523,N/A,Steinlechner,Unknown,61,4,WSG Tirol,Defender - Centre-Back,"1,85 m",Austria,at,https://www.transfermarkt.us/michael-steinlechner/profil/spieler/48096,https://img.a.transfermarkt.technology/portrait/small/48096-1503933536.jpg?lm=1,N/A,24.04.1987,Schwaz,Retired
13,Helmut Redl,Unknown,63,28,0,5.700,N/A,Redl,Unknown,0,0,WSG Tirol,Attack,Unknown,Austria,at,https://www.transfermarkt.us/helmut-redl/profil/spieler/259760,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,17.09.1939,Unknown,Retired
14,Marco Hesina,Unknown,52,26,0,2.865,N/A,Hesina,Unknown,11,1,WSG Tirol,Attack - Centre-Forward,"1,85 m",Austria,at,https://www.transfermarkt.us/marco-hesina/profil/spieler/50689,https://img.a.transfermarkt.technology/portrait/small/50689-1470410767.jpg?lm=1,N/A,06.12.1991,Unknown,Retired
15,Alois Rainer,Alois Alban Rainer,81,26,0,5.530,N/A,Rainer,Unknown,5,0,WSG Tirol,Attack,Unknown,Austria,at,https://www.transfermarkt.us/alois-rainer/profil/spieler/144987,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,13.10.1966,Unknown,Retired
16,Lukas Katnik,Unknown,95,24,11,6.740,N/A,Katnik,Unknown,9,0,WSG Tirol,Attack - Centre-Forward,"1,85 m",Austria,at,https://www.transfermarkt.us/lukas-katnik/profil/spieler/45977,https://img.a.transfermarkt.technology/portrait/small/45977-1566312015.jpg?lm=1,N/A,31.07.1989,Unknown,FC Bizau
17,Günther Huber,Unknown,188,24,0,14.941,N/A,Huber,Unknown,13,5,WSG Tirol,Midfield,Unknown,Austria,at,https://www.transfermarkt.us/gunther-huber/profil/spieler/184522,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,09.01.1958,Unknown,Retired
18,Markus Schnellrieder,Unknown,210,22,0,18.314,N/A,Schnellrieder,Unknown,27,6,WSG Tirol,Defender,Unknown,Austria,at,https://www.transfermarkt.us/markus-schnellrieder/profil/spieler/444701,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,31.05.1966,Unknown,Retired
19,Roland Kirchler,Unknown,122,21,0,10.157,N/A,Kirchler,Unknown,7,0,WSG Tirol,Midfield,"1,86 m",Austria,at,https://www.transfermarkt.us/roland-kirchler/profil/spieler/2979,https://img.a.transfermarkt.technology/portrait/small/g_M_s_2979_2446_2009_1.jpg?lm=1,N/A,29.09.1970,Innsbruck,Retired
20,Héctor Núñez,Héctor Núñez Segovia,39,21,1,1.834,N/A,Núñez,#18,5,1,WSG Tirol,Attack - Centre-Forward,"1,84 m",Chile,cl,https://www.transfermarkt.us/hector-nunez/profil/spieler/136906,https://img.a.transfermarkt.technology/portrait/small/136906-1558460602.jpg?lm=1,N/A,15.04.1992,Valparaíso,Unknown
21,Thomas Grumser,Unknown,105,21,0,8.491,N/A,Grumser,Unknown,24,0,WSG Tirol,Midfield - Attacking Midfield,"1,76 m",Austria,at,https://www.transfermarkt.us/thomas-grumser/profil/spieler/17078,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,06.11.1979,Unknown,Retired
22,Giacomo Vrioni,Xhakomo Vrioni,30,21,5,2.323,N/A,Vrioni,#17,6,0,WSG Tirol,Attack - Centre-Forward,"1,88 m",Albania,al,https://www.transfermarkt.us/giacomo-vrioni/profil/spieler/363178,https://img.a.transfermarkt.technology/portrait/small/363178-1740597708.jpg?lm=1,N/A,15.10.1998,San Severino Marche,CF Montréal
23,Thomas Eller,Unknown,125,21,0,10.066,N/A,Eller,Unknown,15,0,WSG Tirol,Defender,,Austria,at,https://www.transfermarkt.us/thomas-eller/profil/spieler/3040,https://img.a.transfermarkt.technology/portrait/small/N_F_s_3040_2446_2009_1.jpg?lm=1,N/A,03.11.1980,Unknown,Retired
24,Zlatko Dedic,Zlatko Dedič,59,20,4,4.117,N/A,Dedic,Unknown,4,0,WSG Tirol,Attack - Centre-Forward,,Slovenia,si,https://www.transfermarkt.us/zlatko-dedic/profil/spieler/28835,https://img.a.transfermarkt.technology/portrait/small/28835-1566311987.jpg?lm=1,N/A,05.10.1984,Bihać,Retired
25,Harald Eder,Unknown,192,20,0,16.419,N/A,Eder,Unknown,36,2,WSG Tirol,Midfield,Unknown,Austria,at,https://www.transfermarkt.us/harald-eder/profil/spieler/143563,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,11.03.1965,Unknown,Retired
26,Alexander Hörtnagl,Unknown,134,19,3,10.965,N/A,Hörtnagl,Unknown,16,0,WSG Tirol,Midfield - Central Midfield,"1,83 m",Austria,at,https://www.transfermarkt.us/alexander-hortnagl/profil/spieler/3022,https://img.a.transfermarkt.technology/portrait/small/f_o_s_3022_2446_2009_1.jpg?lm=1,N/A,14.10.1980,Innsbruck,Retired
27,Florian Buchacher,Unknown,215,19,9,16.834,N/A,Buchacher,Unknown,72,4,WSG Tirol,Defender - Left-Back,"1,84 m",Austria,at,https://www.transfermarkt.us/florian-buchacher/profil/spieler/52773,https://img.a.transfermarkt.technology/portrait/small/52773-1566311302.jpg?lm=1,N/A,28.09.1987,Innsbruck,Retired
