rank,name,full_name,appearances,goals,assists,minutes_played,period,jersey_name,jersey_number,yellow_cards,red_cards,club,position,height,nation,nation_code,profile_url,image_url,club_logo_url,date_of_birth,place_of_birth,status
1,Zilong Han,韩子龙,55,29,7,4.269,N/A,Han,#27,7,0,Yunnan Yukun,Attack - Left Winger,"1,81 m",China,cn,https://www.transfermarkt.us/zilong-han/profil/spieler/325655,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,06.04.1994,Unknown,Yunnan Yukun
2,Nyasha Mushekwi,Nyasha Liberty Mushekwi,30,25,4,2.590,N/A,Mushekwi,#30,3,0,Yunnan Yukun,Attack - Centre-Forward,"1,88 m",Zimbabwe,zw,https://www.transfermarkt.us/nyasha-mushekwi/profil/spieler/146721,https://img.a.transfermarkt.technology/portrait/small/146721-1561367567.png?lm=1,N/A,21.08.1987,Harare,Dalian K'un City
3,Yuhao Liu,刘宇豪,43,12,0,1.501,N/A,Liu,#9,6,0,Yunnan Yukun,Attack - Centre-Forward,"1,86 m",China,cn,https://www.transfermarkt.us/yuhao-liu/profil/spieler/291476,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,14.05.1994,Peking,Sichuan Youth Athletic
4,Yifeng Zang,臧一锋,39,10,2,2.284,N/A,Zang,#14,3,0,Yunnan Yukun,Attack - Left Winger,"1,74 m",China,cn,https://www.transfermarkt.us/yifeng-zang/profil/spieler/224622,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,15.10.1993,Unknown,Liaoning Tieren
5,Alexandru Ioniță,Alexandru Ioniță,35,9,14,2.965,N/A,Ioniță,#10,2,0,Yunnan Yukun,Midfield - Attacking Midfield,"1,78 m",Romania,ro,https://www.transfermarkt.us/alexandru-ionita/profil/spieler/209664,https://img.a.transfermarkt.technology/portrait/small/209664-1692034018.png?lm=1,N/A,14.12.1994,Bucharest,Yunnan Yukun
6,Zakaria Labyad,زكريا لبيض,31,6,9,2.569,N/A,Labyad,#10,3,0,Yunnan Yukun,Midfield - Attacking Midfield,"1,75 m",Morocco,ma,https://www.transfermarkt.us/zakaria-labyad/profil/spieler/123349,https://img.a.transfermarkt.technology/portrait/small/123349-1618845587.jpg?lm=1,N/A,09.03.1993,Utrecht,Dalian Yingbo
7,Xiao Wang,王啸,13,5,0,746.000,N/A,Wang,#32,0,0,Yunnan Yukun,Attack - Centre-Forward,"1,92 m",China,cn,https://www.transfermarkt.us/xiao-wang/profil/spieler/211806,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,18.04.1992,Unknown,Guizhou Zhucheng Athletic
8,Haoran Zhong,钟浩然,33,5,1,1.738,N/A,Zhong,#28,6,0,Yunnan Yukun,Midfield - Central Midfield,"1,83 m",China,cn,https://www.transfermarkt.us/haoran-zhong/profil/spieler/278493,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,15.07.1994,"Shiyan, Hubei",Meizhou Hakka
9,Biao Li,李彪,33,5,0,1.186,N/A,Li,#21,0,0,Yunnan Yukun,Midfield - Right Midfield,"1,82 m",China,cn,https://www.transfermarkt.us/biao-li/profil/spieler/362534,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,12.12.1997,Unknown,Yunnan Yukun
10,Jing Luo,罗竞,32,5,6,1.643,N/A,Luo,#7,1,0,Yunnan Yukun,Attack - Centre-Forward,"1,80 m",China,cn,https://www.transfermarkt.us/jing-luo/profil/spieler/236650,https://img.a.transfermarkt.technology/portrait/small/236650-1564402598.jpg?lm=1,N/A,04.11.1993,Guizhou,Yunnan Yukun
11,Jihong Jiang,姜积弘,48,2,2,4.074,N/A,Jiang,#5,3,0,Yunnan Yukun,Defender - Centre-Back,"1,91 m",China,cn,https://www.transfermarkt.us/jihong-jiang/profil/spieler/156052,https://img.a.transfermarkt.technology/portrait/small/156052-1563266377.jpg?lm=1,N/A,08.02.1990,"Dalian, Liaoning",Guangdong GZ-Power
12,Oscar Taty Maritu,Unknown,1,2,0,79.000,N/A,Taty Maritu,#25,0,0,Yunnan Yukun,Attack - Centre-Forward,"1,82 m",DR Congo,unknown,https://www.transfermarkt.us/oscar-taty-maritu/profil/spieler/596689,https://img.a.transfermarkt.technology/portrait/small/596689-1669111506.jpg?lm=1,N/A,17.08.1999,Unknown,Yunnan Yukun
13,Xiaotian He,和晓田,5,2,0,101.000,N/A,He,#28,0,0,Yunnan Yukun,Defender,"1,75 m",China,cn,https://www.transfermarkt.us/xiaotian-he/profil/spieler/956195,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,18.08.2003,Unknown,Beijing IT
14,Haiqing Cao,曹海清,47,2,3,3.744,N/A,Cao,#33,4,0,Yunnan Yukun,Defender - Left-Back,"1,75 m",China,cn,https://www.transfermarkt.us/haiqing-cao/profil/spieler/218237,https://img.a.transfermarkt.technology/portrait/small/218237-1488279133.jpg?lm=1,N/A,28.09.1993,"Zhoukou, Henan",Dalian Yingbo
15,Zhe Shi,石哲,31,1,1,2.116,N/A,Shi,#33,1,0,Yunnan Yukun,Midfield - Right Midfield,"1,68 m",China,cn,https://www.transfermarkt.us/zhe-shi/profil/spieler/252314,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,29.06.1993,Yanbian,Qingdao Red Lions
16,Wenqing Liu,刘文庆,11,1,0,622.000,N/A,Liu,Unknown,3,0,Yunnan Yukun,Defender - Centre-Back,"1,89 m",China,cn,https://www.transfermarkt.us/wenqing-liu/profil/spieler/252257,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,01.02.1989,"Dalian, Liaoning",Dalian Kewei
