rank,name,full_name,appearances,goals,assists,minutes_played,period,jersey_name,jersey_number,yellow_cards,red_cards,club,position,height,nation,nation_code,profile_url,image_url,club_logo_url,date_of_birth,place_of_birth,status
1,Francisco Aguirre,Unknown,80,55,5,6.484,N/A,Aguirre,Unknown,12,1,Yverdon Sport FC,Attack - Centre-Forward,"1,78 m",Argentina,ar,https://www.transfermarkt.us/francisco-aguirre/profil/spieler/19179,https://img.a.transfermarkt.technology/portrait/small/s_19179_5496_2012_10_27_1.jpg?lm=1,N/A,01.09.1977,Buenos Aires,Retired
2,Leandro,Unknown,67,33,0,5.885,N/A,Leandro,Unknown,9,0,Yverdon Sport FC,Attack - Centre-Forward,,Brazil,br,https://www.transfermarkt.us/leandro/profil/spieler/499,https://img.a.transfermarkt.technology/portrait/small/499-1584525560.jpg?lm=1,N/A,14.02.1975,Jaboticabal,Retired
3,Biscotte Mbala,Lakuya Biscotte Mbala Mbuta,86,32,5,6.388,N/A,Mbala,Unknown,5,0,Yverdon Sport FC,Attack - Centre-Forward,"1,65 m",DR Congo,unknown,https://www.transfermarkt.us/biscotte-mbala/profil/spieler/33263,https://img.a.transfermarkt.technology/portrait/small/s_33263_1277_2010_1.jpg?lm=1,N/A,07.04.1985,Kinshasa,Retired
4,Koro Koné,Koro Issa Ahmed Koné,58,30,3,4.593,N/A,Koné,#20,5,0,Yverdon Sport FC,Attack - Centre-Forward,"1,79 m",Cote d'Ivoire,unknown,https://www.transfermarkt.us/koro-kone/profil/spieler/61005,https://img.a.transfermarkt.technology/portrait/small/s_61005_2969_2012_2.jpg?lm=1,N/A,05.07.1989,Abidjan,Neuchâtel Xamax FCS
5,Gil Bala,Unknown,85,30,0,5.844,N/A,Gil Bala,Unknown,18,0,Yverdon Sport FC,Attack - Left Winger,"1,72 m",Brazil,br,https://www.transfermarkt.us/gil-bala/profil/spieler/34365,https://img.a.transfermarkt.technology/portrait/small/34365-1675681456.png?lm=1,N/A,18.10.1980,João Pessoa,Retired
6,Allan Eleouet,Unknown,140,28,3,8.186,N/A,Eleouet,#9,27,0,Yverdon Sport FC,Attack - Right Winger,"1,74 m",Switzerland,ch,https://www.transfermarkt.us/allan-eleouet/profil/spieler/247728,https://img.a.transfermarkt.technology/portrait/small/247728-1617896110.jpg?lm=1,N/A,29.07.1994,Paris,Vevey-Sports
7,Djibril Cissé,Djibril Arrun Cissé,29,24,0,2.361,N/A,Cissé,Unknown,1,0,Yverdon Sport FC,Attack - Centre-Forward,"1,82 m",France,fr,https://www.transfermarkt.us/djibril-cisse/profil/spieler/3966,https://img.a.transfermarkt.technology/portrait/small/3966-1497545601.jpg?lm=1,N/A,12.08.1981,Arles,Retired
8,Manuel Bühler,Manuel Alfonso Bühler,79,22,0,5.287,N/A,Bühler,Unknown,5,0,Yverdon Sport FC,Midfield - Attacking Midfield,"1,70 m",Switzerland,ch,https://www.transfermarkt.us/manuel-buhler/profil/spieler/11514,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,01.09.1983,Medellin,Retired
9,Edo Ekhosuehi,Master Edorisi Ekhosuehi,73,22,0,4.791,N/A,Ekhosuehi,Unknown,6,0,Yverdon Sport FC,Attack - Centre-Forward,"1,81 m",Nigeria,ng,https://www.transfermarkt.us/edo-ekhosuehi/profil/spieler/34533,https://img.a.transfermarkt.technology/portrait/small/m_I_s_34533_322_2009_1.jpg?lm=1,N/A,20.05.1984,Benin City,Retired
10,Mustafa Sejmenovic,Mustafa Sejmenović,262,22,0,20.817,N/A,Sejmenovic,Unknown,43,2,Yverdon Sport FC,Defender - Centre-Back,"1,85 m",Bosnia-Herzegovina,unknown,https://www.transfermarkt.us/mustafa-sejmenovic/profil/spieler/19279,https://img.a.transfermarkt.technology/portrait/small/19279-1617896759.jpg?lm=1,N/A,03.01.1986,Yverdon,Retired
11,Quentin Rushenguziminega,Unknown,43,21,1,3.176,N/A,Rushenguziminega,#19,10,0,Yverdon Sport FC,Attack - Centre-Forward,"1,84 m",Rwanda,rw,https://www.transfermarkt.us/quentin-rushenguziminega/profil/spieler/147117,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,13.11.1991,Pompaples,FC Echallens Région
12,Edin Becirovic,Unknown,37,21,0,3.085,N/A,Becirovic,Unknown,5,1,Yverdon Sport FC,Attack - Centre-Forward,Unknown,Bosnia-Herzegovina,unknown,https://www.transfermarkt.us/edin-becirovic/profil/spieler/163888,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,15.09.1987,Unknown,Retired
13,Arthur Deschenaux,Unknown,57,20,0,3.746,N/A,Deschenaux,#25,5,0,Yverdon Sport FC,Attack - Left Winger,Unknown,Switzerland,ch,https://www.transfermarkt.us/arthur-deschenaux/profil/spieler/195254,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,01.05.1993,Rue FR,CS Romontois
14,Alain Béguin,Unknown,37,19,0,2.728,N/A,Béguin,Unknown,2,1,Yverdon Sport FC,Attack,Unknown,Switzerland,ch,https://www.transfermarkt.us/alain-beguin/profil/spieler/355256,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,08.03.1967,Unknown,Retired
15,Ridge Mobulu,Ridge Mickael Mobulu,72,17,3,4.044,N/A,Mobulu,#25,9,0,Yverdon Sport FC,Midfield - Right Midfield,"1,78 m",DR Congo,unknown,https://www.transfermarkt.us/ridge-mobulu/profil/spieler/64663,https://img.a.transfermarkt.technology/portrait/small/64663-1617896475.jpg?lm=1,N/A,29.06.1991,Aigle,FC Bavois
